Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-12-01,0.51,0.65,0.45,0.61,0.48,336212800.0,0.0,0.0
1981-01-01,0.62,0.62,0.5,0.5,0.4,152247200.0,0.0,0.0
1981-02-01,0.48,0.52,0.42,0.47,0.37,80404800.0,0.0,0.0
1981-03-01,0.48,0.48,0.39,0.44,0.35,175179200.0,0.0,0.0
1981-04-01,0.44,0.52,0.43,0.51,0.4,134232000.0,0.0,0.0
1981-05-01,0.51,0.59,0.48,0.59,0.47,147604800.0,0.0,0.0
1981-06-01,0.59,0.59,0.46,0.46,0.37,237641600.0,0.0,0.0
1981-07-01,0.46,0.47,0.4,0.45,0.35,166857600.0,0.0,0.0
1981-08-01,0.45,0.46,0.34,0.36,0.28,137155200.0,0.0,0.0
1981-09-01,0.38,0.39,0.25,0.27,0.21,185920000.0,0.0,0.0
1981-10-01,0.27,0.36,0.27,0.36,0.28,226044000.0,0.0,0.0
1981-11-01,0.36,0.36,0.32,0.33,0.26,146669600.0,0.0,0.0
1981-12-01,0.33,0.41,0.32,0.4,0.31,259280000.0,0.0,0.0
1982-01-01,0.4,0.4,0.32,0.36,0.29,216053600.0,0.0,0.0
1982-02-01,0.36,0.37,0.33,0.33,0.26,152101600.0,0.0,0.0
1982-03-01,0.33,0.33,0.25,0.3,0.24,299919200.0,0.0,0.0
1982-04-01,0.32,0.32,0.26,0.26,0.21,437399200.0,0.0,0.0
1982-05-01,0.27,0.29,0.25,0.25,0.2,310973600.0,0.0,0.0
1982-06-01,0.25,0.25,0.23,0.23,0.18,200911200.0,0.0,0.0
1982-07-01,0.23,0.26,0.2,0.24,0.19,354552800.0,0.0,0.0
1982-08-01,0.25,0.32,0.22,0.32,0.25,539000000.0,0.0,0.0
1982-09-01,0.31,0.34,0.31,0.33,0.26,415889600.0,0.0,0.0
1982-10-01,0.33,0.48,0.32,0.45,0.36,944876800.0,0.0,0.0
1982-11-01,0.45,0.61,0.45,0.57,0.45,788076800.0,0.0,0.0
1982-12-01,0.57,0.62,0.49,0.53,0.42,681497600.0,0.0,0.0
1983-01-01,0.53,0.75,0.49,0.73,0.58,1144757600.0,0.0,0.0
1983-02-01,0.73,0.87,0.72,0.81,0.64,788323200.0,0.0,0.0
1983-03-01,0.81,0.84,0.72,0.75,0.6,662082400.0,0.0,0.0
1983-04-01,0.75,0.94,0.69,0.9,0.71,834708000.0,0.0,0.0
1983-05-01,0.9,1.09,0.85,1.03,0.81,521102400.0,0.0,0.0
1983-06-01,1.03,1.13,0.82,0.87,0.69,701870400.0,0.0,0.0
1983-07-01,0.87,0.89,0.6,0.62,0.49,774457600.0,0.0,0.0
1983-08-01,0.62,0.67,0.54,0.67,0.52,765385600.0,0.0,0.0
1983-09-01,0.67,0.71,0.4,0.41,0.33,1985401600.0,0.0,0.0
1983-10-01,0.41,0.43,0.32,0.4,0.32,1255469600.0,0.0,0.0
1983-11-01,0.4,0.43,0.31,0.36,0.29,1030540000.0,0.0,0.0
1983-12-01,0.36,0.45,0.35,0.44,0.34,664154400.0,0.0,0.0
1984-01-01,0.44,0.53,0.41,0.44,0.35,1089704000.0,0.0,0.0
1984-02-01,0.44,0.49,0.4,0.47,0.37,777840000.0,0.0,0.0
1984-03-01,0.47,0.5,0.44,0.44,0.35,491472800.0,0.0,0.0
1984-04-01,0.44,0.56,0.41,0.56,0.44,804176800.0,0.0,0.0
1984-05-01,0.57,0.61,0.5,0.52,0.41,1328919200.0,0.0,0.0
1984-06-01,0.52,0.55,0.43,0.47,0.37,793783200.0,0.0,0.0
1984-07-01,0.47,0.49,0.43,0.46,0.36,708724800.0,0.0,0.0
1984-08-01,0.46,0.55,0.43,0.47,0.37,1277948000.0,0.0,0.0
1984-09-01,0.47,0.52,0.44,0.45,0.35,625156000.0,0.0,0.0
1984-10-01,0.45,0.49,0.4,0.44,0.35,890764000.0,0.0,0.0
1984-11-01,0.45,0.47,0.39,0.44,0.35,842514400.0,0.0,0.0
1984-12-01,0.44,0.52,0.44,0.52,0.41,863755200.0,0.0,0.0
1985-01-01,0.52,0.56,0.5,0.52,0.41,1591604000.0,0.0,0.0
1985-02-01,0.52,0.55,0.44,0.44,0.35,1183347200.0,0.0,0.0
1985-03-01,0.44,0.46,0.37,0.4,0.31,1153896800.0,0.0,0.0
1985-04-01,0.4,0.41,0.35,0.38,0.3,717007200.0,0.0,0.0
1985-05-01,0.38,0.4,0.3,0.31,0.24,1159782400.0,0.0,0.0
1985-06-01,0.3,0.33,0.26,0.32,0.25,1452847200.0,0.0,0.0
1985-07-01,0.32,0.33,0.28,0.28,0.22,650148800.0,0.0,0.0
1985-08-01,0.28,0.29,0.26,0.27,0.21,454686400.0,0.0,0.0
1985-09-01,0.27,2.0,0.26,0.28,0.22,449549600.0,0.0,0.0
1985-10-01,0.28,0.34,0.27,0.33,0.26,946478400.0,0.0,0.0
1985-11-01,0.33,0.37,0.33,0.36,0.28,721168000.0,0.0,0.0
1985-12-01,0.36,0.41,0.34,0.39,0.31,892802400.0,0.0,0.0
1986-01-01,0.39,0.44,0.39,0.41,0.33,1572950400.0,0.0,0.0
1986-02-01,0.41,0.48,0.41,0.45,0.35,855215200.0,0.0,0.0
1986-03-01,0.45,0.53,0.43,0.5,0.4,1066083200.0,0.0,0.0
