Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-12-08,0.13,0.13,0.13,0.13,0.1,469033600.0,0.0,0.0
1980-12-15,0.12,0.13,0.11,0.13,0.1,490134400.0,0.0,0.0
1980-12-22,0.13,0.16,0.13,0.16,0.13,187891200.0,0.0,0.0
1980-12-29,0.16,0.16,0.15,0.15,0.12,219452800.0,0.0,0.0
1981-01-05,0.15,0.15,0.14,0.14,0.11,197904000.0,0.0,0.0
1981-01-12,0.14,0.14,0.14,0.14,0.11,88502400.0,0.0,0.0
1981-01-19,0.15,0.15,0.14,0.15,0.12,134332800.0,0.0,0.0
1981-01-26,0.14,0.14,0.13,0.13,0.1,166588800.0,0.0,0.0
1981-02-02,0.12,0.13,0.12,0.13,0.1,92579200.0,0.0,0.0
1981-02-09,0.12,0.12,0.11,0.11,0.09,74659200.0,0.0,0.0
1981-02-16,0.12,0.12,0.11,0.11,0.09,78198400.0,0.0,0.0
1981-02-23,0.11,0.12,0.11,0.12,0.09,76182400.0,0.0,0.0
1981-03-02,0.12,0.12,0.11,0.11,0.09,58620800.0,0.0,0.0
1981-03-09,0.11,0.11,0.1,0.1,0.08,364112000.0,0.0,0.0
1981-03-16,0.1,0.12,0.1,0.11,0.09,170329600.0,0.0,0.0
1981-03-23,0.12,0.12,0.11,0.11,0.09,81760000.0,0.0,0.0
1981-03-30,0.11,0.12,0.11,0.12,0.09,107856000.0,0.0,0.0
1981-04-06,0.12,0.12,0.11,0.12,0.1,101404800.0,0.0,0.0
1981-04-13,0.12,0.12,0.11,0.11,0.09,80640000.0,0.0,0.0
1981-04-20,0.11,0.13,0.11,0.13,0.1,175952000.0,0.0,0.0
1981-04-27,0.13,0.13,0.12,0.13,0.1,113523200.0,0.0,0.0
1981-05-04,0.13,0.13,0.12,0.12,0.1,68208000.0,0.0,0.0
1981-05-11,0.12,0.12,0.12,0.12,0.1,30934400.0,0.0,0.0
1981-05-18,0.12,0.14,0.12,0.14,0.11,106512000.0,0.0,0.0
1981-05-25,0.14,0.15,0.14,0.15,0.12,368211200.0,0.0,0.0
1981-06-01,0.15,0.15,0.14,0.14,0.11,244876800.0,0.0,0.0
1981-06-08,0.14,0.15,0.14,0.15,0.11,303094400.0,0.0,0.0
1981-06-15,0.15,0.15,0.14,0.14,0.11,259145600.0,0.0,0.0
1981-06-22,0.13,0.13,0.13,0.13,0.1,96947200.0,0.0,0.0
1981-06-29,0.13,0.13,0.11,0.11,0.09,247251200.0,0.0,0.0
1981-07-06,0.11,0.12,0.1,0.1,0.08,137043200.0,0.0,0.0
1981-07-13,0.1,0.12,0.1,0.12,0.09,111529600.0,0.0,0.0
