Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-12-12,0.51,0.52,0.51,0.51,0.4,117258400.0,0.0,0.0
1980-12-17,0.46,0.46,0.46,0.46,0.36,21610400.0,0.0,0.0
1980-12-22,0.53,0.53,0.53,0.53,0.42,9340800.0,0.0,0.0
1981-01-06,0.58,0.58,0.58,0.58,0.45,11289600.0,0.0,0.0
1981-01-16,0.56,0.56,0.55,0.55,0.44,3348800.0,0.0,0.0
1981-01-21,0.58,0.58,0.58,0.58,0.46,3976000.0,0.0,0.0
1981-01-26,0.58,0.58,0.58,0.58,0.45,6160000.0,0.0,0.0
1981-02-05,0.51,0.52,0.51,0.51,0.4,1982400.0,0.0,0.0
1981-02-10,0.49,0.49,0.49,0.49,0.38,4586400.0,0.0,0.0
1981-02-20,0.44,0.44,0.43,0.43,0.34,6092800.0,0.0,0.0
1981-02-25,0.45,0.45,0.45,0.45,0.36,4872000.0,0.0,0.0
1981-03-02,0.48,0.48,0.48,0.48,0.38,2940000.0,0.0,0.0
1981-03-12,0.4,0.4,0.4,0.4,0.32,14812000.0,0.0,0.0
1981-03-17,0.43,0.44,0.43,0.43,0.34,10936800.0,0.0,0.0
1981-03-27,0.44,0.44,0.44,0.44,0.35,3063200.0,0.0,0.0
1981-04-01,0.44,0.44,0.43,0.43,0.34,8517600.0,0.0,0.0
1981-04-06,0.47,0.47,0.46,0.46,0.37,5700800.0,0.0,0.0
1981-04-16,0.45,0.45,0.45,0.45,0.35,5969600.0,0.0,0.0
1981-04-21,0.49,0.49,0.49,0.49,0.39,7134400.0,0.0,0.0
1981-05-01,0.51,0.51,0.51,0.51,0.4,4138400.0,0.0,0.0
1981-05-06,0.49,0.49,0.49,0.49,0.39,4737600.0,0.0,0.0
1981-05-11,0.49,0.49,0.49,0.49,0.39,2984800.0,0.0,0.0
1981-05-21,0.54,0.54,0.54,0.54,0.42,8052800.0,0.0,0.0
1981-05-26,0.56,0.56,0.56,0.56,0.44,21336000.0,0.0,0.0
1981-06-05,0.57,0.57,0.56,0.56,0.45,14420000.0,0.0,0.0
1981-06-10,0.56,0.57,0.56,0.56,0.44,6305600.0,0.0,0.0
1981-06-15,0.58,0.58,0.58,0.58,0.46,35940800.0,0.0,0.0
1981-06-25,0.53,0.53,0.53,0.53,0.42,6064800.0,0.0,0.0
1981-06-30,0.47,0.47,0.46,0.46,0.37,8976800.0,0.0,0.0
1981-07-10,0.4,0.4,0.4,0.4,0.31,13792800.0,0.0,0.0
1981-07-15,0.44,0.44,0.44,0.44,0.34,2738400.0,0.0,0.0
1981-07-20,0.43,0.43,0.43,0.43,0.34,5913600.0,0.0,0.0
1981-07-30,0.44,0.44,0.44,0.44,0.35,2475200.0,0.0,0.0
1981-08-04,0.45,0.45,0.45,0.45,0.35,7918400.0,0.0,0.0
1981-08-14,0.41,0.41,0.41,0.41,0.32,6048000.0,0.0,0.0
1981-08-19,0.39,0.39,0.38,0.38,0.3,5168800.0,0.0,0.0
1981-08-24,0.34,0.34,0.34,0.34,0.27,5768000.0,0.0,0.0
1981-09-03,0.37,0.37,0.37,0.37,0.29,9368800.0,0.0,0.0
1981-09-08,0.35,0.35,0.35,0.35,0.28,6361600.0,0.0,0.0
1981-09-18,0.32,0.32,0.32,0.32,0.25,6580000.0,0.0,0.0
1981-09-23,0.3,0.3,0.29,0.29,0.23,7050400.0,0.0,0.0
1981-09-28,0.26,0.26,0.26,0.26,0.2,22932000.0,0.0,0.0
1981-10-08,0.33,0.33,0.33,0.33,0.26,7772800.0,0.0,0.0
1981-10-13,0.34,0.35,0.34,0.34,0.27,11048800.0,0.0,0.0
1981-10-23,0.34,0.34,0.34,0.34,0.27,6977600.0,0.0,0.0
1981-10-28,0.36,0.36,0.36,0.36,0.28,11043200.0,0.0,0.0
1981-11-02,0.36,0.36,0.36,0.36,0.28,9228800.0,0.0,0.0
1981-11-12,0.35,0.35,0.35,0.35,0.27,9979200.0,0.0,0.0
1981-11-17,0.33,0.33,0.33,0.33,0.26,8853600.0,0.0,0.0
1981-11-27,0.34,0.34,0.34,0.34,0.27,9312800.0,0.0,0.0
1981-12-02,0.33,0.34,0.33,0.33,0.26,9391200.0,0.0,0.0
1981-12-07,0.34,0.34,0.34,0.34,0.27,14823200.0,0.0,0.0
1981-12-17,0.38,0.38,0.38,0.38,0.3,12863200.0,0.0,0.0
1981-12-22,0.4,0.4,0.4,0.4,0.31,13456800.0,0.0,0.0
1982-01-06,0.37,0.37,0.37,0.37,0.29,16520000.0,0.0,0.0
1982-01-11,0.33,0.33,0.33,0.33,0.26,8332800.0,0.0,0.0
1982-01-21,0.37,0.37,0.37,0.37,0.29,8332800.0,0.0,0.0
1982-01-26,0.35,0.35,0.35,0.35,0.27,5303200.0,0.0,0.0
1982-02-05,0.35,0.35,0.35,0.35,0.28,10074400.0,0.0,0.0
1982-02-10,0.33,0.34,0.33,0.33,0.26,9699200.0,0.0,0.0
1982-02-25,0.33,0.33,0.33,0.33,0.26,7700000.0,0.0,0.0
1982-03-02,0.33,0.33,0.33,0.33,0.26,8702400.0,0.0,0.0
1982-03-12,0.27,0.27,0.27,0.27,0.21,11636800.0,0.0,0.0
1982-03-17,0.25,0.25,0.25,0.25,0.2,12622400.0,0.0,0.0
1982-03-22,0.32,0.32,0.32,0.32,0.25,17298400.0,0.0,0.0
1982-04-01,0.32,0.32,0.32,0.32,0.25,14784000.0,0.0,0.0
1982-04-06,0.32,0.32,0.31,0.31,0.25,17897600.0,0.0,0.0
1982-04-16,0.3,0.3,0.3,0.3,0.24,26012000.0,0.0,0.0
1982-04-21,0.28,0.28,0.28,0.28,0.22,18256000.0,0.0,0.0
1982-04-26,0.28,0.28,0.28,0.28,0.22,14481600.0,0.0,0.0
1982-05-06,0.29,0.29,0.29,0.29,0.23,18866400.0,0.0,0.0
1982-05-11,0.28,0.28,0.28,0.28,0.22,25754400.0,0.0,0.0
1982-05-21,0.25,0.26,0.25,0.25,0.2,9710400.0,0.0,0.0
1982-05-26,0.26,0.26,0.25,0.25,0.2,10819200.0,0.0,0.0
1982-06-10,0.23,0.23,0.23,0.23,0.18,8601600.0,0.0,0.0
1982-06-15,0.24,0.24,0.24,0.24,0.19,8803200.0,0.0,0.0
1982-06-25,0.24,0.24,0.24,0.24,0.19,6669600.0,0.0,0.0
1982-06-30,0.23,0.23,0.23,0.23,0.18,16906400.0,0.0,0.0
1982-07-15,0.23,0.23,0.23,0.23,0.18,16447200.0,0.0,0.0
1982-07-20,0.25,0.26,0.25,0.25,0.2,12426400.0,0.0,0.0
1982-07-30,0.24,0.24,0.24,0.24,0.19,9654400.0,0.0,0.0
1982-08-04,0.23,0.23,0.23,0.23,0.18,20966400.0,0.0,0.0
1982-08-09,0.22,0.22,0.22,0.22,0.17,14028000.0,0.0,0.0
1982-08-19,0.26,0.26,0.26,0.26,0.2,11905600.0,0.0,0.0
1982-08-24,0.29,0.29,0.29,0.29,0.23,38942400.0,0.0,0.0
1982-09-03,0.33,0.33,0.33,0.33,0.26,26135200.0,0.0,0.0
1982-09-08,0.32,0.32,0.32,0.32,0.25,18082400.0,0.0,0.0
1982-09-13,0.33,0.33,0.33,0.33,0.26,14722400.0,0.0,0.0
1982-09-23,0.33,0.34,0.33,0.33,0.26,34955200.0,0.0,0.0
1982-09-28,0.33,0.33,0.33,0.33,0.26,21380800.0,0.0,0.0
1982-10-08,0.39,0.42,0.39,0.42,0.33,68885600.0,0.0,0.0
1982-10-13,0.42,0.43,0.41,0.42,0.33,49711200.0,0.0,0.0
1982-10-18,0.41,0.42,0.41,0.42,0.33,23587200.0,0.0,0.0
1982-10-28,0.45,0.45,0.44,0.45,0.35,54420800.0,0.0,0.0
1982-11-02,0.48,0.53,0.48,0.51,0.4,77711200.0,0.0,0.0
1982-11-12,0.59,0.61,0.58,0.58,0.46,32776800.0,0.0,0.0
1982-11-17,0.54,0.56,0.54,0.56,0.44,36036000.0,0.0,0.0
1982-11-22,0.55,0.55,0.5,0.5,0.4,25312000.0,0.0,0.0
1982-12-02,0.58,0.59,0.57,0.58,0.46,41182400.0,0.0,0.0
1982-12-07,0.6,0.62,0.58,0.6,0.48,41820800.0,0.0,0.0
1982-12-17,0.51,0.54,0.51,0.54,0.42,20182400.0,0.0,0.0
1982-12-22,0.54,0.56,0.54,0.56,0.44,25306400.0,0.0,0.0
1982-12-27,0.57,0.59,0.57,0.58,0.46,15467200.0,0.0,0.0
1983-01-06,0.54,0.54,0.52,0.52,0.41,24449600.0,0.0,0.0
1983-01-11,0.51,0.53,0.51,0.52,0.41,347200.0,0.0,0.0
1983-01-21,0.67,0.7,0.66,0.67,0.53,100648800.0,0.0,0.0
1983-01-26,0.66,0.69,0.66,0.68,0.54,50803200.0,0.0,0.0
1983-01-31,0.73,0.74,0.72,0.73,0.58,47000800.0,0.0,0.0
1983-02-10,0.75,0.81,0.75,0.8,0.63,59180800.0,0.0,0.0
1983-02-15,0.83,0.83,0.8,0.81,0.64,28795200.0,0.0,0.0
1983-02-25,0.86,0.87,0.83,0.83,0.66,28672000.0,0.0,0.0
1983-03-02,0.83,0.84,0.83,0.83,0.66,26488000.0,0.0,0.0
1983-03-07,0.8,0.8,0.76,0.78,0.62,38169600.0,0.0,0.0
1983-03-17,0.75,0.76,0.75,0.76,0.6,11037600.0,0.0,0.0
1983-03-22,0.79,0.81,0.79,0.79,0.63,25250400.0,0.0,0.0
1983-04-06,0.72,0.72,0.71,0.71,0.56,53496800.0,0.0,0.0
1983-04-11,0.7,0.75,0.69,0.74,0.59,57618400.0,0.0,0.0
1983-04-21,0.92,0.94,0.92,0.93,0.73,57512000.0,0.0,0.0
1983-04-26,0.87,0.9,0.87,0.89,0.7,24858400.0,0.0,0.0
