Datetime,Open,High,Low,Close,Volume,Signal
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,312.31,312.31,310.79,312.1,1879718.0,-3.9622641509430014
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,312.45,312.45,311.53,312.19,1471272.0,-4.779411764705717
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,312.64,312.64,311.75,311.93,1346093.0,-12.611012433392187
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,312.61,312.61,311.89,312.41,945081.0,-4.085257548844788
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.38,313.38,312.4,313.37,1277297.0,-0.1628664495112529
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.83,313.83,313.17,313.61,1101328.0,-3.33839150227574
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.64,313.64,313.03,313.27,873781.0,-11.789473684210574
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.64,313.64,312.93,313.2,783039.0,-15.328467153284722
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.61,313.61,313.07,313.47,678234.0,-11.842105263156615
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.74,313.74,313.08,313.16,646336.0,-29.130434782606773
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,313.29,313.29,312.69,313.25,817074.0,-27.884615384614833
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,314.23,314.23,312.94,314.07,1053133.0,-6.837606837607813
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,314.8,314.8,313.91,314.72,1073198.0,-3.333333333332623
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.21,315.21,314.68,314.86,1270938.0,-13.888888888887635
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.17,315.17,314.58,314.85,905768.0,-14.285714285712675
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,314.97,314.97,314.51,314.68,805057.0,-21.0317460317451
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.48,315.48,314.61,315.03,1019750.0,-16.12903225806603
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.93,315.93,315.21,315.81,1018248.0,-3.703703703703834
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,316.27,316.27,315.7,316.05,986212.0,-6.145251396647247
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,317.05,317.05,315.85,316.37,1623519.0,-16.54501216545023
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,316.79,316.79,315.75,316.0,1200886.0,-33.43949044586038
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,316.36,316.36,315.66,315.9,1194701.0,-45.27559055118208
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,316.05,316.05,314.99,315.01,2056142.0,-80.31496062992142
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.01,315.01,315.01,315.01,0.0,-80.31496062992142
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.24,315.24,314.7,314.89,0.0,-88.52459016393553
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.01,315.01,314.9,314.96,0.0,-88.93617021276646
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.01,315.01,314.57,315.0,0.0,-82.6612903225805
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,314.98,314.98,314.9,314.96,0.0,-84.27419354838776
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.03,315.03,314.97,315.0,0.0,-80.63063063063056
<backtrader.feeds.csvgeneric.GenericCSVData object at 0x000001280BA93388>,315.01,315.01,314.76,314.93,0.0,-79.88826815642405
