Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-05-12,2.44,2.5,1.71,1.73,1.73,86856000.0,0,0.0
1997-05-19,1.76,1.77,1.31,1.5,1.5,58141200.0,0,0.0
1997-05-26,1.51,1.65,1.46,1.5,1.5,19339200.0,0,0.0
1997-06-02,1.51,1.71,1.38,1.66,1.66,18334800.0,0,0.0
1997-06-09,1.66,1.71,1.53,1.58,1.58,11324400.0,0,0.0
1997-06-16,1.6,1.6,1.49,1.53,1.53,12475200.0,0,0.0
1997-06-23,1.54,1.54,1.48,1.49,1.49,8282400.0,0,0.0
1997-06-30,1.51,1.92,1.48,1.91,1.91,20498400.0,0,0.0
1997-07-07,1.83,2.57,1.83,2.29,2.29,51415200.0,0,0.0
1997-07-14,2.32,2.49,2.11,2.16,2.16,20852400.0,0,0.0
1997-07-21,2.18,2.33,2.06,2.23,2.23,7234800.0,0,0.0
1997-07-28,2.23,2.51,2.22,2.42,2.42,14948400.0,0,0.0
1997-08-04,2.38,2.41,2.1,2.29,2.29,11192400.0,0,0.0
1997-08-11,2.29,2.33,1.94,2.11,2.11,5040000.0,0,0.0
1997-08-18,2.05,2.21,1.97,2.12,2.12,5124000.0,0,0.0
1997-08-25,2.1,2.4,2.1,2.34,2.34,6962400.0,0,0.0
1997-09-01,2.34,2.67,2.31,2.5,2.5,7952400.0,0,0.0
1997-09-08,2.53,3.7,2.5,3.69,3.69,26082000.0,0,0.0
1997-09-15,3.67,4.08,3.05,3.95,3.95,25681200.0,0,0.0
1997-09-22,4.0,4.81,3.95,4.17,4.17,40520400.0,0,0.0
1997-09-29,4.15,4.5,3.8,4.02,4.02,15666000.0,0,0.0
1997-10-06,4.0,4.19,3.67,3.9,3.9,14314800.0,0,0.0
1997-10-13,3.93,4.1,3.52,3.62,3.62,10732800.0,0,0.0
1997-10-20,3.68,5.06,3.67,5.03,5.03,37365600.0,0,0.0
1997-10-27,4.8,5.5,3.88,5.08,5.08,34734000.0,0,0.0
1997-11-03,5.22,5.22,4.39,4.48,4.48,12998400.0,0,0.0
1997-11-10,4.5,4.56,3.67,4.17,4.17,25920000.0,0,0.0
1997-11-17,4.23,4.6,4.22,4.49,4.49,20320800.0,0,0.0
1997-11-24,4.38,4.42,4.04,4.12,4.12,8558400.0,0,0.0
1997-12-01,4.24,4.59,4.14,4.59,4.59,10635600.0,0,0.0
1997-12-08,4.54,4.83,4.4,4.54,4.54,15230400.0,0,0.0
1997-12-15,4.58,4.67,4.17,4.5,4.5,17479200.0,0,0.0
1997-12-22,4.5,4.78,4.43,4.52,4.52,8353200.0,0,0.0
1997-12-29,4.58,5.04,4.53,4.96,4.96,14944800.0,0,0.0
1998-01-05,4.89,4.94,4.23,4.26,4.26,23149200.0,0,0.0
1998-01-12,4.17,5.01,4.15,4.79,4.79,31806000.0,0,0.0
1998-01-19,4.82,5.34,4.81,4.94,4.94,32796000.0,0,0.0
1998-01-26,4.98,5.06,4.62,4.92,4.92,22668000.0,0,0.0
1998-02-02,4.95,5.25,4.88,4.91,4.91,20532000.0,0,0.0
1998-02-09,4.92,5.46,4.77,5.19,5.19,32853600.0,0,0.0
1998-02-16,5.22,5.29,5.05,5.27,5.27,12487200.0,0,0.0
1998-02-23,5.29,6.64,5.21,6.42,6.42,64748400.0,0,0.0
1998-03-02,6.32,6.52,5.83,6.4,6.4,44175600.0,0,0.0
1998-03-09,6.41,7.35,6.4,6.56,6.56,76477200.0,0,0.0
1998-03-16,6.63,7.29,6.49,7.0,7.0,38600400.0,0,0.0
1998-03-23,6.96,7.26,6.62,7.08,7.08,35499600.0,0,0.0
1998-03-30,7.16,8.06,6.98,7.75,7.75,54854400.0,0,0.0
1998-04-06,7.85,8.0,7.06,7.94,7.94,50007600.0,0,0.0
1998-04-13,7.91,8.33,7.67,7.91,7.91,61776000.0,0,0.0
1998-04-20,7.95,8.29,6.71,7.07,7.07,57674400.0,0,0.0
1998-04-27,6.95,8.29,6.43,7.88,7.88,151929600.0,0,0.0
1998-05-04,7.92,7.99,7.35,7.7,7.7,39853200.0,0,0.0
1998-05-11,7.74,7.89,7.21,7.47,7.47,50181600.0,0,0.0
1998-05-18,7.5,7.62,7.12,7.17,7.17,23355600.0,0,0.0
1998-05-25,7.17,7.42,6.65,7.34,7.34,52172400.0,0,0.0
1998-06-01,7.33,7.54,6.88,7.38,7.38,31249200.0,0,0.0
1998-06-02,,,,,,,0,2.0
1998-06-08,7.3,10.58,7.25,10.17,10.17,106691400.0,0,0.0
1998-06-15,9.92,13.75,9.85,12.64,12.64,181452600.0,0,0.0
1998-06-22,12.46,17.46,12.04,15.71,15.71,218100600.0,0,0.0
1998-06-29,15.79,20.92,15.79,20.67,20.67,126919200.0,0,0.0
1998-07-06,21.23,23.96,16.35,16.58,16.58,206922000.0,0,0.0
1998-07-13,16.08,20.08,15.71,19.97,19.97,94041600.0,0,0.0
1998-07-20,20.19,24.5,19.5,20.71,20.71,168012000.0,0,0.0
1998-07-27,19.85,21.23,17.58,18.48,18.48,114436800.0,0,0.0
1998-08-03,18.29,19.81,16.67,19.33,19.33,106075200.0,0,0.0
1998-08-10,19.5,22.5,19.17,20.46,20.46,110854800.0,0,0.0
1998-08-17,20.12,22.29,19.75,21.61,21.61,82922400.0,0,0.0
1998-08-24,21.71,22.92,17.21,17.65,17.65,99754800.0,0,0.0
1998-08-31,17.57,17.94,10.83,14.38,14.38,199063200.0,0,0.0
1998-09-07,15.67,15.79,12.25,12.68,12.68,95415000.0,0,0.0
1998-09-14,13.4,14.32,11.73,13.28,13.28,130607400.0,0,0.0
1998-09-21,12.67,19.48,12.67,18.21,18.21,187379400.0,0,0.0
1998-09-28,19.4,20.0,16.67,18.38,18.38,175258800.0,0,0.0
1998-10-05,18.15,18.71,13.33,15.2,15.2,146613600.0,0,0.0
1998-10-12,16.19,16.99,14.96,16.57,16.57,86469000.0,0,0.0
1998-10-19,16.5,19.72,16.5,19.35,19.35,88786800.0,0,0.0
1998-10-26,19.85,21.64,19.04,21.07,21.07,113687400.0,0,0.0
1998-11-02,21.35,22.18,20.67,20.76,20.76,103891800.0,0,0.0
