Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-05-01,2.44,2.57,1.31,2.4,2.4,418294800.0,0,0.0
1997-08-01,2.34,5.5,1.94,5.08,5.08,244956000.0,0,0.0
1997-11-01,5.22,5.34,3.67,4.92,4.92,244860000.0,0,0.0
1998-02-01,4.95,8.33,4.77,7.65,7.65,692308800.0,0,0.0
1998-05-01,7.73,24.5,6.65,18.48,18.48,1422695400.0,0,0.0
1998-06-02,,,,,,,0,2.0
1998-08-01,18.29,22.92,10.83,21.07,21.07,1622887800.0,0,0.0
1998-11-01,21.35,99.56,20.12,58.47,58.47,2022356400.0,0,0.0
1999-01-05,,,,,,,0,3.0
1999-02-01,58.88,110.62,42.12,86.03,86.03,1012441400.0,0,0.0
1999-05-01,83.44,83.53,44.88,50.03,50.03,1057165600.0,0,0.0
1999-08-01,49.19,90.0,41.0,70.62,70.62,1035014100.0,0,0.0
1999-09-02,,,,,,,0,2.0
1999-11-01,68.06,113.0,58.44,64.56,64.56,789755300.0,0,0.0
2000-02-01,67.5,85.94,40.81,55.19,55.19,526054800.0,0,0.0
2000-05-01,56.0,62.38,27.88,30.12,30.12,532354100.0,0,0.0
2000-08-01,30.62,49.62,19.38,36.62,36.62,524937900.0,0,0.0
2000-11-01,35.81,40.88,13.56,17.31,17.31,571938600.0,0,0.0
2001-02-01,17.19,18.16,8.1,15.78,15.78,524790400.0,0,0.0
2001-05-01,15.9,17.92,11.07,12.49,12.49,453461300.0,0,0.0
2001-08-01,12.73,12.86,5.51,6.98,6.98,397413500.0,0,0.0
2001-11-01,7.08,15.77,6.6,14.19,14.19,846160000.0,0,0.0
2002-02-01,14.07,17.05,11.06,16.69,16.69,487765300.0,0,0.0
2002-05-01,16.55,20.4,12.26,14.45,14.45,474050500.0,0,0.0
2002-08-01,14.31,20.26,12.78,19.36,19.36,464907200.0,0,0.0
2002-11-01,19.22,25.0,18.2,21.85,21.85,531144100.0,0,0.0
2003-02-01,21.94,29.19,19.61,28.69,28.69,499679800.0,0,0.0
2003-05-01,28.68,43.1,28.15,41.64,41.64,591544100.0,0,0.0
2003-08-01,41.41,61.15,38.28,54.43,54.43,641780600.0,0,0.0
2003-11-01,54.8,57.82,47.0,50.4,50.4,593588900.0,0,0.0
2004-02-01,50.65,50.65,39.15,43.6,43.6,503154800.0,0,0.0
2004-05-01,43.48,54.7,37.38,38.92,38.92,513884700.0,0,0.0
2004-08-01,38.45,44.28,33.0,34.13,34.13,564767700.0,0,0.0
2004-11-01,34.22,45.68,34.15,43.22,43.22,539424900.0,0,0.0
2005-02-01,43.0,43.54,30.6,32.36,32.36,500713000.0,0,0.0
2005-05-01,32.3,45.81,32.1,45.15,45.15,405782500.0,0,0.0
2005-08-01,44.88,47.0,38.72,39.86,39.86,366431600.0,0,0.0
2005-11-01,39.97,50.0,39.65,44.82,44.82,461033400.0,0,0.0
2006-02-01,43.92,44.69,35.01,35.21,35.21,394481400.0,0,0.0
2006-05-01,35.19,38.84,25.96,26.89,26.89,490676800.0,0,0.0
2006-08-01,26.55,38.59,25.76,38.09,38.09,514690500.0,0,0.0
2006-11-01,38.13,43.25,36.3,37.67,37.67,398278400.0,0,0.0
2007-02-01,37.95,63.84,36.68,61.33,61.33,646415500.0,0,0.0
2007-05-01,61.12,89.0,59.7,78.54,78.54,833858900.0,0,0.0
2007-08-01,78.1,101.09,70.05,89.15,89.15,529775700.0,0,0.0
2007-11-01,87.75,97.43,68.84,77.7,77.7,595594100.0,0,0.0
2008-02-01,79.02,82.64,61.2,78.63,78.63,601752800.0,0,0.0
2008-05-01,78.4,84.88,62.99,76.34,76.34,521292200.0,0,0.0
