Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-05-15,2.44,2.5,1.93,1.96,1.96,72156000.0,0,0.0
1997-05-20,1.73,1.75,1.64,1.64,1.64,5467200.0,0,0.0
1997-05-30,1.5,1.51,1.48,1.5,1.5,2594400.0,0,0.0
1997-06-04,1.48,1.49,1.4,1.42,1.42,3080400.0,0,0.0
1997-06-09,1.66,1.71,1.66,1.69,1.69,2352000.0,0,0.0
1997-06-19,1.51,1.53,1.5,1.51,1.51,1003200.0,0,0.0
1997-06-24,1.51,1.53,1.48,1.51,1.51,751200.0,0,0.0
1997-07-09,2.3,2.39,2.27,2.32,2.32,8262000.0,0,0.0
1997-07-14,2.32,2.33,2.11,2.14,2.14,4604400.0,0,0.0
1997-07-24,2.3,2.31,2.22,2.26,2.26,1216800.0,0,0.0
1997-07-29,2.36,2.5,2.33,2.48,2.48,4814400.0,0,0.0
1997-08-08,2.17,2.3,2.1,2.29,2.29,2211600.0,0,0.0
1997-08-13,2.23,2.23,2.17,2.2,2.2,590400.0,0,0.0
1997-08-18,2.05,2.05,1.97,2.04,2.04,1784400.0,0,0.0
1997-08-28,2.3,2.4,2.28,2.38,2.38,1147200.0,0,0.0
1997-09-02,2.34,2.38,2.33,2.35,2.35,732000.0,0,0.0
1997-09-12,3.19,3.7,3.16,3.69,3.69,3333600.0,0,0.0
1997-09-17,3.46,3.5,3.33,3.41,3.41,2607600.0,0,0.0
1997-09-22,4.0,4.68,3.95,4.5,4.5,16938000.0,0,0.0
1997-10-02,4.04,4.18,3.99,4.01,4.01,1876800.0,0,0.0
1997-10-07,4.08,4.19,4.04,4.06,4.06,1742400.0,0,0.0
1997-10-17,3.61,3.66,3.52,3.62,3.62,2534400.0,0,0.0
1997-10-22,4.42,4.62,4.38,4.52,4.52,5208000.0,0,0.0
1997-10-27,4.8,5.01,4.23,4.27,4.27,6091200.0,0,0.0
1997-11-06,4.92,4.92,4.64,4.66,4.66,2913600.0,0,0.0
1997-11-11,4.24,4.31,3.92,3.95,3.95,4312800.0,0,0.0
1997-11-21,4.55,4.58,4.49,4.49,4.49,2602800.0,0,0.0
1997-11-26,4.24,4.41,4.24,4.26,4.26,1630800.0,0,0.0
1997-12-01,4.24,4.38,4.14,4.27,4.27,2383200.0,0,0.0
1997-12-11,4.4,4.83,4.4,4.69,4.69,5014800.0,0,0.0
1997-12-16,4.65,4.65,4.46,4.46,4.46,1687200.0,0,0.0
1997-12-26,4.56,4.65,4.49,4.52,4.52,487200.0,0,0.0
1997-12-31,4.88,5.04,4.84,5.02,5.02,4446000.0,0,0.0
1998-01-05,4.89,4.94,4.71,4.75,4.75,3590400.0,0,0.0
1998-01-15,4.79,5.01,4.79,4.95,4.95,6014400.0,0,0.0
1998-01-20,4.82,5.01,4.81,4.95,4.95,5467200.0,0,0.0
1998-01-30,5.0,5.06,4.89,4.92,4.92,3722400.0,0,0.0
1998-02-04,5.06,5.19,5.05,5.06,5.06,1234800.0,0,0.0
1998-02-09,4.92,4.96,4.77,4.85,4.85,2626800.0,0,0.0
1998-02-19,5.11,5.29,5.08,5.23,5.23,4436400.0,0,0.0
1998-02-24,5.42,5.68,5.35,5.41,5.41,13945200.0,0,0.0
1998-03-06,6.3,6.42,6.15,6.4,6.4,5887200.0,0,0.0
1998-03-11,6.83,6.88,6.52,6.64,6.64,12349200.0,0,0.0
1998-03-16,6.63,6.73,6.58,6.58,6.58,3312000.0,0,0.0
1998-03-26,6.81,6.98,6.62,6.9,6.9,7878000.0,0,0.0
1998-03-31,7.11,7.21,6.98,7.13,7.13,6565200.0,0,0.0
1998-04-15,8.17,8.33,7.88,8.01,8.01,11192400.0,0,0.0
1998-04-20,7.95,8.29,7.81,7.85,7.85,8979600.0,0,0.0
1998-04-30,8.12,8.17,7.54,7.65,7.65,22485600.0,0,0.0
1998-05-05,7.83,7.96,7.76,7.81,7.81,5998800.0,0,0.0
