Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-06-07,875.0,912.5,875.0,900.0,444.43,218972000.0,0.0,0.0
2004-06-14,900.0,912.5,875.0,887.5,438.25,234768000.0,0.0,0.0
2004-06-21,887.5,912.5,875.0,912.5,450.6,240710000.0,0.0,0.0
2004-06-28,912.5,937.5,875.0,900.0,444.43,273814000.0,0.0,0.0
2004-07-01,,,,,,,225.0,0.0
2004-07-05,900.0,950.0,900.0,950.0,617.26,375012000.0,0.0,0.0
2004-07-12,950.0,975.0,912.5,950.0,617.26,226152000.0,0.0,0.0
2004-07-19,937.5,950.0,937.5,950.0,617.26,90530000.0,0.0,0.0
2004-07-26,937.5,937.5,912.5,937.5,609.14,245246000.0,0.0,0.0
2004-08-02,925.0,950.0,925.0,937.5,609.14,173468000.0,0.0,0.0
2004-08-09,925.0,925.0,900.0,912.5,592.89,148614000.0,0.0,0.0
2004-08-16,912.5,925.0,900.0,912.5,592.89,88066000.0,0.0,0.0
2004-08-23,912.5,925.0,887.5,912.5,592.89,115760000.0,0.0,0.0
2004-08-30,900.0,962.5,887.5,950.0,617.26,450014000.0,0.0,0.0
2004-09-06,950.0,962.5,900.0,937.5,609.14,552384000.0,0.0,0.0
2004-09-13,937.5,1025.0,937.5,1000.0,649.75,726324000.0,0.0,0.0
2004-09-20,1000.0,1050.0,1000.0,1025.0,665.99,549224000.0,0.0,0.0
2004-09-27,1012.5,1025.0,987.5,1012.5,657.87,293776000.0,0.0,0.0
2004-10-04,1012.5,1150.0,1012.5,1125.0,730.96,743856000.0,0.0,0.0
2004-10-11,1125.0,1150.0,1100.0,1137.5,739.09,289692000.0,0.0,0.0
2004-10-18,1137.5,1137.5,1087.5,1125.0,730.96,242860000.0,0.0,0.0
2004-10-25,1125.0,1212.5,1112.5,1200.0,779.69,240614000.0,0.0,0.0
2004-11-01,1200.0,1300.0,1200.0,1250.0,812.18,307380000.0,0.0,0.0
2004-11-08,1250.0,1412.5,1225.0,1375.0,893.4,204658000.0,0.0,0.0
2004-11-15,1375.0,1375.0,1375.0,1375.0,893.4,0.0,0.0,0.0
2004-11-22,1375.0,1412.5,1287.5,1312.5,852.79,309896000.0,0.0,0.0
2004-11-23,,,,,,,50.0,0.0
2004-11-29,1312.5,1400.0,1312.5,1362.5,919.33,374326000.0,0.0,0.0
2004-12-06,1350.0,1362.5,1325.0,1337.5,902.46,194820000.0,0.0,0.0
2004-12-13,1325.0,1425.0,1250.0,1412.5,953.06,490560000.0,0.0,0.0
2004-12-20,1400.0,1475.0,1400.0,1462.5,986.8,267114000.0,0.0,0.0
2004-12-27,1450.0,1525.0,1450.0,1487.5,1003.67,165188000.0,0.0,0.0
2005-01-03,1475.0,1575.0,1462.5,1475.0,995.24,347340000.0,0.0,0.0
2005-01-10,1475.0,1475.0,1362.5,1412.5,953.06,691514000.0,0.0,0.0
2005-01-17,1412.5,1437.5,1400.0,1437.5,969.93,271432000.0,0.0,0.0
2005-01-24,1437.5,1475.0,1425.0,1462.5,986.8,306934000.0,0.0,0.0
2005-01-31,1450.0,1512.5,1437.5,1500.0,1012.1,316406000.0,0.0,0.0
2005-02-07,1500.0,1512.5,1487.5,1500.0,1012.1,147658000.0,0.0,0.0
2005-02-14,1500.0,1687.5,1475.0,1662.5,1121.75,512686000.0,0.0,0.0
2005-02-21,1662.5,1687.5,1625.0,1650.0,1113.31,234694000.0,0.0,0.0
2005-02-28,1650.0,1700.0,1587.5,1675.0,1130.18,357026000.0,0.0,0.0
2005-03-07,1675.0,1750.0,1662.5,1662.5,1121.75,392034000.0,0.0,0.0
2005-03-14,1675.0,1900.0,1637.5,1850.0,1248.26,548222000.0,0.0,0.0
2005-03-21,1850.0,1950.0,1750.0,1800.0,1214.52,618904000.0,0.0,0.0
2005-03-28,1800.0,1800.0,1625.0,1700.0,1147.05,1013208000.0,0.0,0.0
