Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-06-01,875.0,975.0,875.0,900.0,444.43,2522934000.0,0.0,0.0
2004-07-01,,,,,,,225.0,0.0
2004-09-01,900.0,1412.5,900.0,1375.0,893.4,4910710000.0,0.0,0.0
2004-11-23,,,,,,,50.0,0.0
2004-12-01,1375.0,1687.5,1250.0,1637.5,1104.88,4324356000.0,0.0,0.0
2005-03-01,1625.0,1950.0,1487.5,1737.5,1172.35,5833840000.0,0.0,0.0
2005-06-01,1725.0,1912.5,1550.0,1712.5,1155.48,2769992000.0,0.0,0.0
2005-07-20,,,,,,,80.0,0.0
2005-09-01,1700.0,1825.0,1462.5,1650.0,1165.86,3353236000.0,0.0,0.0
2005-10-07,,,,,,,50.0,0.0
2005-12-01,1650.0,1862.5,1637.5,1800.0,1308.98,1940060000.0,0.0,0.0
2006-03-01,1800.0,2462.5,1787.5,2050.0,1490.78,2718344000.0,0.0,0.0
2006-06-01,2025.0,2275.0,1837.5,2275.0,1654.41,2874614000.0,0.0,0.0
2006-06-07,,,,,,,90.0,0.0
2006-09-01,2262.5,2775.0,2200.0,2650.0,2015.6,3094160000.0,0.0,0.0
2006-10-11,,,,,,,55.0,0.0
2006-12-01,2700.0,2725.0,2300.0,2462.5,1918.12,1888004000.0,0.0,0.0
2007-03-01,2475.0,2825.0,2387.5,2625.0,2044.7,1750496000.0,0.0,0.0
2007-06-01,2625.0,3275.0,2600.0,3000.0,2336.8,3289428006.0,0.0,0.0
2007-06-11,,,,,,,115.0,0.0
2007-09-01,3025.0,3775.0,2900.0,3550.0,2888.23,2089896000.0,0.0,0.0
2007-11-30,,,,,,,55.0,0.0
2007-12-01,3550.0,3800.0,2950.0,3575.0,2954.01,2184268000.0,0.0,0.0
2008-01-28,,,,,,,0.0,2.0
2008-03-01,3500.0,3625.0,2675.0,2775.0,2292.97,1549403000.0,0.0,0.0
2008-06-01,2800.0,3250.0,2275.0,3175.0,2623.49,1147485500.0,0.0,0.0
2008-06-13,,,,,,,63.5,0.0
2008-09-01,3200.0,3400.0,2000.0,2700.0,2286.31,1154570500.0,0.0,0.0
2008-12-01,2700.0,3700.0,2300.0,2350.0,1989.93,793162000.0,0.0,0.0
2009-01-16,,,,,,,35.0,0.0
2009-03-01,2300.0,3625.0,2275.0,3375.0,2894.39,934976500.0,0.0,0.0
2009-06-01,3425.0,4425.0,3375.0,4250.0,3644.79,1249599000.0,0.0,0.0
