Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-05-28,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-06-04,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-06-11,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-06-18,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-06-25,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-07-02,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-07-09,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-07-16,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-07-23,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-07-30,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-08-06,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-08-13,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-08-20,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-08-27,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-09-03,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-09-10,0.1208,0.1214,0.1202,0.1208,0.1208,0,0,0
2001-09-17,0.1208,0.1214,0.1202,0.1208,0.1208,0,0,0
2001-09-24,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-10-01,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-10-08,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-10-15,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2001-10-22,0.1208,0.1214,0.1202,0.1208,0.1208,0,0,0
2001-10-29,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2001-11-05,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-11-12,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2001-11-19,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-11-26,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-12-03,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-12-10,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-12-17,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-12-24,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2001-12-31,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-01-07,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-01-14,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-01-21,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-01-28,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-02-04,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-02-11,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-02-18,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-02-25,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-03-04,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-03-11,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-03-18,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-03-25,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-04-01,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-04-08,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-04-15,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-04-22,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-04-29,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-05-06,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-05-13,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-05-20,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-05-27,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-06-03,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2002-06-10,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2002-06-17,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-06-24,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-07-01,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-07-08,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-07-15,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-07-22,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-07-29,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-08-05,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-08-12,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-08-19,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-08-26,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-09-02,0.1208,0.121,0.1206,0.1208,0.1208,0,0,0
2002-09-09,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-09-16,0.1208,0.1211,0.1207,0.121,0.121,0,0,0
2002-09-23,0.1208,0.121,0.1207,0.121,0.121,0,0,0
2002-09-30,0.1208,0.121,0.1207,0.121,0.121,0,0,0
2002-10-07,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-10-14,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-10-21,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-10-28,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-11-04,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-11-11,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-11-18,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-11-25,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-12-02,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-12-09,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-12-16,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2002-12-23,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2002-12-30,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-01-06,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-01-13,0.1208,0.121,0.1206,0.1208,0.1208,0,0,0
2003-01-20,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-01-27,0.1208,0.121,0.1206,0.1208,0.1208,0,0,0
2003-02-03,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2003-02-10,0.1208,0.121,0.1206,0.1208,0.1208,0,0,0
2003-02-17,0.1208,0.1208,0.1208,0.1208,0.1208,0,0,0
2003-02-24,0.1208,0.1208,0.1208,0.1208,0.1208,0,0,0
2003-03-03,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-03-10,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-03-17,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-03-24,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-03-31,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-04-07,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-04-14,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-04-21,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-04-28,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-05-05,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-05-12,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-05-19,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-05-26,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-06-02,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2003-06-09,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-06-16,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-06-23,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-06-30,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-07-07,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-07-14,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-07-21,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-07-28,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-08-04,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-08-11,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-08-18,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-08-25,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-09-01,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-09-08,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-09-15,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-09-22,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-09-29,0.1208,0.1213,0.1204,0.1208,0.1208,0,0,0
2003-10-06,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-10-13,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-10-20,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-10-27,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-11-03,0.1208,0.1211,0.1205,0.1208,0.1208,0,0,0
2003-11-10,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-11-17,0.1208,0.1213,0.1204,0.1208,0.1208,0,0,0
2003-11-24,0.1208,0.121,0.1207,0.1208,0.1208,0,0,0
2003-12-01,0.121,0.1211,0.121,0.121,0.121,0,0,0
2003-12-08,0.121,0.121,0.121,0.121,0.121,0,0,0
2003-12-15,0.121,0.121,0.121,0.121,0.121,0,0,0
2003-12-22,0.121,0.121,0.1207,0.1208,0.1208,0,0,0
2003-12-29,0.121,0.121,0.1207,0.121,0.121,0,0,0
2004-01-05,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-01-12,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-01-19,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-01-26,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-02-02,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-02-09,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-02-16,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-02-23,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-03-01,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-03-08,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-03-15,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-03-22,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-03-29,0.121,0.1213,0.121,0.121,0.121,0,0,0
2004-04-05,0.121,0.121,0.1207,0.1208,0.1208,0,0,0
2004-04-12,0.1208,0.121,0.1207,0.121,0.121,0,0,0
2004-04-19,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-04-26,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-05-03,0.121,0.1214,0.121,0.121,0.121,0,0,0
2004-05-10,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-05-17,0.121,0.121,0.1208,0.121,0.121,0,0,0
2004-05-24,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-05-31,0.1208,0.1214,0.1208,0.121,0.121,0,0,0
2004-06-07,0.1208,0.121,0.1207,0.121,0.121,0,0,0
2004-06-14,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-06-21,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-06-28,0.121,0.1213,0.121,0.121,0.121,0,0,0
2004-07-05,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-07-12,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-07-19,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-07-26,0.121,0.1213,0.121,0.121,0.121,0,0,0
2004-08-02,0.121,0.1214,0.121,0.121,0.121,0,0,0
2004-08-09,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-08-16,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-08-23,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-08-30,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-09-06,0.121,0.1211,0.121,0.121,0.121,0,0,0
2004-09-13,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-09-20,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-09-27,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-10-04,0.121,0.1214,0.121,0.121,0.121,0,0,0
2004-10-11,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-10-18,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-10-25,0.121,0.121,0.1207,0.121,0.121,0,0,0
2004-11-01,0.121,0.1214,0.121,0.121,0.121,0,0,0
2004-11-08,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-11-15,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-11-22,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-11-29,0.121,0.1213,0.121,0.121,0.121,0,0,0
2004-12-06,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-12-13,0.121,0.121,0.121,0.121,0.121,0,0,0
2004-12-20,0.121,0.121,0.1207,0.1208,0.1208,0,0,0
2004-12-27,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-01-03,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-01-10,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-01-17,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-01-24,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-01-31,0.121,0.1211,0.121,0.121,0.121,0,0,0
2005-02-07,0.121,0.121,0.121,0.121,0.121,0,0,0
2005-02-14,0.121,0.121,0.121,0.121,0.121,0,0,0
