Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,1.2034,1.2191,1.1944,1.2171,1.2171,0,0,0
2003-12-08,1.2168,1.2306,1.2123,1.2185,1.2185,0,0,0
2003-12-15,1.2187,1.2442,1.2178,1.2358,1.2358,0,0,0
2003-12-22,1.2357,1.2672,1.2357,1.2434,1.2434,0,0,0
2003-12-29,1.2434,1.2649,1.243,1.2638,1.2638,0,0,0
2004-01-05,1.2639,1.2867,1.2565,1.2851,1.2851,0,0,0
2004-01-12,1.2848,1.2897,1.2154,1.2388,1.2388,0,0,0
2004-01-19,1.2387,1.2776,1.234,1.2575,1.2575,0,0,0
2004-01-26,1.2575,1.266,1.2355,1.2477,1.2477,0,0,0
2004-02-02,1.2476,1.2726,1.2396,1.2648,1.2648,0,0,0
2004-02-09,1.2655,1.289,1.2655,1.2728,1.2728,0,0,0
2004-02-16,1.273,1.2922,1.2503,1.2508,1.2508,0,0,0
2004-02-23,1.2501,1.2711,1.2381,1.253,1.253,0,0,0
2004-03-01,1.2539,1.2541,1.2069,1.2364,1.2364,0,0,0
2004-03-08,1.2365,1.2464,1.2174,1.2212,1.2212,0,0,0
2004-03-15,1.2214,1.2419,1.2183,1.2277,1.2277,0,0,0
2004-03-22,1.2277,1.2396,1.209,1.2115,1.2115,0,0,0
2004-03-29,1.2114,1.2385,1.2065,1.2114,1.2114,0,0,0
2004-04-05,1.2115,1.2217,1.1989,1.2094,1.2094,0,0,0
2004-04-12,1.2091,1.2096,1.1877,1.2023,1.2023,0,0,0
2004-04-19,1.202,1.2078,1.1791,1.1808,1.1808,0,0,0
2004-04-26,1.1801,1.2009,1.1765,1.1993,1.1993,0,0,0
2004-05-03,1.1994,1.2178,1.1871,1.1893,1.1893,0,0,0
2004-05-10,1.1895,1.1941,1.178,1.1895,1.1895,0,0,0
2004-05-17,1.1895,1.2068,1.1882,1.2001,1.2001,0,0,0
2004-05-24,1.2001,1.2294,1.1939,1.224,1.224,0,0,0
2004-05-31,1.224,1.2319,1.216,1.2315,1.2315,0,0,0
2004-06-07,1.2318,1.235,1.1965,1.1965,1.1965,0,0,0
2004-06-14,1.1968,1.2171,1.1957,1.2136,1.2136,0,0,0
2004-06-21,1.2138,1.2203,1.2046,1.2175,1.2175,0,0,0
2004-06-28,1.2175,1.2337,1.2068,1.2333,1.2333,0,0,0
2004-07-05,1.233,1.2424,1.2271,1.2415,1.2415,0,0,0
2004-07-12,1.2412,1.246,1.2304,1.2457,1.2457,0,0,0
2004-07-19,1.2455,1.2464,1.2092,1.2112,1.2112,0,0,0
2004-07-26,1.2108,1.219,1.1998,1.2045,1.2045,0,0,0
2004-08-02,1.2042,1.2328,1.1975,1.2274,1.2274,0,0,0
2004-08-09,1.227,1.2384,1.2185,1.2378,1.2378,0,0,0
2004-08-16,1.2381,1.2385,1.2285,1.2305,1.2305,0,0,0
2004-08-23,1.2308,1.2318,1.2002,1.2017,1.2017,0,0,0
2004-08-30,1.2017,1.2221,1.1992,1.2063,1.2063,0,0,0
2004-09-06,1.2063,1.2306,1.2033,1.2281,1.2281,0,0,0
2004-09-13,1.2283,1.2295,1.2125,1.2175,1.2175,0,0,0
2004-09-20,1.2175,1.2357,1.2129,1.2283,1.2283,0,0,0
2004-09-27,1.2286,1.2444,1.2253,1.2398,1.2398,0,0,0
2004-10-04,1.2402,1.2435,1.226,1.2411,1.2411,0,0,0
2004-10-11,1.2412,1.25,1.2235,1.2482,1.2482,0,0,0
2004-10-18,1.2483,1.273,1.2455,1.2729,1.2729,0,0,0
2004-10-25,1.273,1.2843,1.2662,1.2832,1.2832,0,0,0
2004-11-01,1.2828,1.2997,1.2666,1.2969,1.2969,0,0,0
2004-11-08,1.2964,1.2992,1.2862,1.2991,1.2991,0,0,0
2004-11-15,1.299,1.3073,1.2922,1.3025,1.3025,0,0,0
2004-11-22,1.3026,1.3329,1.298,1.3272,1.3272,0,0,0
2004-11-29,1.3272,1.3466,1.3234,1.345,1.345,0,0,0
2004-12-06,1.345,1.347,1.315,1.3223,1.3223,0,0,0
2004-12-13,1.3223,1.3438,1.3213,1.3314,1.3314,0,0,0
2004-12-20,1.3311,1.3548,1.3301,1.3527,1.3527,0,0,0
2004-12-27,1.3528,1.3662,1.3519,1.3582,1.3582,0,0,0
2005-01-03,1.3581,1.3581,1.303,1.3076,1.3076,0,0,0
2005-01-10,1.3076,1.3291,1.3064,1.3099,1.3099,0,0,0
2005-01-17,1.31,1.3129,1.2932,1.3043,1.3043,0,0,0
2005-01-24,1.3042,1.3121,1.2954,1.3024,1.3024,0,0,0
2005-01-31,1.3024,1.3094,1.2855,1.2855,1.2855,0,0,0
2005-02-07,1.2856,1.2904,1.2737,1.2889,1.2889,0,0,0
2005-02-14,1.2889,1.309,1.2886,1.3071,1.3071,0,0,0
2005-02-21,1.3072,1.3273,1.3037,1.3254,1.3254,0,0,0
2005-02-28,1.3254,1.328,1.3094,1.3237,1.3237,0,0,0
2005-03-07,1.3234,1.3478,1.3185,1.3474,1.3474,0,0,0
2005-03-14,1.3474,1.3479,1.327,1.3316,1.3316,0,0,0
2005-03-21,1.3319,1.3319,1.2932,1.2958,1.2958,0,0,0
2005-03-28,1.2958,1.3043,1.2861,1.2898,1.2898,0,0,0
2005-04-04,1.2897,1.2944,1.2804,1.2924,1.2924,0,0,0
2005-04-11,1.2921,1.3,1.2779,1.2919,1.2919,0,0,0
2005-04-18,1.2913,1.3117,1.2881,1.3052,1.3052,0,0,0
2005-04-25,1.3056,1.306,1.2856,1.2862,1.2862,0,0,0
2005-05-02,1.2862,1.2987,1.281,1.282,1.282,0,0,0
2005-05-09,1.2819,1.2903,1.2603,1.2603,1.2603,0,0,0
2005-05-16,1.2606,1.2691,1.2542,1.2554,1.2554,0,0,0
2005-05-23,1.2554,1.2629,1.2502,1.2531,1.2531,0,0,0
2005-05-30,1.2528,1.2547,1.2167,1.2231,1.2231,0,0,0
2005-06-06,1.2231,1.2346,1.211,1.2115,1.2115,0,0,0
2005-06-13,1.2117,1.23,1.2022,1.2193,1.2193,0,0,0
2005-06-20,1.2198,1.2251,1.2006,1.2111,1.2111,0,0,0
2005-06-27,1.2109,1.2186,1.1914,1.1936,1.1936,0,0,0
2005-07-04,1.1912,1.203,1.1872,1.197,1.197,0,0,0
2005-07-11,1.1971,1.2253,1.1963,1.2034,1.2034,0,0,0
2005-07-18,1.2038,1.2227,1.1959,1.2051,1.2051,0,0,0
2005-07-25,1.2051,1.2225,1.1976,1.2124,1.2124,0,0,0
2005-08-01,1.2123,1.2604,1.2122,1.2334,1.2334,0,0,0
2005-08-08,1.2337,1.2484,1.232,1.2454,1.2454,0,0,0
2005-08-15,1.2454,1.2458,1.2133,1.2169,1.2169,0,0,0
2005-08-22,1.2169,1.234,1.216,1.23,1.23,0,0,0
2005-08-29,1.2306,1.2588,1.2176,1.2539,1.2539,0,0,0
2005-09-05,1.2539,1.2586,1.2375,1.2403,1.2403,0,0,0
2005-09-12,1.2402,1.2414,1.215,1.215,1.215,0,0,0
2005-09-19,1.2154,1.2269,1.2001,1.2027,1.2027,0,0,0
2005-09-26,1.2026,1.208,1.1986,1.202,1.202,0,0,0
2005-10-03,1.2021,1.2205,1.1904,1.2115,1.2115,0,0,0
2005-10-10,1.2116,1.2152,1.1919,1.207,1.207,0,0,0
2005-10-17,1.207,1.2121,1.1882,1.1944,1.1944,0,0,0
2005-10-24,1.1945,1.2172,1.1925,1.2065,1.2065,0,0,0
2005-10-31,1.2065,1.2089,1.1804,1.1807,1.1807,0,0,0
2005-11-07,1.1807,1.183,1.1674,1.1735,1.1735,0,0,0
2005-11-14,1.1736,1.1785,1.1648,1.1776,1.1776,0,0,0
2005-11-21,1.1775,1.1857,1.169,1.1718,1.1718,0,0,0
2005-11-28,1.1709,1.1885,1.1668,1.1718,1.1718,0,0,0
2005-12-05,1.172,1.1848,1.1691,1.1794,1.1794,0,0,0
2005-12-12,1.1795,1.2057,1.1795,1.2038,1.2038,0,0,0
2005-12-19,1.2036,1.2039,1.1805,1.1862,1.1862,0,0,0
2005-12-26,1.1862,1.1931,1.1783,1.1843,1.1843,0,0,0
2006-01-02,1.1842,1.2174,1.1815,1.2143,1.2143,0,0,0
2006-01-09,1.214,1.2174,1.2013,1.2166,1.2166,0,0,0
2006-01-16,1.2165,1.2171,1.2054,1.217,1.217,0,0,0
2006-01-23,1.2168,1.2321,1.2091,1.2106,1.2106,0,0,0
2006-01-30,1.2106,1.2185,1.1975,1.2027,1.2027,0,0,0
2006-02-06,1.2031,1.2043,1.1871,1.1901,1.1901,0,0,0
2006-02-13,1.1901,1.195,1.1853,1.1948,1.1948,0,0,0
2006-02-20,1.1949,1.1975,1.1834,1.1842,1.1842,0,0,0
2006-02-27,1.1844,1.2089,1.1832,1.2082,1.2082,0,0,0
2006-03-06,1.2086,1.2092,1.1867,1.1919,1.1919,0,0,0
2006-03-13,1.1923,1.2204,1.1921,1.2179,1.2179,0,0,0
2006-03-20,1.2181,1.2195,1.1957,1.2034,1.2034,0,0,0
2006-03-27,1.2033,1.2411,1.1986,1.2118,1.2118,0,0,0
2006-04-03,1.2121,1.2329,1.2038,1.2111,1.2111,0,0,0
2006-04-10,1.2111,1.2169,1.2078,1.2106,1.2106,0,0,0
2006-04-17,1.2129,1.2399,1.2129,1.2377,1.2377,0,0,0
2006-04-24,1.2375,1.2641,1.2342,1.2625,1.2625,0,0,0
2006-05-01,1.2625,1.2765,1.2562,1.2735,1.2735,0,0,0
2006-05-08,1.2733,1.2972,1.2667,1.2971,1.2971,0,0,0
2006-05-15,1.2973,1.2973,1.2702,1.2767,1.2767,0,0,0
2006-05-22,1.2768,1.2888,1.2703,1.274,1.274,0,0,0
2006-05-29,1.274,1.2941,1.2728,1.2925,1.2925,0,0,0
2006-06-05,1.2925,1.2977,1.2606,1.2618,1.2618,0,0,0
2006-06-12,1.2615,1.2672,1.2534,1.2637,1.2637,0,0,0
2006-06-19,1.2638,1.2679,1.2486,1.251,1.251,0,0,0
2006-06-26,1.2509,1.2798,1.2507,1.279,1.279,0,0,0
2006-07-03,1.2789,1.2854,1.2711,1.2809,1.2809,0,0,0
2006-07-10,1.2809,1.2814,1.263,1.2639,1.2639,0,0,0
2006-07-17,1.2639,1.2714,1.2466,1.2707,1.2707,0,0,0
2006-07-24,1.2707,1.2771,1.2564,1.2765,1.2765,0,0,0
2006-07-31,1.2765,1.2909,1.2723,1.2885,1.2885,0,0,0
2006-08-07,1.2884,1.291,1.2721,1.2727,1.2727,0,0,0
2006-08-14,1.2734,1.2887,1.2711,1.2839,1.2839,0,0,0
2006-08-21,1.2839,1.2937,1.2733,1.2762,1.2762,0,0,0
2006-08-28,1.2761,1.2878,1.2753,1.2848,1.2848,0,0,0
2006-09-04,1.2853,1.2876,1.266,1.2672,1.2672,0,0,0
2006-09-11,1.2673,1.2752,1.2627,1.2644,1.2644,0,0,0
2006-09-18,1.2643,1.283,1.2635,1.2791,1.2791,0,0,0
2006-09-25,1.2793,1.282,1.2644,1.2678,1.2678,0,0,0
2006-10-02,1.268,1.2766,1.2577,1.2592,1.2592,0,0,0
2006-10-09,1.2591,1.2614,1.2488,1.2505,1.2505,0,0,0
2006-10-16,1.2505,1.2641,1.2492,1.2616,1.2616,0,0,0
2006-10-23,1.2612,1.2756,1.2528,1.2731,1.2731,0,0,0
2006-10-30,1.2731,1.2794,1.2684,1.2718,1.2718,0,0,0
2006-11-06,1.2719,1.2923,1.2694,1.2848,1.2848,0,0,0
2006-11-13,1.2847,1.2879,1.2765,1.2823,1.2823,0,0,0
2006-11-20,1.2821,1.3177,1.2801,1.3158,1.3158,0,0,0
2006-11-27,1.3158,1.3363,1.3101,1.3358,1.3358,0,0,0
2006-12-04,1.3355,1.3471,1.2759,1.3187,1.3187,0,0,0
2006-12-11,1.3184,1.3289,1.3064,1.3084,1.3084,0,0,0
2006-12-18,1.3085,1.3245,1.3056,1.3136,1.3136,0,0,0
2006-12-25,1.3137,1.3208,1.3094,1.3198,1.3198,0,0,0
2007-01-01,1.3198,1.3294,1.2984,1.3008,1.3008,0,0,0
2007-01-08,1.3008,1.3049,1.2871,1.2929,1.2929,0,0,0
2007-01-15,1.2929,1.3003,1.2903,1.2963,1.2963,0,0,0
2007-01-22,1.2963,1.3044,1.2888,1.2926,1.2926,0,0,0
2007-01-29,1.2923,1.305,1.29,1.2963,1.2963,0,0,0
2007-02-05,1.2963,1.3045,1.2902,1.302,1.302,0,0,0
2007-02-12,1.302,1.3169,1.2944,1.315,1.315,0,0,0
2007-02-19,1.3149,1.3188,1.3085,1.3184,1.3184,0,0,0
2007-02-26,1.3182,1.3354,1.3147,1.3186,1.3186,0,0,0
2007-03-05,1.3186,1.3194,1.3078,1.313,1.313,0,0,0
2007-03-12,1.3126,1.3341,1.3113,1.3318,1.3318,0,0,0
2007-03-19,1.332,1.341,1.3264,1.3266,1.3266,0,0,0
2007-03-26,1.327,1.3397,1.3258,1.3358,1.3358,0,0,0
2007-04-02,1.3358,1.3441,1.3301,1.3374,1.3374,0,0,0
2007-04-09,1.3374,1.3577,1.3344,1.3576,1.3576,0,0,0
2007-04-16,1.3578,1.3717,1.3529,1.3604,1.3604,0,0,0
2007-04-23,1.3605,1.3676,1.3548,1.364,1.364,0,0,0
2007-04-30,1.3641,1.3738,1.3457,1.3598,1.3598,0,0,0
2007-05-07,1.3598,1.3627,1.3467,1.3534,1.3534,0,0,0
2007-05-14,1.3535,1.3611,1.3465,1.3524,1.3524,0,0,0
2007-05-21,1.3525,1.3526,1.3415,1.3451,1.3451,0,0,0
2007-05-28,1.3451,1.3518,1.3397,1.3452,1.3452,0,0,0
2007-06-04,1.3442,1.355,1.333,1.3361,1.3361,0,0,0
2007-06-11,1.3362,1.3465,1.3266,1.3384,1.3384,0,0,0
2007-06-18,1.3384,1.3495,1.3375,1.3467,1.3467,0,0,0
2007-06-25,1.3466,1.3551,1.3421,1.3542,1.3542,0,0,0
2007-07-02,1.3543,1.3655,1.3531,1.3629,1.3629,0,0,0
2007-07-09,1.3628,1.3809,1.3602,1.3774,1.3774,0,0,0
2007-07-16,1.3774,1.3847,1.3765,1.3837,1.3837,0,0,0
2007-07-23,1.3836,1.3849,1.3386,1.3628,1.3628,0,0,0
2007-07-30,1.3631,1.384,1.3626,1.3818,1.3818,0,0,0
2007-08-06,1.3818,1.3839,1.3612,1.369,1.369,0,0,0
2007-08-13,1.3691,1.3711,1.3383,1.3487,1.3487,0,0,0
2007-08-20,1.3487,1.3687,1.3454,1.3674,1.3674,0,0,0
2007-08-27,1.3676,1.372,1.3565,1.3634,1.3634,0,0,0
2007-09-03,1.3634,1.3792,1.3556,1.3778,1.3778,0,0,0
2007-09-10,1.3809,1.3924,1.378,1.3868,1.3868,0,0,0
2007-09-17,1.3868,1.4118,1.3834,1.4091,1.4091,0,0,0
2007-09-24,1.4091,1.4282,1.4066,1.427,1.427,0,0,0
2007-10-01,1.4271,1.4276,1.4046,1.415,1.415,0,0,0
2007-10-08,1.4149,1.424,1.4017,1.4168,1.4168,0,0,0
2007-10-15,1.4169,1.4349,1.4147,1.433,1.433,0,0,0
2007-10-22,1.4332,1.4428,1.4126,1.441,1.441,0,0,0
2007-10-29,1.4408,1.4524,1.4378,1.4506,1.4506,0,0,0
2007-11-05,1.4506,1.475,1.4451,1.4657,1.4657,0,0,0
2007-11-12,1.466,1.472,1.4524,1.4673,1.4673,0,0,0
2007-11-19,1.4672,1.4957,1.3613,1.4838,1.4838,0,0,0
2007-11-26,1.4876,1.5147,1.463,1.4663,1.4663,0,0,0
2007-12-03,1.4662,1.4771,1.4541,1.4655,1.4655,0,0,0
2007-12-10,1.4655,1.475,1.4386,1.4419,1.4419,0,0,0
2007-12-17,1.442,1.4451,1.4317,1.4379,1.4379,0,0,0
2007-12-24,1.4382,1.4744,1.4378,1.4736,1.4736,0,0,0
2007-12-31,1.4737,1.4818,1.4573,1.4752,1.4752,0,0,0
2008-01-07,1.4752,1.5593,1.4643,1.4806,1.4806,0,0,0
2008-01-14,1.4808,1.492,1.4592,1.4596,1.4596,0,0,0
2008-01-21,1.46,1.4776,1.4373,1.4694,1.4694,0,0,0
2008-01-28,1.4693,1.4932,1.4666,1.4805,1.4805,0,0,0
2008-02-04,1.4803,1.5571,1.4452,1.4528,1.4528,0,0,0
2008-02-11,1.4532,1.4706,1.4486,1.4673,1.4673,0,0,0
2008-02-18,1.4676,1.4856,1.4617,1.4833,1.4833,0,0,0
2008-02-25,1.4834,1.5238,1.4784,1.5202,1.5202,0,0,0
2008-03-03,1.5203,1.5581,1.5153,1.5572,1.5572,0,0,0
2008-03-10,1.538,1.5767,1.5288,1.5757,1.5757,0,0,0
2008-03-17,1.5748,1.5903,1.5403,1.5408,1.5408,0,0,0
2008-03-24,1.5407,1.5858,1.5346,1.5789,1.5789,0,0,0
2008-03-31,1.5793,1.5891,1.5517,1.5729,1.5729,0,0,0
2008-04-07,1.573,1.5903,1.5558,1.5722,1.5722,0,0,0
2008-04-14,1.572,1.5976,1.5679,1.58,1.58,0,0,0
2008-04-21,1.5804,1.6013,1.5561,1.5602,1.5602,0,0,0
