Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,1.2034,1.2922,1.1944,1.253,1.253,0,0,0
2004-03-01,1.2539,1.2541,1.1765,1.2199,1.2199,0,0,0
2004-06-01,1.2199,1.2464,1.1957,1.2178,1.2178,0,0,0
2004-09-01,1.2177,1.3329,1.2006,1.3298,1.3298,0,0,0
2004-12-01,1.3298,1.3662,1.2737,1.3217,1.3217,0,0,0
2005-03-01,1.3219,1.3479,1.23,1.2308,1.2308,0,0,0
2005-06-01,1.231,1.2604,1.1872,1.2341,1.2341,0,0,0
2005-09-01,1.2338,1.2588,1.1648,1.1805,1.1805,0,0,0
2005-12-01,1.1799,1.2321,1.1668,1.193,1.193,0,0,0
2006-03-01,1.1929,1.2973,1.1867,1.2816,1.2816,0,0,0
2006-06-01,1.2816,1.2977,1.2466,1.2809,1.2809,0,0,0
2006-09-01,1.2809,1.3271,1.2488,1.3251,1.3251,0,0,0
2006-12-01,1.326,1.3471,1.2759,1.3229,1.3229,0,0,0
2007-03-01,1.3229,1.3738,1.3078,1.3456,1.3456,0,0,0
2007-06-01,1.3456,1.3849,1.3266,1.3642,1.3642,0,0,0
2007-09-01,1.3642,1.4957,1.3556,1.4696,1.4696,0,0,0
2007-12-01,1.4696,1.5593,1.4317,1.5192,1.5192,0,0,0
2008-03-01,1.5184,1.6013,1.5153,1.5558,1.5558,0,0,0
2008-06-01,1.5564,1.6028,1.4578,1.4695,1.4695,0,0,0
2008-09-01,1.4693,1.5082,1.2343,1.2675,1.2675,0,0,0
2008-12-01,1.2675,1.4964,1.2522,1.2679,1.2679,0,0,0
2009-03-01,1.2679,1.417,1.2469,1.4121,1.4121,0,0,0
2009-06-01,1.4119,1.4422,1.3752,1.4343,1.4343,0,0,0
2009-09-01,1.422,1.5145,1.4203,1.5039,1.5039,0,0,0
2009-12-01,1.5034,1.5138,1.345,1.3638,1.3638,0,0,0
2010-03-01,1.3643,1.3817,1.2146,1.2288,1.2288,0,0,0
2010-06-01,1.2288,1.333,1.1882,1.2666,1.2666,0,0,0
2010-09-01,1.2686,1.4282,1.2647,1.3104,1.3104,0,0,0
2010-12-01,1.2995,1.386,1.2877,1.3734,1.3734,0,0,0
2011-03-01,1.3827,1.4938,1.3745,1.4322,1.4322,0,0,0
2011-06-01,1.4428,1.4692,1.3842,1.4433,1.4433,0,0,0
2011-09-01,1.4375,1.4378,1.3149,1.3324,1.3324,0,0,0
2011-12-01,1.3442,1.3538,0.7606,1.3478,1.3478,0,0,0
2012-03-01,1.3326,1.3383,1.2342,1.2375,1.2375,0,0,0
2012-06-01,1.2361,1.2748,1.2055,1.2511,1.2511,0,0,0
2012-09-01,1.2582,1.3168,1.2505,1.2974,1.2974,0,0,0
2012-12-01,1.2987,1.3693,1.2882,1.3151,1.3151,0,0,0
2013-03-01,1.3062,1.3242,1.275,1.3044,1.3044,0,0,0
2013-06-01,1.2999,1.345,1.2763,1.3224,1.3224,0,0,0
2013-09-01,1.3224,1.383,1.3106,1.3594,1.3594,0,0,0
2013-12-01,1.3594,1.3884,1.3479,1.3707,1.3707,0,0,0
2014-03-01,1.3804,1.3991,1.3589,1.3635,1.3635,0,0,0
2014-06-01,1.3635,1.3698,1.3128,1.3135,1.3135,0,0,0
2014-09-01,1.3128,1.3161,1.2362,1.2462,1.2462,0,0,0
2014-12-01,1.2438,1.2566,1.1106,1.1205,1.1205,0,0,0
2015-03-01,1.1198,1.1453,1.046,1.096,1.096,0,0,0
2015-06-01,1.0959,1.1706,1.0813,1.134,1.134,0,0,0
2015-09-01,1.1226,1.1494,1.0564,1.0583,1.0583,0,0,0
2015-12-01,1.0573,1.1368,1.0542,1.0924,1.0924,0,0,0
2016-03-01,1.0887,1.1614,1.0826,1.1148,1.1148,0,0,0
2016-06-01,1.1136,1.1422,1.0919,1.1153,1.1153,0,0,0
2016-09-01,1.1158,1.133,1.0523,1.0648,1.0648,0,0,0
2016-12-01,1.0592,1.0857,1.0348,1.0584,1.0584,0,0,0
2017-03-01,1.0569,1.1267,1.05,1.1172,1.1172,0,0,0
2017-06-01,1.1238,1.2067,1.1121,1.1893,1.1893,0,0,0
2017-09-01,1.1911,1.2093,1.1556,1.1852,1.1852,0,0,0
2017-12-01,1.1899,1.2558,1.1719,1.223,1.223,0,0,0
2018-03-01,1.2191,1.2478,1.1514,1.1667,1.1667,0,0,0
2018-06-01,1.1693,1.1842,1.1302,1.1665,1.1665,0,0,0
2018-09-01,1.1623,1.1815,1.1223,1.1393,1.1393,0,0,0
2018-12-01,1.1319,1.1571,1.1235,1.138,1.138,0,0,0
2019-03-01,1.1373,1.144,1.111,1.1131,1.1131,0,0,0
2019-06-01,1.12,1.1414,1.0987,1.1012,1.1012,0,0,0
2019-09-01,1.1012,1.1194,1.0882,1.102,1.102,0,0,0
2019-12-01,1.1019,1.1241,1.078,1.103,1.103,0,0,0
2020-03-01,1.1028,1.1496,1.0655,1.111,1.111,0,0,0
2020-06-01,1.1115,1.1965,1.1101,1.1918,1.1918,0,0,0
2020-09-01,1.1939,1.2011,1.1754,1.1806,1.1806,0,0,0
2020-09-11,1.1823,1.1881,1.1823,1.1864,1.1864,0,0,0
