Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,1.2034,1.204,1.1944,1.1965,1.1965,0,0,0
2003-12-11,1.2191,1.2235,1.2123,1.2224,1.2224,0,0,0
2003-12-16,1.2314,1.2359,1.2305,1.2322,1.2322,0,0,0
2003-12-26,1.245,1.2471,1.2427,1.2432,1.2432,0,0,0
2003-12-31,1.255,1.2649,1.253,1.259,1.259,0,0,0
2004-01-05,1.2639,1.2694,1.2637,1.2687,1.2687,0,0,0
2004-01-15,1.2656,1.2671,1.2569,1.2601,1.2601,0,0,0
2004-01-20,1.2351,1.2602,1.235,1.2589,1.2589,0,0,0
2004-01-30,1.241,1.2485,1.2355,1.2468,1.2468,0,0,0
2004-02-04,1.2546,1.2561,1.2505,1.254,1.254,0,0,0
2004-02-09,1.2655,1.2757,1.2655,1.2694,1.2694,0,0,0
2004-02-19,1.2729,1.2767,1.266,1.2757,1.2757,0,0,0
2004-02-24,1.2572,1.2711,1.2529,1.2678,1.2678,0,0,0
2004-03-05,1.2205,1.2427,1.218,1.2368,1.2368,0,0,0
2004-03-10,1.2426,1.2464,1.2207,1.2232,1.2232,0,0,0
2004-03-15,1.2214,1.2314,1.2213,1.2272,1.2272,0,0,0
2004-03-25,1.214,1.2197,1.2108,1.2137,1.2137,0,0,0
2004-03-30,1.2166,1.2226,1.2156,1.2185,1.2185,0,0,0
2004-04-09,1.2079,1.2113,1.2067,1.2086,1.2086,0,0,0
2004-04-14,1.1935,1.1973,1.1877,1.1947,1.1947,0,0,0
2004-04-19,1.202,1.2078,1.2003,1.2007,1.2007,0,0,0
2004-04-29,1.1843,1.1985,1.1808,1.196,1.196,0,0,0
2004-05-04,1.1936,1.2117,1.1935,1.2105,1.2105,0,0,0
2004-05-14,1.1804,1.1894,1.1789,1.1882,1.1882,0,0,0
2004-05-19,1.1944,1.2039,1.1944,1.2004,1.2004,0,0,0
2004-05-24,1.2001,1.2025,1.1939,1.1999,1.1999,0,0,0
2004-06-03,1.2219,1.2252,1.2176,1.2221,1.2221,0,0,0
2004-06-08,1.2324,1.235,1.225,1.2261,1.2261,0,0,0
2004-06-18,1.2033,1.2149,1.1978,1.2145,1.2145,0,0,0
2004-06-23,1.2121,1.219,1.2073,1.2086,1.2086,0,0,0
2004-06-28,1.2175,1.2227,1.2128,1.2187,1.2187,0,0,0
2004-07-08,1.237,1.2403,1.2343,1.2395,1.2395,0,0,0
2004-07-13,1.2404,1.2412,1.2304,1.2333,1.2333,0,0,0
2004-07-23,1.2258,1.2267,1.2092,1.2096,1.2096,0,0,0
2004-07-28,1.2063,1.2079,1.201,1.2044,1.2044,0,0,0
2004-08-02,1.2042,1.2094,1.202,1.2022,1.2022,0,0,0
2004-08-12,1.2222,1.2291,1.2219,1.2239,1.2239,0,0,0
2004-08-17,1.2358,1.2379,1.2317,1.2345,1.2345,0,0,0
2004-08-27,1.2099,1.2137,1.2009,1.202,1.202,0,0,0
2004-09-01,1.2177,1.2221,1.2152,1.219,1.219,0,0,0
2004-09-06,1.2063,1.2083,1.2052,1.2066,1.2066,0,0,0
2004-09-16,1.2157,1.2198,1.2125,1.219,1.219,0,0,0
2004-09-21,1.2172,1.2345,1.2172,1.2329,1.2329,0,0,0
2004-10-01,1.2435,1.2438,1.2389,1.2415,1.2415,0,0,0
2004-10-06,1.2316,1.2324,1.226,1.2281,1.2281,0,0,0
2004-10-11,1.2412,1.2416,1.2374,1.2384,1.2384,0,0,0
2004-10-21,1.258,1.265,1.2575,1.262,1.262,0,0,0
2004-10-26,1.281,1.2843,1.2734,1.2765,1.2765,0,0,0
2004-11-05,1.2873,1.298,1.2785,1.2967,1.2967,0,0,0
2004-11-10,1.29,1.2984,1.2862,1.2886,1.2886,0,0,0
2004-11-15,1.299,1.2999,1.2922,1.294,1.294,0,0,0
2004-11-25,1.3181,1.3283,1.3167,1.3258,1.3258,0,0,0
2004-11-30,1.3263,1.3329,1.3239,1.3298,1.3298,0,0,0
2004-12-10,1.3302,1.3304,1.315,1.3216,1.3216,0,0,0
2004-12-15,1.3308,1.3438,1.3265,1.3404,1.3404,0,0,0
2004-12-20,1.3311,1.3409,1.3301,1.3392,1.3392,0,0,0
2004-12-30,1.3606,1.366,1.3581,1.3628,1.3628,0,0,0
2005-01-04,1.347,1.3496,1.3261,1.3282,1.3282,0,0,0
2005-01-14,1.3212,1.3212,1.3068,1.3099,1.3099,0,0,0
2005-01-19,1.3018,1.3114,1.2971,1.3003,1.3003,0,0,0
