Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-05-14,42.05,45.0,38.0,38.23,38.23,573576400,0,0
2012-05-21,36.53,36.66,30.94,31.91,31.91,430966300,0,0
2012-05-28,31.48,31.69,26.83,27.72,27.72,288826000,0,0
2012-06-04,27.2,27.76,25.52,27.1,27.1,203386400,0,0
2012-06-11,27.18,30.1,26.84,30.01,30.01,121558000,0,0
2012-06-18,29.96,33.45,29.41,33.05,33.05,186090800,0,0
2012-06-25,32.86,33.44,30.76,31.1,31.1,115019800,0,0
2012-07-02,31.25,31.9,30.55,31.73,31.73,43863300,0,0
2012-07-09,32.1,32.88,30.55,30.72,30.72,64494000,0,0
2012-07-16,30.5,30.5,27.15,28.76,28.76,97506700,0,0
2012-07-23,28.12,29.49,22.28,23.71,23.71,228860400,0,0
2012-07-30,24.0,24.04,19.82,21.09,21.09,267091200,0,0
2012-08-06,21.39,22.45,20.22,21.81,21.81,135504600,0,0
2012-08-13,22.15,22.45,19.0,19.05,19.05,399001700,0,0
2012-08-20,19.05,20.13,18.75,19.41,19.41,284155300,0,0
2012-08-27,19.49,19.53,18.03,18.06,18.06,151657400,0,0
2012-09-03,18.08,19.42,17.55,18.98,18.98,189842400,0,0
2012-09-10,19.06,22.08,18.55,22.0,22.0,334751400,0,0
2012-09-17,22.67,23.37,21.37,22.86,22.86,274677900,0,0
2012-09-24,21.78,21.98,19.8,21.66,21.66,259372000,0,0
2012-10-01,22.08,22.59,20.88,20.91,20.91,200025600,0,0
2012-10-08,20.4,20.75,19.45,19.52,19.52,139347000,0,0
2012-10-15,19.68,20.48,18.8,19.0,19.0,173091300,0,0
2012-10-22,19.2,24.25,19.05,21.94,21.94,489096200,0,0
2012-10-29,20.82,21.69,20.73,21.18,21.18,175436500,0,0
2012-11-05,21.1,21.48,19.13,19.21,19.21,170816300,0,0
2012-11-12,19.15,23.93,18.87,23.56,23.56,554915200,0,0
2012-11-19,23.96,24.68,22.7,24.0,24.0,251059900,0,0
2012-11-26,24.94,28.0,24.81,28.0,28.0,474640500,0,0
2012-12-03,28.0,28.88,26.68,27.49,27.49,353125000,0,0
2012-12-10,27.17,28.75,26.76,26.81,26.81,347095000,0,0
2012-12-17,26.77,28.22,26.12,26.26,26.26,269775700,0,0
2012-12-24,26.5,27.18,25.15,25.91,25.91,161462000,0,0
2012-12-31,26.2,28.93,26.11,28.76,28.76,266076900,0,0
