Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-05-01,42.05,45.0,21.61,21.71,21.71,2439613400,0,0
2012-08-01,21.5,24.25,17.55,21.11,21.11,3311526900,0,0
2012-11-01,21.08,32.51,18.87,30.98,30.98,4395174100,0,0
2013-02-01,31.01,31.02,24.72,27.77,27.77,2423329500,0,0
2013-05-01,27.85,38.31,22.67,36.8,36.8,3208443400,0,0
2013-08-01,37.3,54.83,36.02,50.21,50.21,4960712900,0,0
2013-11-01,50.85,63.37,43.55,62.57,62.57,4169559900,0,0
2014-02-01,63.03,72.59,54.66,59.78,59.78,4250179200,0,0
2014-05-01,60.43,76.74,56.26,72.65,72.65,3011910300,0,0
2014-08-01,72.22,81.16,70.32,74.99,74.99,2395402400,0,0
2014-11-01,75.47,82.17,72.51,75.91,75.91,1571703100,0,0
2015-02-01,76.11,86.07,73.45,78.77,78.77,1592623200,0,0
2015-05-01,79.24,99.24,76.79,94.01,94.01,1750392000,0,0
2015-08-01,93.53,105.12,72.0,101.97,101.97,2003777700,0,0
2015-11-01,101.72,112.84,89.37,112.21,112.21,1780246000,0,0
2016-02-01,112.27,120.79,96.82,117.58,117.58,2137225200,0,0
2016-05-01,117.83,128.33,108.23,123.94,123.94,1381528900,0,0
2016-08-01,123.85,133.5,122.07,130.99,130.99,1055473400,0,0
2016-11-01,131.41,133.14,113.55,130.32,130.32,1431740200,0,0
2017-02-01,132.25,151.53,130.3,150.25,150.25,1002385400,0,0
2017-05-01,151.74,175.49,144.42,169.25,169.25,1238251600,0,0
2017-08-01,169.82,180.8,161.56,180.06,180.06,926587700,0,0
2017-11-01,182.36,190.66,169.01,186.89,186.89,1163750200,0,0
2018-02-01,188.22,195.32,149.02,172.0,172.0,2262526000,0,0
2018-05-01,172.0,218.62,166.56,172.58,172.58,1435440400,0,0
2018-08-01,173.93,188.3,139.03,151.79,151.79,1671747800,0,0
2018-11-01,151.52,171.68,123.02,166.69,166.69,1604485800,0,0
2019-02-01,165.84,198.48,159.28,193.4,193.4,1072609800,0,0
2019-05-01,194.78,208.66,160.84,194.23,194.23,1064294300,0,0
2019-08-01,194.17,198.47,173.09,191.65,191.65,885440600,0,0
2019-11-01,192.85,224.2,188.54,201.91,201.91,881875600,0,0
2020-02-01,203.44,218.77,137.1,204.71,204.71,1508512100,0,0
2020-05-01,201.6,255.85,198.76,253.67,253.67,1575259900,0,0
2020-08-01,252.65,304.67,247.43,295.44,295.44,591570000,0,0
2020-09-02,298.88,302.5,293.05,301.07,301.07,13663684,0,0
