Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2012-05-18,42.05,45.0,38.0,38.23,38.23,573576400,0,0
2012-05-23,31.37,32.5,31.36,32.0,32.0,73600000,0,0
2012-06-07,27.0,27.35,26.15,26.31,26.31,26159500,0,0
2012-06-12,27.48,27.77,26.96,27.4,27.4,15816800,0,0
2012-06-22,32.41,33.45,32.06,33.05,33.05,74834000,0,0
2012-06-27,32.46,32.9,31.9,32.23,32.23,28568000,0,0
2012-07-02,31.25,31.73,30.55,30.77,30.77,14122000,0,0
2012-07-12,30.7,31.4,30.6,30.81,30.81,11300700,0,0
2012-07-17,28.48,28.59,27.15,28.09,28.09,30438600,0,0
2012-07-27,23.19,24.54,22.28,23.71,23.71,123102300,0,0
2012-08-01,21.5,21.58,20.84,20.88,20.88,44604400,0,0
2012-08-06,21.39,22.15,21.3,21.92,21.92,27778900,0,0
2012-08-16,20.44,20.48,19.69,19.87,19.87,157565300,0,0
2012-08-21,19.58,19.98,19.09,19.16,19.16,70640600,0,0
2012-08-31,18.68,18.7,18.03,18.06,18.06,58764200,0,0
2012-09-05,18.27,18.75,18.18,18.58,18.58,60781800,0,0
2012-09-10,19.06,19.2,18.55,18.81,18.81,24797800,0,0
2012-09-20,23.02,23.24,22.54,22.59,22.59,57248900,0,0
2012-09-25,21.2,21.21,20.22,20.28,20.28,46291700,0,0
2012-10-05,21.49,21.63,20.88,20.91,20.91,40529300,0,0
2012-10-10,19.93,19.94,19.45,19.64,19.64,39321800,0,0
2012-10-15,19.68,19.88,19.49,19.52,19.52,20189700,0,0
2012-10-25,23.29,23.31,22.47,22.56,22.56,76142000,0,0
2012-11-09,19.96,20.0,19.13,19.21,19.21,42295500,0,0
2012-11-14,20.1,22.5,19.93,22.36,22.36,229751000,0,0
2012-11-19,23.96,24.12,22.82,22.92,22.92,85021300,0,0
2012-11-29,26.5,27.52,26.16,27.32,27.32,88759700,0,0
2012-12-04,27.06,27.76,26.68,27.46,27.46,72869200,0,0
2012-12-14,28.18,28.33,26.76,26.81,26.81,91631600,0,0
2012-12-19,27.83,28.22,26.95,27.41,27.41,61390300,0,0
2012-12-24,26.5,26.96,26.2,26.93,26.93,28230100,0,0
2013-01-03,27.88,28.47,27.59,27.77,27.77,63140600,0,0
2013-01-08,29.51,29.6,28.86,29.06,29.06,45871300,0,0
2013-01-18,30.31,30.44,29.27,29.66,29.66,49631500,0,0
2013-01-23,31.1,31.5,30.8,30.82,30.82,48899800,0,0
2013-01-28,31.88,32.51,31.81,32.47,32.47,59682500,0,0
2013-02-07,29.11,29.15,28.27,28.65,28.65,34540100,0,0
2013-02-12,27.67,28.16,27.1,27.37,27.37,93498700,0,0
2013-02-22,27.62,27.63,26.82,27.13,27.13,36350200,0,0
2013-02-27,27.34,27.34,26.63,26.87,26.87,44319700,0,0
2013-03-04,27.76,28.06,27.44,27.72,27.72,32400700,0,0
2013-03-14,27.1,27.43,26.83,27.04,27.04,27646400,0,0
2013-03-19,26.53,26.9,26.21,26.55,26.55,25254200,0,0
2013-04-03,25.83,26.39,25.7,26.25,26.25,48195200,0,0
2013-04-08,27.19,27.2,26.63,26.85,26.85,27256000,0,0
2013-04-18,26.82,26.82,25.15,25.69,25.69,39059000,0,0
2013-04-23,26.22,26.33,25.77,25.98,25.98,25191500,0,0
2013-05-03,29.04,29.07,28.15,28.31,28.31,58506400,0,0
2013-05-08,26.88,27.3,26.65,27.12,27.12,34654900,0,0
2013-05-13,26.6,27.33,26.53,26.82,26.82,29068800,0,0
2013-05-23,24.8,25.53,24.77,25.06,25.06,37663100,0,0
2013-05-28,24.54,24.54,23.92,24.1,24.1,50079700,0,0
2013-06-07,23.03,23.4,22.86,23.29,23.29,38699200,0,0
2013-06-12,24.16,24.26,23.58,23.77,23.77,26445800,0,0
2013-06-17,23.91,24.25,23.75,24.02,24.02,33664500,0,0
2013-06-27,24.24,24.84,24.21,24.66,24.66,34694100,0,0
2013-07-02,24.7,24.77,24.3,24.41,24.41,18394100,0,0
2013-07-12,25.74,25.93,25.55,25.91,25.91,16537900,0,0
2013-07-17,26.37,26.78,26.3,26.65,26.65,21518500,0,0
2013-07-22,25.99,26.13,25.72,26.05,26.05,27526300,0,0
2013-08-01,37.3,38.29,36.92,37.49,37.49,106066500,0,0
2013-08-06,39.11,39.25,37.94,38.55,38.55,63950800,0,0
2013-08-16,36.97,37.49,36.9,37.08,37.08,45840800,0,0
2013-08-21,38.38,38.85,38.15,38.32,38.32,46116900,0,0
2013-08-26,40.9,41.94,40.62,41.34,41.34,94162400,0,0
2013-09-05,41.79,42.77,41.77,42.66,42.66,50035400,0,0
2013-09-10,44.24,44.26,43.23,43.6,43.6,54540300,0,0
2013-09-20,46.32,47.6,45.74,47.49,47.49,115508400,0,0
2013-09-25,49.23,49.54,48.46,49.46,49.46,87879700,0,0
2013-09-30,50.14,51.6,49.8,50.23,50.23,100095000,0,0
2013-10-10,47.87,49.68,47.83,49.05,49.05,99774000,0,0
2013-10-15,49.99,51.0,49.18,49.5,49.5,81167000,0,0
2013-10-25,53.18,53.24,51.88,51.95,51.95,45085000,0,0
2013-10-30,50.0,50.21,48.75,49.01,49.01,127073000,0,0
2013-11-04,49.37,49.75,48.02,48.22,48.22,80371000,0,0
2013-11-14,48.7,49.57,48.03,48.99,48.99,75117000,0,0
2013-11-19,46.26,47.0,45.72,46.36,46.36,75602000,0,0
2013-11-29,46.75,47.21,46.5,47.01,47.01,22953900,0,0
2013-12-04,46.46,48.77,46.26,48.62,48.62,60890000,0,0
2013-12-09,48.09,48.97,47.74,48.84,48.84,36056000,0,0
2013-12-19,54.33,55.19,53.95,55.05,55.05,89753200,0,0
2013-12-24,58.27,58.58,56.91,57.96,57.96,46617800,0,0
2014-01-03,55.02,55.65,54.53,54.56,54.56,38246200,0,0
2014-01-08,57.6,58.41,57.23,58.23,58.23,56682400,0,0
2014-01-13,57.91,58.25,55.38,55.91,55.91,63010900,0,0
2014-01-23,56.37,56.68,55.69,56.63,56.63,47951800,0,0
2014-01-28,54.02,55.28,54.0,55.14,55.14,48191200,0,0
2014-02-07,62.27,64.57,62.22,64.32,64.32,60704300,0,0
2014-02-12,64.92,65.06,64.05,64.45,64.45,47282100,0,0
2014-02-27,69.34,70.01,68.87,68.94,68.94,41653700,0,0
2014-03-04,68.66,68.9,67.62,68.8,68.8,42013500,0,0
2014-03-14,68.49,69.43,67.46,67.72,67.72,48227000,0,0
2014-03-19,69.17,69.29,67.47,68.24,68.24,43981000,0,0
2014-03-24,67.19,67.36,63.36,64.1,64.1,85696000,0,0
2014-04-03,62.55,63.17,59.13,59.49,59.49,83859000,0,0
2014-04-08,57.68,58.71,57.17,58.19,58.19,78836000,0,0
2014-04-23,63.45,63.48,61.26,61.36,61.36,95908700,0,0
2014-04-28,58.05,58.31,54.66,56.14,56.14,107758000,0,0
2014-05-08,57.23,58.82,56.5,56.76,56.76,61251000,0,0
2014-05-13,59.66,60.89,59.51,59.83,59.83,48525000,0,0
2014-05-23,60.41,61.45,60.15,61.35,61.35,38294000,0,0
2014-05-28,63.39,64.14,62.62,63.51,63.51,47795000,0,0
2014-06-02,63.23,63.59,62.05,63.08,63.08,35996000,0,0
2014-06-12,65.85,66.47,64.06,64.29,64.29,55730000,0,0
2014-06-17,64.1,64.88,63.93,64.4,64.4,27715000,0,0
2014-06-27,67.31,67.7,66.84,67.6,67.6,46461000,0,0
2014-07-02,68.04,68.3,65.79,66.45,66.45,41895000,0,0
2014-07-07,66.3,66.57,65.12,65.29,65.29,28745000,0,0
2014-07-17,67.03,67.85,66.04,66.41,66.41,38188000,0,0
2014-07-22,69.76,69.77,68.61,69.27,69.27,40398000,0,0
2014-08-01,72.22,73.22,71.55,72.36,72.36,43535000,0,0
2014-08-06,72.02,73.72,71.79,72.47,72.47,30986000,0,0
2014-08-11,73.46,73.91,73.06,73.44,73.44,24591000,0,0
2014-08-21,74.92,75.19,74.41,74.57,74.57,20102000,0,0
2014-08-26,75.0,75.99,74.73,75.96,75.96,23993000,0,0
2014-09-05,76.1,77.38,75.6,77.26,77.26,29476000,0,0
2014-09-10,76.52,77.95,76.51,77.43,77.43,29909000,0,0
2014-09-15,77.15,77.25,73.43,74.58,74.58,49679000,0,0
2014-09-25,78.6,78.94,77.13,77.22,77.22,37533000,0,0
2014-09-30,79.35,79.71,78.6,79.04,79.04,35899000,0,0
2014-10-10,75.59,76.5,72.76,72.91,72.91,52146000,0,0
2014-10-15,71.69,73.8,70.32,73.21,73.21,61528000,0,0
2014-10-20,75.6,77.09,75.38,76.95,76.95,34701000,0,0
2014-10-30,75.05,75.35,72.9,74.11,74.11,83270000,0,0
2014-11-04,74.23,75.77,73.65,75.76,75.76,39326000,0,0
2014-11-14,74.27,74.93,74.04,74.88,74.88,19476900,0,0
2014-11-19,74.01,74.54,73.11,73.33,73.33,25441200,0,0
2014-11-24,73.54,74.35,73.35,74.01,74.01,22103800,0,0
2014-12-04,74.83,75.55,74.66,75.24,75.24,14362800,0,0
2014-12-09,75.2,76.93,74.78,76.84,76.84,25358600,0,0
2014-12-19,78.75,80.0,78.33,79.88,79.88,43335000,0,0
2014-12-24,81.03,81.43,80.75,80.77,80.77,7685500,0,0
2014-12-29,80.49,80.96,79.71,80.02,80.02,14134700,0,0
2015-01-08,76.74,78.23,76.08,78.18,78.18,23961000,0,0
2015-01-13,77.23,78.08,75.85,76.45,76.45,25179600,0,0
2015-01-23,77.65,78.19,77.04,77.83,77.83,16746500,0,0
2015-01-28,76.9,77.64,76.0,76.24,76.24,53306400,0,0
2015-02-02,76.11,76.14,73.75,74.99,74.99,41955300,0,0
2015-02-12,76.86,76.87,75.89,76.23,76.23,17235000,0,0
2015-02-17,75.3,76.91,75.08,75.6,75.6,25254400,0,0
2015-02-27,80.68,81.23,78.62,78.97,78.97,30739200,0,0
2015-03-04,79.3,81.15,78.85,80.9,80.9,28126700,0,0
2015-03-09,79.68,79.91,78.63,79.44,79.44,18925100,0,0
2015-03-19,81.12,83.0,81.0,82.75,82.75,42099500,0,0
2015-03-24,84.71,86.07,84.52,85.31,85.31,32576500,0,0
2015-04-08,82.63,83.1,81.84,82.28,82.28,18966700,0,0
2015-04-13,81.93,83.94,81.92,83.01,83.01,26883100,0,0
2015-04-23,84.1,85.59,82.41,82.41,82.41,73728100,0,0
2015-04-28,81.83,81.9,80.23,80.68,80.68,23775300,0,0
2015-05-08,79.1,79.23,78.03,78.51,78.51,19943600,0,0
2015-05-13,77.72,78.53,77.65,78.44,78.44,21512300,0,0
2015-05-18,80.33,81.38,80.23,80.88,80.88,21613700,0,0
2015-05-28,80.25,81.07,80.0,80.15,80.15,11982000,0,0
2015-06-02,79.76,81.35,79.56,80.44,80.44,18923300,0,0
2015-06-12,81.37,82.09,81.2,81.53,81.53,11417900,0,0
2015-06-17,81.76,82.22,81.34,81.79,81.79,18350300,0,0
2015-06-22,83.41,84.97,83.31,84.74,84.74,29383100,0,0
2015-07-02,87.4,87.44,86.34,87.29,87.29,16908800,0,0
2015-07-07,87.8,87.85,85.23,87.22,87.22,33059900,0,0
2015-07-17,92.55,95.39,92.54,94.97,94.97,54001600,0,0
2015-07-22,96.74,97.58,95.92,97.04,97.04,28299500,0,0
2015-07-27,96.58,96.61,93.83,94.17,94.17,38585400,0,0
2015-08-06,97.18,98.74,94.42,95.12,95.12,42271300,0,0
2015-08-11,93.73,94.76,92.9,93.62,93.62,22491000,0,0
2015-08-21,87.52,89.18,85.61,86.06,86.06,62778700,0,0
2015-08-26,85.95,87.46,83.26,87.19,87.19,45124300,0,0
2015-08-31,90.6,91.05,88.89,89.43,89.43,32850700,0,0
2015-09-10,90.07,92.06,89.63,91.98,91.98,26437400,0,0
2015-09-15,92.37,93.25,91.79,92.9,92.9,18859400,0,0
2015-09-25,95.79,95.85,92.06,92.77,92.77,28961600,0,0
2015-09-30,88.44,90.02,88.01,89.9,89.9,36169100,0,0
2015-10-05,92.94,94.27,92.66,94.01,94.01,27292500,0,0
2015-10-15,94.99,96.3,94.9,95.96,95.96,27557500,0,0
2015-10-20,98.73,99.59,96.56,97.0,97.0,30881800,0,0
2015-10-30,104.51,104.72,101.65,101.97,101.97,33487100,0,0
2015-11-04,103.19,104.14,102.48,103.94,103.94,43469300,0,0
2015-11-09,107.0,108.25,105.86,106.49,106.49,26383500,0,0
2015-11-19,107.36,107.73,105.95,106.26,106.26,25520600,0,0
2015-11-24,106.0,106.49,104.39,105.74,105.74,23577300,0,0
2015-12-04,104.81,107.73,104.11,106.18,106.18,21224700,0,0
2015-12-09,106.18,106.44,103.55,104.6,104.6,23517300,0,0
2015-12-14,102.29,104.74,101.46,104.66,104.66,24648100,0,0
2015-12-24,104.74,105.32,104.5,105.02,105.02,6501800,0,0
2015-12-29,106.42,107.74,106.25,107.26,107.26,17179900,0,0
2016-01-08,99.88,100.5,97.03,97.33,97.33,35402300,0,0
2016-01-13,100.58,100.58,95.21,95.44,95.44,33410600,0,0
2016-01-28,107.2,110.34,104.81,109.11,109.11,107475300,0,0
2016-02-02,114.8,117.59,113.2,114.61,114.61,59778600,0,0
2016-02-12,103.74,104.24,101.09,102.01,102.01,36176800,0,0
2016-02-17,102.02,105.72,100.4,105.2,105.2,44073400,0,0
2016-02-22,105.49,108.25,105.34,107.16,107.16,35709700,0,0
2016-03-03,110.25,110.3,108.54,109.58,109.58,21353100,0,0
2016-03-08,104.78,107.37,104.4,105.93,105.93,25617000,0,0
2016-03-18,111.56,112.42,110.27,111.45,111.45,36256900,0,0
2016-03-23,112.01,113.19,112.0,112.54,112.54,18562000,0,0
2016-03-28,113.32,114.59,112.95,113.69,113.69,21351800,0,0
2016-04-07,113.79,114.89,113.07,113.64,113.64,20714500,0,0
2016-04-12,109.34,111.16,108.99,110.61,110.61,26248100,0,0
2016-04-22,111.21,111.75,109.01,110.56,110.56,38458200,0,0
2016-04-27,107.94,108.94,106.31,108.89,108.89,52213100,0,0
2016-05-02,117.83,118.73,116.57,118.57,118.57,28095200,0,0
2016-05-12,119.98,120.84,118.9,120.28,120.28,22035500,0,0
