Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,189.33,189.66,187.74,187.63,187.63,0,0,0
2003-12-02,187.67,188.81,187.56,188.01,188.01,0,0,0
2003-12-03,188.02,188.24,186.49,187.09,187.09,0,0,0
2003-12-04,187.03,187.03,185.9,186.22,186.22,0,0,0
2003-12-05,186.19,186.74,185.83,185.88,185.88,0,0,0
2003-12-08,185.95,186.7,185.59,186.18,186.18,0,0,0
2003-12-09,186.18,187.23,185.81,186.81,186.81,0,0,0
2003-12-10,186.87,189.16,186.8,188.51,188.51,0,0,0
2003-12-11,188.59,188.91,188.05,188.52,188.52,0,0,0
2003-12-12,188.44,188.86,187.87,188.06,188.06,0,0,0
2003-12-15,187.92,188.54,187.39,188.16,188.16,0,0,0
2003-12-16,188.18,188.77,187.67,188.59,188.59,0,0,0
2003-12-17,188.55,189.87,188.08,189.52,189.52,0,0,0
2003-12-18,189.4,190.96,189.4,190.63,190.63,0,0,0
2003-12-19,190.61,190.79,189.73,190.27,190.27,0,0,0
2003-12-22,190.04,190.44,188.86,189.59,189.59,0,0,0
2003-12-23,189.59,194.81,189.11,189.41,189.41,0,0,0
2003-12-24,189.4,190.63,189.21,190.38,190.38,0,0,0
2003-12-25,190.4,190.53,189.83,190.34,190.34,0,0,0
2003-12-26,190.33,190.79,189.49,190.46,190.46,0,0,0
2003-12-29,190.2,190.32,189.13,189.8,189.8,0,0,0
2003-12-30,189.91,190.54,189.49,190.18,190.18,0,0,0
2003-12-31,190.11,192.04,189.87,192.03,192.03,0,0,0
2004-01-01,192.03,192.03,190.21,191.57,191.57,0,0,0
2004-01-02,191.57,192.49,190.23,192.29,192.29,0,0,0
2004-01-05,191.95,192.41,190.96,191.94,191.94,0,0,0
2004-01-06,192.01,193.99,191.58,193.36,193.36,0,0,0
2004-01-07,193.36,193.83,192.39,192.93,192.93,0,0,0
2004-01-08,192.96,194.87,192.13,194.67,194.67,0,0,0
2004-01-09,194.73,197.84,194.41,196.38,196.38,0,0,0
2004-01-12,196.92,197.68,196.33,196.78,196.78,0,0,0
2004-01-13,196.68,197.11,195.49,196.37,196.37,0,0,0
2004-01-14,196.37,196.37,189.23,194.65,194.65,0,0,0
2004-01-15,194.69,194.98,192.91,193.97,193.97,0,0,0
2004-01-16,194.05,194.05,191.33,191.76,191.76,0,0,0
2004-01-19,191.95,192.47,191.0,191.14,191.14,0,0,0
2004-01-20,191.12,195.35,191.09,194.59,194.59,0,0,0
2004-01-21,194.61,196.0,194.53,195.74,195.74,0,0,0
2004-01-22,195.77,196.43,195.14,195.68,195.68,0,0,0
2004-01-23,195.67,196.1,192.9,195.05,195.05,0,0,0
2004-01-26,194.49,194.5,192.37,193.02,193.02,0,0,0
2004-01-27,193.01,193.22,190.88,192.96,192.96,0,0,0
2004-01-28,192.9,194.23,192.44,192.6,192.6,0,0,0
2004-01-29,192.59,193.69,191.82,192.39,192.39,0,0,0
2004-01-30,192.37,193.16,191.04,192.76,192.76,0,0,0
2004-02-02,192.74,193.0,191.47,192.18,192.18,0,0,0
2004-02-03,193.23,193.95,192.95,193.77,193.77,0,0,0
2004-02-04,193.79,193.95,192.95,193.2,193.2,0,0,0
2004-02-05,193.23,194.35,193.0,193.8,193.8,0,0,0
2004-02-06,193.81,196.03,193.81,194.82,194.82,0,0,0
2004-02-09,194.9,196.9,194.9,196.78,196.78,0,0,0
2004-02-10,196.75,197.65,196.5,197.11,197.11,0,0,0
2004-02-11,197.12,199.52,196.86,199.38,199.38,0,0,0
2004-02-12,199.32,199.86,198.95,199.34,199.34,0,0,0
2004-02-13,199.34,199.92,198.34,198.39,198.39,0,0,0
2004-02-16,198.76,199.47,198.35,199.14,199.14,0,0,0
2004-02-17,199.15,201.59,199.06,201.16,201.16,0,0,0
2004-02-18,201.59,202.57,201.14,201.17,201.17,0,0,0
2004-02-19,201.16,203.2,201.1,203.04,203.04,0,0,0
2004-02-20,203.05,203.81,202.27,203.06,203.06,0,0,0
2004-02-23,202.17,202.49,200.76,202.29,202.29,0,0,0
2004-02-24,202.29,204.68,202.02,204.5,204.5,0,0,0
2004-02-25,204.49,205.83,203.63,204.02,204.02,0,0,0
2004-02-26,204.0,204.52,203.42,203.98,203.98,0,0,0
2004-02-27,204.06,204.37,201.31,204.36,204.36,0,0,0
2004-03-01,204.41,204.88,203.08,203.5,203.5,0,0,0
2004-03-02,203.49,204.05,202.0,202.42,202.42,0,0,0
2004-03-03,202.46,202.66,200.0,201.24,201.24,0,0,0
2004-03-04,201.26,202.8,200.77,202.73,202.73,0,0,0
2004-03-05,202.71,207.24,201.97,206.7,206.7,0,0,0
2004-03-08,206.9,207.95,205.18,206.21,206.21,0,0,0
2004-03-09,206.18,206.67,202.89,203.48,203.48,0,0,0
2004-03-10,206.18,206.67,199.32,199.96,199.96,0,0,0
2004-03-11,199.9,201.11,198.52,200.6,200.6,0,0,0
2004-03-12,200.61,200.69,198.47,199.62,199.62,0,0,0
2004-03-15,199.35,200.77,197.41,199.06,199.06,0,0,0
2004-03-16,199.01,199.03,196.82,197.04,197.04,0,0,0
2004-03-17,196.94,197.75,195.43,196.68,196.68,0,0,0
2004-03-18,196.69,197.28,194.5,195.98,195.98,0,0,0
2004-03-19,195.97,196.85,195.07,195.39,195.39,0,0,0
2004-03-22,196.04,197.8,195.87,197.21,197.21,0,0,0
2004-03-23,197.16,197.84,196.58,197.69,197.69,0,0,0
2004-03-24,197.69,198.05,193.42,194.22,194.22,0,0,0
2004-03-25,194.21,194.25,191.01,191.52,191.52,0,0,0
2004-03-26,191.81,193.1,190.22,192.88,192.88,0,0,0
2004-03-29,190.9,192.35,190.81,191.86,191.86,0,0,0
2004-03-30,191.88,193.93,191.69,193.19,193.19,0,0,0
2004-03-31,193.39,193.52,189.81,192.1,192.1,0,0,0
2004-04-01,192.12,192.95,191.27,192.56,192.56,0,0,0
2004-04-02,192.56,193.27,190.7,191.21,191.21,0,0,0
2004-04-05,190.44,191.83,190.06,191.68,191.68,0,0,0
2004-04-06,191.66,195.24,191.34,194.87,194.87,0,0,0
2004-04-07,194.9,195.2,193.21,193.51,193.51,0,0,0
2004-04-08,193.61,195.36,193.53,194.83,194.83,0,0,0
2004-04-09,194.8,195.47,193.98,194.99,194.99,0,0,0
2004-04-12,194.98,195.22,193.18,193.7,193.7,0,0,0
2004-04-13,193.62,194.52,192.53,194.17,194.17,0,0,0
2004-04-14,194.2,194.86,193.33,194.4,194.4,0,0,0
2004-04-15,194.38,195.05,193.02,193.89,193.89,0,0,0
2004-04-16,193.8,195.26,193.34,193.64,193.64,0,0,0
2004-04-19,193.9,196.43,193.65,195.89,195.89,0,0,0
2004-04-20,193.8,195.71,193.02,194.51,194.51,0,0,0
2004-04-21,194.37,194.47,192.93,193.46,193.46,0,0,0
2004-04-22,193.52,194.41,192.98,194.19,194.19,0,0,0
2004-04-23,194.2,194.73,192.41,193.32,193.32,0,0,0
2004-04-26,193.35,194.43,192.77,193.86,193.86,0,0,0
2004-04-27,193.72,196.55,193.51,196.12,196.12,0,0,0
2004-04-28,196.12,196.48,194.24,194.82,194.82,0,0,0
2004-04-29,194.78,195.69,194.58,194.9,194.9,0,0,0
2004-04-30,194.9,196.6,194.64,196.27,196.27,0,0,0
2004-05-03,196.42,196.42,194.25,195.07,195.07,0,0,0
2004-05-04,195.12,197.4,195.07,196.71,196.71,0,0,0
2004-05-05,196.71,196.9,194.04,194.89,194.89,0,0,0
2004-05-06,194.88,197.32,194.62,196.94,196.94,0,0,0
2004-05-07,197.23,200.92,196.75,200.93,200.93,0,0,0
2004-05-10,200.5,202.36,200.29,202.1,202.1,0,0,0
2004-05-11,202.11,202.11,198.26,198.78,198.78,0,0,0
2004-05-12,198.78,201.28,197.85,200.28,200.28,0,0,0
2004-05-13,200.31,202.23,199.97,201.7,201.7,0,0,0
2004-05-14,201.72,202.04,200.52,200.98,200.98,0,0,0
2004-05-17,201.2,202.7,200.08,202.61,202.61,0,0,0
2004-05-18,202.64,202.76,199.94,201.43,201.43,0,0,0
2004-05-19,201.5,201.7,199.96,201.11,201.11,0,0,0
2004-05-20,201.01,201.86,199.82,200.16,200.16,0,0,0
2004-05-21,200.21,201.67,199.44,201.01,201.01,0,0,0
2004-05-24,201.17,202.86,200.28,202.71,202.71,0,0,0
2004-05-25,202.52,203.74,201.97,202.48,202.48,0,0,0
2004-05-26,202.63,203.15,201.95,203.03,203.03,0,0,0
2004-05-27,203.0,203.98,202.63,203.82,203.82,0,0,0
2004-05-28,203.91,203.96,201.28,201.49,201.49,0,0,0
2004-05-31,202.4,202.59,200.08,200.65,200.65,0,0,0
2004-06-01,200.66,203.64,200.54,203.2,203.2,0,0,0
2004-06-02,203.16,204.44,201.33,201.49,201.49,0,0,0
2004-06-03,201.49,204.74,201.29,204.44,204.44,0,0,0
2004-06-04,204.45,204.98,203.65,204.63,204.63,0,0,0
2004-06-07,204.41,204.51,201.12,201.82,201.82,0,0,0
2004-06-08,201.82,202.64,201.07,201.49,201.49,0,0,0
2004-06-09,201.46,202.31,198.97,201.81,201.81,0,0,0
2004-06-10,201.81,202.06,199.06,201.29,201.29,0,0,0
2004-06-11,201.25,202.03,199.84,199.95,199.95,0,0,0
2004-06-14,200.41,202.01,199.77,201.35,201.35,0,0,0
2004-06-15,201.35,201.98,199.87,200.57,200.57,0,0,0
2004-06-16,200.53,201.57,200.12,200.91,200.91,0,0,0
2004-06-17,200.89,201.45,199.93,200.99,200.99,0,0,0
2004-06-18,201.04,201.14,199.36,199.95,199.95,0,0,0
2004-06-21,199.81,200.23,198.05,199.25,199.25,0,0,0
2004-06-22,199.23,199.54,197.34,198.86,198.86,0,0,0
2004-06-23,198.94,198.94,196.44,196.57,196.57,0,0,0
2004-06-24,196.64,196.64,194.56,195.46,195.46,0,0,0
2004-06-25,195.46,196.85,195.13,196.73,196.73,0,0,0
2004-06-28,196.43,197.76,196.07,197.61,197.61,0,0,0
2004-06-29,197.6,198.21,195.34,195.74,195.74,0,0,0
2004-06-30,195.71,198.6,195.66,198.11,198.11,0,0,0
2004-07-01,198.13,198.15,195.91,197.38,197.38,0,0,0
2004-07-02,197.41,198.91,197.19,198.14,198.14,0,0,0
2004-07-05,198.51,199.96,198.46,199.6,199.6,0,0,0
2004-07-06,199.57,201.74,199.57,201.35,201.35,0,0,0
2004-07-07,201.3,201.83,200.34,201.2,201.2,0,0,0
2004-07-08,201.19,202.05,200.98,201.36,201.36,0,0,0
2004-07-09,201.41,201.78,200.22,201.41,201.41,0,0,0
2004-07-12,200.38,201.97,200.05,201.64,201.64,0,0,0
2004-07-13,201.64,202.86,201.11,201.4,201.4,0,0,0
2004-07-14,201.37,203.25,201.35,202.58,202.58,0,0,0
2004-07-15,202.61,203.56,201.85,203.35,203.35,0,0,0
2004-07-16,203.32,203.87,202.62,203.59,203.59,0,0,0
2004-07-19,203.97,204.11,201.97,202.24,202.24,0,0,0
2004-07-20,202.21,202.99,200.44,200.98,200.98,0,0,0
2004-07-21,200.98,202.27,200.56,202.08,202.08,0,0,0
2004-07-22,202.1,202.54,201.25,202.4,202.4,0,0,0
2004-07-23,202.42,202.6,201.39,201.71,201.71,0,0,0
2004-07-26,201.71,202.56,201.06,202.26,202.26,0,0,0
2004-07-27,202.24,202.86,201.93,202.13,202.13,0,0,0
2004-07-28,202.12,204.07,201.89,203.64,203.64,0,0,0
2004-07-29,203.63,204.04,203.02,203.84,203.84,0,0,0
2004-07-30,203.75,203.86,202.0,202.88,202.88,0,0,0
2004-08-02,202.49,203.15,201.87,202.13,202.13,0,0,0
2004-08-03,202.13,202.47,201.32,201.91,201.91,0,0,0
2004-08-04,201.93,203.26,201.61,202.59,202.59,0,0,0
2004-08-05,202.48,203.91,202.38,203.78,203.78,0,0,0
2004-08-06,203.78,204.04,202.52,204.04,204.04,0,0,0
2004-08-09,203.52,203.91,202.93,203.63,203.63,0,0,0
2004-08-10,203.66,203.93,203.15,203.32,203.32,0,0,0
2004-08-11,203.29,203.7,202.15,202.7,202.7,0,0,0
2004-08-12,202.71,203.08,201.74,202.09,202.09,0,0,0
2004-08-13,202.1,205.2,201.98,205.24,205.24,0,0,0
2004-08-16,203.71,204.68,203.06,203.25,203.25,0,0,0
2004-08-17,203.19,203.5,200.6,200.93,200.93,0,0,0
2004-08-18,200.91,201.33,199.18,199.52,199.52,0,0,0
2004-08-19,199.54,200.5,199.21,200.39,200.39,0,0,0
2004-08-20,200.37,200.61,198.26,198.55,198.55,0,0,0
2004-08-23,198.64,199.22,198.11,198.39,198.39,0,0,0
2004-08-24,198.47,198.82,195.87,196.56,196.56,0,0,0
2004-08-25,196.58,198.45,196.13,197.71,197.71,0,0,0
2004-08-26,197.68,198.09,196.43,196.85,196.85,0,0,0
2004-08-27,196.85,197.3,196.01,196.35,196.35,0,0,0
2004-08-30,196.48,197.56,196.05,197.28,197.28,0,0,0
2004-08-31,197.31,197.85,196.23,196.74,196.74,0,0,0
2004-09-01,196.73,197.0,195.91,196.08,196.08,0,0,0
2004-09-02,196.08,196.53,195.43,196.1,196.1,0,0,0
2004-09-03,196.09,196.52,195.02,196.04,196.04,0,0,0
