Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,189.33,194.81,185.59,192.03,192.03,0,0,0
2004-01-01,192.03,197.84,189.23,192.79,192.79,0,0,0
2004-02-01,192.79,205.83,191.47,204.4,204.4,0,0,0
2004-03-01,204.41,207.95,189.81,192.1,192.1,0,0,0
2004-04-01,192.12,196.6,190.06,196.27,196.27,0,0,0
2004-05-01,196.27,203.98,194.04,200.65,200.65,0,0,0
2004-06-01,200.66,204.98,194.56,198.11,198.11,0,0,0
2004-07-01,198.13,211.8,195.91,202.88,202.88,0,0,0
2004-08-01,202.88,205.94,195.87,196.74,196.74,0,0,0
2004-09-01,196.73,202.45,193.7,199.52,199.52,0,0,0
2004-10-01,199.53,199.65,60.026,194.73,194.73,0,0,0
2004-11-01,194.72,197.91,190.98,196.49,196.49,0,0,0
2004-12-01,196.48,203.62,196.19,196.73,196.73,0,0,0
2005-01-01,196.83,197.65,189.55,195.17,195.17,0,0,0
2005-02-01,195.17,202.41,194.5,200.59,200.59,0,0,0
2005-03-01,200.61,202.71,197.51,202.4,202.4,0,0,0
2005-04-01,202.4,205.28,199.59,200.44,200.44,0,0,0
2005-05-01,200.44,201.4,195.57,196.99,196.99,0,0,0
2005-06-01,196.96,200.33,194.12,198.41,198.41,0,0,0
2005-07-01,198.52,198.52,192.72,197.69,197.69,0,0,0
2005-08-01,197.71,202.98,195.03,199.51,199.51,0,0,0
2005-09-01,199.49,385.17,192.14,200.23,200.23,0,0,0
2005-10-01,200.23,206.57,199.17,205.91,205.91,0,0,0
2005-11-01,205.93,208.2,203.49,207.18,207.18,0,0,0
2005-12-01,207.18,212.97,200.59,203.03,203.03,0,0,0
2006-01-01,203.03,208.89,200.54,208.65,208.65,0,0,0
2006-02-01,208.65,211.12,201.7,203.07,203.07,0,0,0
2006-03-01,203.07,206.14,202.55,204.62,204.62,0,0,0
2006-04-01,204.62,210.73,203.93,207.39,207.39,0,0,0
2006-05-01,207.37,211.44,205.36,210.54,210.54,0,0,0
2006-06-01,210.57,213.68,209.49,211.27,211.27,0,0,0
2006-07-01,211.27,216.45,209.57,213.9,213.9,0,0,0
2006-08-01,213.89,223.81,213.58,223.31,223.31,0,0,0
2006-09-01,223.29,223.56,217.44,221.37,221.37,0,0,0
2006-10-01,221.37,224.3,220.44,222.86,222.86,0,0,0
2006-11-01,222.9,227.79,222.34,227.46,227.46,0,0,0
2006-12-01,227.43,234.57,219.87,233.15,233.15,0,0,0
2007-01-01,233.15,241.43,228.03,237.085,237.085,0,0,0
2007-02-01,237.05,242.41,230.82,233.15,233.15,0,0,0
2007-03-01,233.11,236.61,221.07,231.87,231.87,0,0,0
2007-04-01,231.87,239.4,229.82,238.65,238.65,0,0,0
2007-05-01,238.65,242.34,236.53,241.027,241.027,0,0,0
2007-06-01,241.027,249.4,237.81,247.33,247.33,0,0,0
2007-07-01,247.33,257.36,235.87,240.3,240.3,0,0,0
2007-08-01,240.26,244.02,219.74,233.58,233.58,0,0,0
2007-09-01,233.58,235.24,228.23,234.88,234.88,0,0,0
2007-10-01,234.9,240.66,230.46,239.96,239.96,0,0,0
2007-11-01,239.97,241.78,204.47,229.03,229.03,0,0,0
2007-12-01,229.03,230.273,221.0,221.62,221.62,0,0,0
2008-01-01,221.62,222.74,204.793,211.42,211.42,0,0,0
2008-02-01,211.55,213.72,205.94,206.4,206.4,0,0,0
2008-03-01,206.24,207.89,192.63,198.06,198.06,0,0,0
2008-04-01,201.04,208.91,198.03,206.54,206.54,0,0,0
2008-05-01,206.52,209.28,199.88,208.65,208.65,0,0,0
2008-06-01,208.11,213.857,204.0,211.496,211.496,0,0,0
2008-07-01,211.42,215.801,208.0,213.777,213.777,0,0,0
2008-08-01,213.571,213.87,195.76,196.26,196.26,0,0,0
2008-09-01,196.29,197.398,184.528,188.91,188.91,0,0,0
2008-10-01,189.02,189.633,139.1,157.79,157.79,0,0,0
2008-11-01,157.79,163.23,137.69,146.29,146.29,0,0,0
2008-12-01,146.24,146.416,129.88,131.38,131.38,0,0,0
2009-01-01,131.38,141.38,119.18,130.05,130.05,0,0,0
2009-02-01,130.05,141.619,125.3,139.43,139.43,0,0,0
2009-03-01,139.43,144.943,131.529,141.988,141.988,0,0,0
2009-04-01,141.96,151.418,139.057,145.922,145.922,0,0,0
2009-05-01,145.938,155.77,143.02,154.14,154.14,0,0,0
2009-06-01,154.16,162.55,153.49,158.56,158.56,0,0,0
2009-07-01,158.597,159.879,146.859,158.08,158.08,0,0,0
2009-08-01,158.08,162.7,151.26,151.28,151.28,0,0,0
2009-09-01,149.89,152.95,139.751,143.794,143.794,0,0,0
2009-10-01,142.444,151.969,141.16,148.55,148.55,0,0,0
2009-11-01,148.55,151.59,139.41,141.91,141.91,0,0,0
2009-12-01,141.962,150.66,141.823,150.21,150.21,0,0,0
2010-01-01,150.21,151.2,143.12,144.13,144.13,0,0,0
2010-02-01,144.111,145.223,134.48,134.913,134.913,0,0,0
2010-03-01,134.874,142.041,132.353,142.041,142.041,0,0,0
2010-04-01,142.157,145.904,139.459,143.42,143.42,0,0,0
2010-05-01,143.42,144.86,126.74,132.4,132.4,0,0,0
2010-06-01,132.377,136.346,130.47,132.114,132.114,0,0,0
2010-07-01,132.128,137.473,130.821,135.61,135.61,0,0,0
2010-08-01,135.61,137.726,128.82,130.72,130.72,0,0,0
2010-09-01,129.13,134.99,127.74,132.28,132.28,0,0,0
2010-10-01,131.281,132.933,126.449,128.832,128.832,0,0,0
2010-11-01,130.1,134.187,128.881,131.001,131.001,0,0,0
2010-12-01,130.245,133.02,125.475,125.755,125.755,0,0,0
2011-01-01,126.33,132.635,125.786,129.903,129.903,0,0,0
2011-02-01,131.548,135.405,130.97,131.377,131.377,0,0,0
2011-03-01,133.18,134.94,125.995,133.62,133.62,0,0,0
2011-04-01,133.641,139.964,133.048,135.7,135.7,0,0,0
2011-05-01,135.601,136.087,130.403,133.32,133.32,0,0,0
2011-06-01,134.074,134.317,128.205,129.783,129.783,0,0,0
2011-07-01,129.33,130.821,125.154,127.216,127.216,0,0,0
2011-08-01,126.705,130.8,123.29,125.036,125.036,0,0,0
2011-09-01,124.64,125.27,116.973,119.7,119.7,0,0,0
2011-10-01,120.32,127.198,116.95,122.13,122.13,0,0,0
2011-11-01,125.867,126.634,119.368,121.57,121.57,0,0,0
2011-12-01,121.742,122.751,119.3,119.65,119.65,0,0,0
2012-01-01,119.46,122.026,116.98,119.91,119.91,0,0,0
2012-02-01,119.94,129.665,119.76,128.13,128.13,0,0,0
2012-03-01,129.38,133.456,126.63,132.68,132.68,0,0,0
2012-04-01,132.68,133.193,127.193,130.81,130.81,0,0,0
2012-05-01,129.733,130.698,120.18,122.258,122.258,0,0,0
2012-06-01,120.918,125.813,118.8,125.34,125.34,0,0,0
2012-07-01,125.34,125.44,120.8,122.725,122.725,0,0,0
2012-08-01,122.38,125.49,121.07,123.97,123.97,0,0,0
2012-09-01,124.31,128.8,123.95,125.859,125.859,0,0,0
2012-10-01,125.664,129.63,124.729,128.062,128.062,0,0,0
2012-11-01,128.81,132.788,125.652,131.75,131.75,0,0,0
2012-12-01,132.0,140.585,131.619,138.9,138.9,0,0,0
2013-01-01,140.96,144.78,139.24,143.781,143.781,0,0,0
2013-02-01,145.51,147.869,138.2,140.0,140.0,0,0,0
