Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,189.33,189.66,185.68,185.93,185.93,0,0,0
2003-12-08,185.95,189.16,185.59,187.95,187.95,0,0,0
2003-12-15,187.92,190.99,187.39,190.1,190.1,0,0,0
2003-12-22,190.04,194.81,188.86,190.16,190.16,0,0,0
2003-12-29,190.2,192.49,189.13,191.93,191.93,0,0,0
2004-01-05,191.95,197.84,190.96,196.89,196.89,0,0,0
2004-01-12,196.92,197.68,189.23,191.92,191.92,0,0,0
2004-01-19,191.95,196.43,191.0,194.66,194.66,0,0,0
2004-01-26,194.49,194.5,190.88,192.72,192.72,0,0,0
2004-02-02,192.74,196.03,191.47,194.89,194.89,0,0,0
2004-02-09,194.9,199.92,194.9,198.77,198.77,0,0,0
2004-02-16,198.76,203.81,198.35,202.16,202.16,0,0,0
2004-02-23,202.17,205.83,200.76,204.4,204.4,0,0,0
2004-03-01,204.41,207.44,200.0,206.93,206.93,0,0,0
2004-03-08,206.9,207.95,198.47,199.39,199.39,0,0,0
2004-03-15,199.35,200.77,194.5,195.97,195.97,0,0,0
2004-03-22,196.04,198.05,190.22,190.91,190.91,0,0,0
2004-03-29,190.9,193.93,189.81,190.4,190.4,0,0,0
2004-04-05,190.44,195.47,190.06,194.83,194.83,0,0,0
2004-04-12,194.98,195.26,192.53,193.89,193.89,0,0,0
2004-04-19,193.9,196.43,192.41,193.32,193.32,0,0,0
2004-04-26,193.35,196.6,192.77,196.4,196.4,0,0,0
2004-05-03,196.42,201.04,194.04,200.48,200.48,0,0,0
2004-05-10,200.5,202.36,197.85,201.2,201.2,0,0,0
2004-05-17,201.2,202.76,199.44,201.16,201.16,0,0,0
2004-05-24,201.17,203.98,199.52,202.37,202.37,0,0,0
2004-05-31,202.4,204.98,200.08,204.42,204.42,0,0,0
2004-06-07,204.41,204.51,198.97,200.45,200.45,0,0,0
2004-06-14,200.41,202.01,199.36,199.81,199.81,0,0,0
