Datetime,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-05-04 09:00:00,45000.0,45150.0,43700.0,43725.0,43725.0,36900,0,0.0
2020-05-04 09:15:00,43725.0,44400.0,43725.0,44125.0,44125.0,31500,0,0.0
2020-05-04 09:30:00,44150.0,44150.0,43800.0,43850.0,43850.0,28600,0,0.0
2020-05-04 09:45:00,43850.0,44000.0,43850.0,43950.0,43950.0,17300,0,0.0
2020-05-04 10:00:00,43975.0,44200.0,43925.0,44075.0,44075.0,39600,0,0.0
2020-05-04 10:15:00,44050.0,44075.0,44000.0,44000.0,44000.0,8500,0,0.0
2020-05-04 10:30:00,44025.0,44025.0,43750.0,43750.0,43750.0,49900,0,0.0
2020-05-04 10:45:00,43800.0,43800.0,43625.0,43650.0,43650.0,60500,0,0.0
2020-05-04 11:00:00,43675.0,43675.0,43600.0,43625.0,43625.0,27100,0,0.0
2020-05-04 11:15:00,43600.0,43675.0,43600.0,43650.0,43650.0,34600,0,0.0
2020-05-04 13:30:00,43650.0,43675.0,43600.0,43625.0,43625.0,46100,0,0.0
2020-05-04 13:45:00,43625.0,43625.0,43550.0,43575.0,43575.0,41400,0,0.0
2020-05-04 14:00:00,43575.0,43700.0,43550.0,43550.0,43550.0,24200,0,0.0
2020-05-04 14:15:00,43550.0,43575.0,43500.0,43525.0,43525.0,28400,0,0.0
2020-05-04 14:30:00,43525.0,43525.0,43475.0,43475.0,43475.0,81700,0,0.0
2020-05-04 14:45:00,43475.0,43575.0,43475.0,43525.0,43525.0,14600,0,0.0
2020-05-04 15:00:00,44000.0,44000.0,44000.0,44000.0,44000.0,135400,0,0.0
2020-05-05 09:00:00,44250.0,44900.0,44250.0,44400.0,44400.0,63900,0,0.0
2020-05-05 09:15:00,44400.0,44475.0,44375.0,44375.0,44375.0,36000,0,0.0
2020-05-05 09:30:00,44375.0,44425.0,43600.0,43750.0,43750.0,98700,0,0.0
2020-05-05 09:45:00,43800.0,44000.0,43625.0,44000.0,44000.0,35100,0,0.0
2020-05-05 10:00:00,43950.0,44200.0,43675.0,43700.0,43700.0,103800,0,0.0
2020-05-05 10:15:00,43750.0,43975.0,43550.0,43625.0,43625.0,111000,0,0.0
2020-05-05 10:30:00,43650.0,43925.0,43500.0,43725.0,43725.0,46500,0,0.0
2020-05-05 10:45:00,43800.0,43800.0,43500.0,43675.0,43675.0,93800,0,0.0
2020-05-05 11:00:00,43675.0,43775.0,43650.0,43775.0,43775.0,21000,0,0.0
2020-05-05 11:15:00,43775.0,43775.0,43625.0,43650.0,43650.0,50500,0,0.0
2020-05-05 13:30:00,43675.0,43750.0,43525.0,43700.0,43700.0,45300,0,0.0
2020-05-05 13:45:00,43700.0,43875.0,43650.0,43850.0,43850.0,33300,0,0.0
2020-05-05 14:00:00,43875.0,43925.0,43825.0,43875.0,43875.0,38700,0,0.0
2020-05-05 14:15:00,43875.0,43975.0,43825.0,43975.0,43975.0,44900,0,0.0
2020-05-05 14:30:00,44000.0,44450.0,44000.0,44425.0,44425.0,157200,0,0.0
2020-05-05 14:45:00,44450.0,44525.0,44450.0,44525.0,44525.0,47400,0,0.0
2020-05-05 15:00:00,44525.0,44525.0,44525.0,44525.0,44525.0,130300,0,0.0
2020-05-06 09:00:00,44525.0,44750.0,44000.0,44750.0,44750.0,15600,0,0.0
2020-05-06 09:15:00,44750.0,44950.0,44650.0,44875.0,44875.0,68400,0,0.0
2020-05-06 09:30:00,44900.0,44950.0,44625.0,44650.0,44650.0,33100,0,0.0
2020-05-06 09:45:00,44650.0,44900.0,44625.0,44725.0,44725.0,38500,0,0.0
2020-05-06 10:00:00,44750.0,44775.0,44300.0,44575.0,44575.0,71200,0,0.0
2020-05-06 10:15:00,44575.0,44675.0,44575.0,44575.0,44575.0,29000,0,0.0
2020-05-06 10:30:00,44575.0,44575.0,44400.0,44475.0,44475.0,13300,0,0.0
2020-05-06 10:45:00,44475.0,44525.0,44475.0,44500.0,44500.0,15800,0,0.0
2020-05-06 11:00:00,44500.0,44525.0,44500.0,44525.0,44525.0,8900,0,0.0
2020-05-06 11:15:00,44525.0,44525.0,44475.0,44500.0,44500.0,12800,0,0.0
2020-05-06 13:30:00,44500.0,44525.0,44050.0,44150.0,44150.0,130900,0,0.0
2020-05-06 13:45:00,44200.0,44325.0,44075.0,44225.0,44225.0,31700,0,0.0
2020-05-06 14:00:00,44225.0,44225.0,44075.0,44100.0,44100.0,35900,0,0.0
2020-05-06 14:15:00,44100.0,44325.0,44100.0,44175.0,44175.0,24300,0,0.0
2020-05-06 14:30:00,44175.0,44500.0,44125.0,44425.0,44425.0,66900,0,0.0
2020-05-06 14:45:00,44425.0,44500.0,44325.0,44350.0,44350.0,75800,0,0.0
2020-05-06 15:00:00,44200.0,44200.0,44200.0,44200.0,44200.0,141900,0,0.0
2020-05-08 09:00:00,44200.0,44650.0,43800.0,44525.0,44525.0,61800,0,0.0
2020-05-08 09:15:00,44525.0,44750.0,44450.0,44600.0,44600.0,42200,0,0.0
2020-05-08 09:30:00,44600.0,44600.0,44300.0,44350.0,44350.0,47500,0,0.0
2020-05-08 09:45:00,44375.0,44475.0,44200.0,44225.0,44225.0,40200,0,0.0
2020-05-08 10:00:00,44225.0,44425.0,44200.0,44350.0,44350.0,33800,0,0.0
2020-05-08 10:15:00,44350.0,44425.0,44200.0,44275.0,44275.0,30700,0,0.0
2020-05-08 10:30:00,44300.0,44400.0,44150.0,44250.0,44250.0,53300,0,0.0
2020-05-08 10:45:00,44250.0,44275.0,44100.0,44100.0,44100.0,24700,0,0.0
2020-05-08 11:00:00,44100.0,44300.0,44100.0,44175.0,44175.0,48700,0,0.0
2020-05-08 11:15:00,44175.0,44200.0,43900.0,43925.0,43925.0,112800,0,0.0
2020-05-08 13:30:00,43975.0,44250.0,43925.0,44225.0,44225.0,44300,0,0.0
2020-05-08 13:45:00,44200.0,44225.0,44150.0,44150.0,44150.0,33100,0,0.0
2020-05-08 14:00:00,44150.0,44350.0,44125.0,44200.0,44200.0,66300,0,0.0
2020-05-08 14:15:00,44200.0,44200.0,44000.0,44100.0,44100.0,44100,0,0.0
2020-05-08 14:30:00,44100.0,44200.0,43975.0,43975.0,43975.0,58800,0,0.0
2020-05-08 14:45:00,43975.0,44250.0,43975.0,44250.0,44250.0,27400,0,0.0
2020-05-08 15:00:00,44050.0,44050.0,44050.0,44050.0,44050.0,111900,0,0.0
2020-05-11 09:00:00,44225.0,44625.0,44225.0,44625.0,44625.0,28600,0,0.0
2020-05-11 09:15:00,44625.0,44700.0,44500.0,44650.0,44650.0,42100,0,0.0
2020-05-11 09:30:00,44650.0,44850.0,44650.0,44750.0,44750.0,40100,0,0.0
2020-05-11 09:45:00,44800.0,44800.0,44625.0,44625.0,44625.0,10100,0,0.0
2020-05-11 10:00:00,44700.0,44700.0,44250.0,44600.0,44600.0,35400,0,0.0
2020-05-11 10:15:00,44650.0,44650.0,44500.0,44600.0,44600.0,11100,0,0.0
2020-05-11 10:30:00,44575.0,44600.0,44200.0,44200.0,44200.0,50800,0,0.0
2020-05-11 10:45:00,44550.0,44625.0,44200.0,44600.0,44600.0,41600,0,0.0
2020-05-11 11:00:00,44600.0,44650.0,44575.0,44650.0,44650.0,10500,0,0.0
2020-05-11 11:15:00,44650.0,44700.0,44625.0,44675.0,44675.0,19200,0,0.0
2020-05-11 13:30:00,44700.0,44850.0,44500.0,44825.0,44825.0,140300,0,0.0
2020-05-11 13:45:00,44825.0,44875.0,44750.0,44875.0,44875.0,41200,0,0.0
2020-05-11 14:00:00,44850.0,44950.0,44800.0,44925.0,44925.0,71900,0,0.0
2020-05-11 14:15:00,44950.0,45175.0,44900.0,45075.0,45075.0,98500,0,0.0
2020-05-11 14:30:00,45075.0,45100.0,44825.0,45000.0,45000.0,73300,0,0.0
2020-05-11 14:45:00,45000.0,45000.0,44700.0,44700.0,44700.0,122900,0,0.0
2020-05-11 15:00:00,44900.0,44900.0,44900.0,44900.0,44900.0,121100,0,0.0
2020-05-12 09:00:00,44925.0,45775.0,44700.0,45750.0,45750.0,66300,0,0.0
2020-05-12 09:15:00,45800.0,45900.0,45475.0,45600.0,45600.0,64500,0,0.0
2020-05-12 09:30:00,45600.0,46300.0,45600.0,45900.0,45900.0,160200,0,0.0
2020-05-12 09:45:00,46000.0,46200.0,45575.0,46000.0,46000.0,80700,0,0.0
2020-05-12 10:00:00,46100.0,46225.0,46000.0,46200.0,46200.0,82800,0,0.0
2020-05-12 10:15:00,46225.0,46225.0,45650.0,46025.0,46025.0,111700,0,0.0
2020-05-12 10:30:00,46025.0,46050.0,45750.0,45950.0,45950.0,63000,0,0.0
2020-05-12 10:45:00,45975.0,46050.0,45825.0,46000.0,46000.0,80400,0,0.0
2020-05-12 11:00:00,45975.0,46000.0,45800.0,45900.0,45900.0,69000,0,0.0
2020-05-12 11:15:00,45900.0,45925.0,45775.0,45825.0,45825.0,71700,0,0.0
2020-05-12 13:30:00,45825.0,45875.0,45500.0,45600.0,45600.0,86400,0,0.0
2020-05-12 13:45:00,45650.0,45775.0,45450.0,45750.0,45750.0,95300,0,0.0
2020-05-12 14:00:00,45775.0,45825.0,45275.0,45400.0,45400.0,133000,0,0.0
2020-05-12 14:15:00,45400.0,45500.0,45100.0,45200.0,45200.0,170700,0,0.0
2020-05-12 14:30:00,45200.0,45550.0,44950.0,45525.0,45525.0,194900,0,0.0
2020-05-12 14:45:00,45525.0,45625.0,45200.0,45525.0,45525.0,158800,0,0.0
