Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,0.0203,0.0203,0.02,0.0201,0.0201,0,0,0
2004-01-01,0.0201,0.0204,0.0198,0.02,0.02,0,0,0
2004-02-01,0.02,0.0202,0.0197,0.0201,0.0201,0,0,0
2004-03-01,0.0201,0.0202,0.0193,0.0195,0.0195,0,0,0
2004-04-01,0.0195,0.0197,0.0191,0.0194,0.0194,0,0,0
2004-05-01,0.0194,0.0195,0.018,0.0183,0.0183,0,0,0
2004-06-01,0.0183,0.0185,0.0178,0.0182,0.0182,0,0,0
2004-07-01,0.0182,0.0193,0.0182,0.0188,0.0188,0,0,0
2004-08-01,0.0188,0.019,0.0182,0.0182,0.0182,0,0,0
2004-09-01,0.0183,0.0188,0.0181,0.0184,0.0184,0,0,0
2004-10-01,0.0184,0.0186,0.0182,0.0183,0.0183,0,0,0
2004-11-01,0.0183,0.0185,0.0181,0.0181,0.0181,0,0,0
2004-12-01,0.0181,0.0182,0.0174,0.0174,0.0174,0,0,0
2005-01-01,0.0174,0.018,0.0173,0.0179,0.0179,0,0,0
2005-02-01,0.0179,0.0179,0.0175,0.0175,0.0175,0,0,0
2005-03-01,0.0175,0.0176,0.0172,0.0174,0.0174,0,0,0
2005-04-01,0.0174,0.0176,0.0168,0.0171,0.0171,0,0,0
2005-05-01,0.0171,0.0176,0.0171,0.0175,0.0175,0,0,0
2005-06-01,0.0175,0.0175,0.0172,0.0172,0.0172,0,0,0
2005-07-01,0.0172,0.0174,0.0168,0.017,0.017,0,0,0
2005-08-01,0.017,0.0173,0.0154,0.0169,0.0169,0,0,0
2005-09-01,0.0169,0.0169,0.0158,0.0164,0.0164,0,0,0
2005-10-01,0.0164,0.017,0.0163,0.0167,0.0167,0,0,0
2005-11-01,0.0167,0.0172,0.0166,0.0169,0.0169,0,0,0
2005-12-01,0.0169,0.0176,0.0167,0.0169,0.0169,0,0,0
2006-01-01,0.0169,0.0176,0.0077,0.0173,0.0173,0,0,0
2006-02-01,0.0173,0.0178,0.0168,0.0175,0.0175,0,0,0
2006-03-01,0.0175,0.0181,0.0174,0.0179,0.0179,0,0,0
2006-04-01,0.0179,0.0182,0.0177,0.018,0.018,0,0,0
2006-05-01,0.018,0.0181,0.0169,0.017,0.017,0,0,0
2006-06-01,0.017,0.0173,0.0168,0.0172,0.0172,0,0,0
2006-07-01,0.0172,0.0175,0.017,0.0174,0.0174,0,0,0
2006-08-01,0.0174,0.0175,0.0171,0.0172,0.0172,0,0,0
2006-09-01,0.0172,0.0175,0.0171,0.0172,0.0172,0,0,0
2006-10-01,0.0172,0.0173,0.017,0.0171,0.0171,0,0,0
2006-11-01,0.0171,0.0172,0.0168,0.0168,0.0168,0,0,0
2006-12-01,0.0168,0.0171,0.0168,0.0171,0.0171,0,0,0
2007-01-01,0.0171,0.0171,0.0168,0.017,0.017,0,0,0
2007-02-01,0.017,0.0171,0.0167,0.0168,0.0168,0,0,0
2007-03-01,0.0168,0.0168,0.0165,0.0167,0.0167,0,0,0
2007-04-01,0.0167,0.0168,0.0165,0.0167,0.0167,0,0,0
2007-05-01,0.0167,0.0176,0.0166,0.0173,0.0173,0,0,0
2007-06-01,0.0173,0.0175,0.0168,0.0169,0.0169,0,0,0
2007-07-01,0.0169,0.017,0.0164,0.0164,0.0164,0,0,0
2007-08-01,0.0164,0.0165,0.0161,0.0161,0.0161,0,0,0
2007-09-01,0.0161,0.0165,0.016,0.0163,0.0163,0,0,0
2007-10-01,0.0163,0.0163,0.0159,0.0159,0.0159,0,0,0
2007-11-01,0.0159,0.0161,0.0153,0.0154,0.0154,0,0,0
2007-12-01,0.0154,0.0157,0.0152,0.0152,0.0152,0,0,0
2008-01-01,0.0152,0.0154,0.015,0.0154,0.0154,0,0,0
2008-02-01,0.0154,0.0156,0.0152,0.0154,0.0154,0,0,0
2008-03-01,0.0154,0.0155,0.0148,0.0149,0.0149,0,0,0
2008-04-01,0.0149,0.0151,0.0144,0.0145,0.0145,0,0,0
2008-05-01,0.0144,0.0149,0.0143,0.0146,0.0146,0,0,0
2008-06-01,0.0146,0.0149,0.0145,0.0148,0.0148,0,0,0
2008-07-01,0.0148,0.0151,0.0146,0.015,0.015,0,0,0
2008-08-01,0.0153,0.0155,0.0152,0.0154,0.0154,0,0,0
2008-09-01,0.0154,0.0157,0.0148,0.0151,0.0151,0,0,0
2008-10-01,0.0151,0.0155,0.0134,0.0135,0.0135,0,0,0
2008-11-01,0.0135,0.0141,0.0117,0.0118,0.0118,0,0,0
2008-12-01,0.0118,0.0139,0.0118,0.0128,0.0128,0,0,0
2009-01-01,0.0128,0.0207,0.0128,0.0132,0.0132,0,0,0
2009-02-01,0.0132,0.0134,0.0125,0.0128,0.0128,0,0,0
2009-03-01,0.0128,0.0133,0.0125,0.0131,0.0131,0,0,0
2009-04-01,0.0131,0.0141,0.013,0.0138,0.0138,0,0,0
2009-05-01,0.0138,0.0143,0.0136,0.0141,0.0141,0,0,0
2009-06-01,0.0141,0.0146,0.0138,0.0142,0.0142,0,0,0
2009-07-01,0.0142,0.0147,0.0141,0.0147,0.0147,0,0,0
2009-08-01,0.0147,0.0148,0.0143,0.0143,0.0143,0,0,0
2009-09-01,0.0143,0.0149,0.0142,0.0146,0.0146,0,0,0
2009-10-01,0.0146,0.0149,0.0145,0.0146,0.0146,0,0,0
2009-11-01,0.0146,0.0149,0.0145,0.0148,0.0148,0,0,0
2009-12-01,0.0148,0.015,0.0143,0.0149,0.0149,0,0,0
2010-01-01,0.0149,0.0152,0.0147,0.0147,0.0147,0,0,0
2010-02-01,0.0147,0.0159,0.0147,0.015,0.015,0,0,0
2010-03-01,0.015,0.0158,0.0148,0.0154,0.0154,0,0,0
2010-04-01,0.0154,0.0156,0.015,0.0152,0.0152,0,0,0
2010-05-01,0.0152,0.0152,0.0002,0.0002,0.0002,0,0,0
2010-06-01,0.0002,0.0002,0.0002,0.0002,0.0002,0,0,0
2010-07-01,0.0002,0.0002,0.0002,0.0002,0.0002,0,0,0
2010-08-01,0.0002,0.0002,0.0002,0.0002,0.0002,0,0,0
2010-09-01,0.0002,0.0002,0.0002,0.0002,0.0002,0,0,0
2010-10-01,0.0002,0.0002,0.0001,0.0002,0.0002,0,0,0
2010-11-01,0.0003,0.0003,0.0001,0.0002,0.0002,0,0,0
2010-12-01,0.0002,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-01-01,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
2011-02-01,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
2011-03-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-04-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-05-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-06-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-07-01,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
2011-08-01,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
2011-09-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-10-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-11-01,0.0001,0.0002,0.0001,0.0001,0.0001,0,0,0
2011-12-01,0.0001,0.0001,0.0001,0.0001,0.0001,0,0,0
2012-01-01,0.0001,0.0143,0.0001,0.014,0.014,0,0,0
2012-02-01,0.014,0.0141,0.0137,0.0138,0.0138,0,0,0
