Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,0.0203,0.0203,0.0201,0.0202,0.0202,0,0,0
2003-12-08,0.0202,0.0203,0.02,0.0201,0.0201,0,0,0
2003-12-15,0.0201,0.0202,0.02,0.0201,0.0201,0,0,0
2003-12-22,0.0201,0.0203,0.02,0.02,0.02,0,0,0
2003-12-29,0.02,0.0204,0.02,0.0201,0.0201,0,0,0
2004-01-05,0.0201,0.0204,0.0201,0.0203,0.0203,0,0,0
2004-01-12,0.0203,0.0204,0.02,0.0204,0.0204,0,0,0
2004-01-19,0.0203,0.0204,0.0201,0.0201,0.0201,0,0,0
2004-01-26,0.0201,0.0203,0.0198,0.02,0.02,0,0,0
2004-02-02,0.02,0.0201,0.0197,0.0199,0.0199,0,0,0
2004-02-09,0.0199,0.02,0.0198,0.0199,0.0199,0,0,0
2004-02-16,0.0199,0.0201,0.0198,0.02,0.02,0,0,0
2004-02-23,0.02,0.0202,0.0199,0.0201,0.0201,0,0,0
2004-03-01,0.0201,0.0202,0.0198,0.0199,0.0199,0,0,0
2004-03-08,0.0198,0.02,0.0196,0.0198,0.0198,0,0,0
2004-03-15,0.0198,0.0199,0.0195,0.0196,0.0196,0,0,0
2004-03-22,0.0196,0.0198,0.0193,0.0193,0.0193,0,0,0
2004-03-29,0.0193,0.0197,0.0192,0.0192,0.0192,0,0,0
2004-04-05,0.0192,0.0197,0.0191,0.0195,0.0195,0,0,0
2004-04-12,0.0195,0.0196,0.0193,0.0195,0.0195,0,0,0
2004-04-19,0.0195,0.0197,0.0194,0.0196,0.0196,0,0,0
2004-04-26,0.0196,0.0197,0.0193,0.0195,0.0195,0,0,0
2004-05-03,0.0195,0.0195,0.0191,0.0193,0.0193,0,0,0
2004-05-10,0.0193,0.0194,0.019,0.0191,0.0191,0,0,0
2004-05-17,0.0191,0.0192,0.0189,0.0189,0.0189,0,0,0
2004-05-24,0.0189,0.0189,0.018,0.0183,0.0183,0,0,0
2004-05-31,0.0183,0.0183,0.0178,0.0181,0.0181,0,0,0
2004-06-07,0.0182,0.0185,0.0181,0.0182,0.0182,0,0,0
2004-06-14,0.0182,0.0184,0.0181,0.0182,0.0182,0,0,0
2004-06-21,0.0182,0.0183,0.018,0.0181,0.0181,0,0,0
2004-06-28,0.0181,0.0189,0.018,0.0187,0.0187,0,0,0
2004-07-05,0.0187,0.0192,0.0187,0.0191,0.0191,0,0,0
2004-07-12,0.0191,0.0193,0.0189,0.019,0.019,0,0,0
2004-07-19,0.019,0.0191,0.0189,0.019,0.019,0,0,0
2004-07-26,0.019,0.019,0.0187,0.0189,0.0189,0,0,0
2004-08-02,0.0189,0.019,0.0186,0.0186,0.0186,0,0,0
2004-08-09,0.0186,0.0187,0.0184,0.0185,0.0185,0,0,0
2004-08-16,0.0185,0.0185,0.0184,0.0185,0.0185,0,0,0
2004-08-23,0.0185,0.0185,0.0183,0.0184,0.0184,0,0,0
2004-08-30,0.0184,0.0184,0.0182,0.0184,0.0184,0,0,0
2004-09-06,0.0184,0.0184,0.0181,0.0183,0.0183,0,0,0
2004-09-13,0.0183,0.0188,0.0183,0.0187,0.0187,0,0,0
2004-09-20,0.0187,0.0188,0.0184,0.0185,0.0185,0,0,0
2004-09-27,0.0185,0.0186,0.0183,0.0183,0.0183,0,0,0
2004-10-04,0.0183,0.0186,0.0183,0.0185,0.0185,0,0,0
2004-10-11,0.0185,0.0186,0.0184,0.0185,0.0185,0,0,0
2004-10-18,0.0185,0.0185,0.0183,0.0184,0.0184,0,0,0
2004-10-25,0.0184,0.0184,0.0182,0.0183,0.0183,0,0,0
2004-11-01,0.0183,0.0184,0.0182,0.0182,0.0182,0,0,0
2004-11-08,0.0182,0.0185,0.0182,0.0184,0.0184,0,0,0
2004-11-15,0.0184,0.0184,0.0183,0.0184,0.0184,0,0,0
2004-11-22,0.0184,0.0184,0.0182,0.0182,0.0182,0,0,0
2004-11-29,0.0182,0.0182,0.018,0.0181,0.0181,0,0,0
2004-12-06,0.0181,0.0181,0.0178,0.0179,0.0179,0,0,0
2004-12-13,0.0179,0.0179,0.0176,0.0177,0.0177,0,0,0
2004-12-20,0.0177,0.0177,0.0176,0.0177,0.0177,0,0,0
2004-12-27,0.0177,0.0179,0.0174,0.0174,0.0174,0,0,0
2005-01-03,0.0174,0.0178,0.0173,0.0177,0.0177,0,0,0
2005-01-10,0.0177,0.018,0.0176,0.0179,0.0179,0,0,0
2005-01-17,0.0179,0.018,0.0178,0.0179,0.0179,0,0,0
2005-01-24,0.0179,0.0179,0.0178,0.0179,0.0179,0,0,0
2005-01-31,0.0179,0.0179,0.0177,0.0178,0.0178,0,0,0
2005-02-07,0.0178,0.0178,0.0177,0.0178,0.0178,0,0,0
2005-02-14,0.0178,0.0178,0.0176,0.0177,0.0177,0,0,0
2005-02-21,0.0177,0.0177,0.0175,0.0176,0.0176,0,0,0
2005-02-28,0.0176,0.0176,0.0173,0.0174,0.0174,0,0,0
2005-03-07,0.0174,0.0174,0.0172,0.0173,0.0173,0,0,0
2005-03-14,0.0173,0.0174,0.0172,0.0174,0.0174,0,0,0
2005-03-21,0.0174,0.0175,0.0173,0.0174,0.0174,0,0,0
2005-03-28,0.0174,0.0175,0.0173,0.0175,0.0175,0,0,0
2005-04-04,0.0175,0.0176,0.0174,0.0174,0.0174,0,0,0
2005-04-11,0.0174,0.0175,0.0173,0.0174,0.0174,0,0,0
2005-04-18,0.0174,0.0174,0.017,0.017,0.017,0,0,0
2005-04-25,0.017,0.0173,0.0168,0.0171,0.0171,0,0,0
2005-05-02,0.0171,0.0173,0.0171,0.0173,0.0173,0,0,0
2005-05-09,0.0173,0.0175,0.0173,0.0175,0.0175,0,0,0
2005-05-16,0.0175,0.0176,0.0174,0.0176,0.0176,0,0,0
2005-05-23,0.0176,0.0176,0.0174,0.0175,0.0175,0,0,0
2005-05-30,0.0175,0.0175,0.0174,0.0174,0.0174,0,0,0
2005-06-06,0.0174,0.0174,0.0172,0.0174,0.0174,0,0,0
2005-06-13,0.0174,0.0175,0.0173,0.0174,0.0174,0,0,0
2005-06-20,0.0174,0.0174,0.0173,0.0173,0.0173,0,0,0
2005-06-27,0.0173,0.0174,0.0172,0.0173,0.0173,0,0,0
2005-07-04,0.0172,0.0174,0.0171,0.0173,0.0173,0,0,0
2005-07-11,0.0173,0.0174,0.0172,0.0172,0.0172,0,0,0
2005-07-18,0.0172,0.0173,0.0168,0.017,0.017,0,0,0
2005-07-25,0.017,0.017,0.0169,0.017,0.017,0,0,0
2005-08-01,0.017,0.0173,0.0166,0.0169,0.0169,0,0,0
2005-08-08,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2005-08-15,0.0169,0.0169,0.0167,0.0167,0.0167,0,0,0
2005-08-22,0.0168,0.0168,0.016,0.0161,0.0161,0,0,0
2005-08-29,0.0161,0.0169,0.0154,0.0162,0.0162,0,0,0
2005-09-05,0.0162,0.0165,0.0158,0.0164,0.0164,0,0,0
2005-09-12,0.0164,0.0168,0.0163,0.0165,0.0165,0,0,0
2005-09-19,0.0165,0.0166,0.0163,0.0164,0.0164,0,0,0
2005-09-26,0.0164,0.0166,0.0162,0.0164,0.0164,0,0,0
2005-10-03,0.0164,0.0169,0.0163,0.0167,0.0167,0,0,0
2005-10-10,0.0167,0.0168,0.0166,0.0167,0.0167,0,0,0
2005-10-17,0.0167,0.0169,0.0167,0.0168,0.0168,0,0,0
2005-10-24,0.0168,0.017,0.0167,0.0168,0.0168,0,0,0
2005-10-31,0.0168,0.017,0.0166,0.0169,0.0169,0,0,0
2005-11-07,0.0169,0.0172,0.0167,0.017,0.017,0,0,0
2005-11-14,0.017,0.0171,0.0168,0.0169,0.0169,0,0,0
2005-11-21,0.0169,0.017,0.0168,0.0168,0.0168,0,0,0
2005-11-28,0.0168,0.017,0.0168,0.0169,0.0169,0,0,0
2005-12-05,0.0169,0.0174,0.0168,0.0173,0.0173,0,0,0
2005-12-12,0.0173,0.0176,0.0169,0.0169,0.0169,0,0,0
2005-12-19,0.0169,0.017,0.0167,0.0169,0.0169,0,0,0
2005-12-26,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2006-01-02,0.0169,0.0172,0.0169,0.0171,0.0171,0,0,0
2006-01-09,0.0171,0.0176,0.017,0.0174,0.0174,0,0,0
2006-01-16,0.0174,0.0175,0.0171,0.0173,0.0173,0,0,0
2006-01-23,0.0173,0.0174,0.0077,0.0173,0.0173,0,0,0
2006-01-30,0.0173,0.0176,0.0173,0.0176,0.0176,0,0,0
2006-02-06,0.0176,0.0177,0.0168,0.0168,0.0168,0,0,0
2006-02-13,0.0169,0.0178,0.0168,0.0177,0.0177,0,0,0
2006-02-20,0.0177,0.0177,0.0174,0.0174,0.0174,0,0,0
2006-02-27,0.0175,0.0178,0.0174,0.0177,0.0177,0,0,0
2006-03-06,0.0177,0.0177,0.0174,0.0177,0.0177,0,0,0
2006-03-13,0.0177,0.0179,0.0176,0.0177,0.0177,0,0,0
2006-03-20,0.0177,0.0179,0.0175,0.0179,0.0179,0,0,0
2006-03-27,0.0179,0.0181,0.0177,0.0179,0.0179,0,0,0
2006-04-03,0.0179,0.0181,0.0177,0.0179,0.0179,0,0,0
2006-04-10,0.0179,0.018,0.0178,0.0179,0.0179,0,0,0
2006-04-17,0.0179,0.018,0.0178,0.018,0.018,0,0,0
2006-04-24,0.018,0.0182,0.0179,0.018,0.018,0,0,0
2006-05-01,0.018,0.0181,0.0178,0.0179,0.0179,0,0,0
2006-05-08,0.0179,0.0181,0.0178,0.0179,0.0179,0,0,0
2006-05-15,0.0179,0.018,0.017,0.0172,0.0172,0,0,0
2006-05-22,0.0172,0.0173,0.0169,0.017,0.017,0,0,0
2006-05-29,0.017,0.0172,0.0169,0.017,0.017,0,0,0
2006-06-05,0.017,0.0171,0.0168,0.017,0.017,0,0,0
2006-06-12,0.017,0.0172,0.0168,0.0172,0.0172,0,0,0
2006-06-19,0.0172,0.0172,0.017,0.017,0.017,0,0,0
2006-06-26,0.017,0.0173,0.017,0.0173,0.0173,0,0,0
2006-07-03,0.0172,0.0173,0.0172,0.0172,0.0172,0,0,0
2006-07-10,0.0172,0.0172,0.0171,0.0171,0.0171,0,0,0
2006-07-17,0.0171,0.0174,0.017,0.0173,0.0173,0,0,0
2006-07-24,0.0173,0.0175,0.0172,0.0175,0.0175,0,0,0
2006-07-31,0.0175,0.0175,0.0173,0.0173,0.0173,0,0,0
2006-08-07,0.0173,0.0174,0.0172,0.0174,0.0174,0,0,0
2006-08-14,0.0174,0.0175,0.0172,0.0174,0.0174,0,0,0
2006-08-21,0.0174,0.0175,0.0171,0.0173,0.0173,0,0,0
2006-08-28,0.0173,0.0174,0.0172,0.0173,0.0173,0,0,0
2006-09-04,0.0173,0.0173,0.0171,0.0172,0.0172,0,0,0
2006-09-11,0.0172,0.0174,0.0172,0.0173,0.0173,0,0,0
2006-09-18,0.0173,0.0175,0.0172,0.0173,0.0173,0,0,0
2006-09-25,0.0173,0.0173,0.0171,0.0172,0.0172,0,0,0
2006-10-02,0.0172,0.0173,0.0171,0.0171,0.0171,0,0,0
2006-10-09,0.0171,0.0172,0.017,0.0172,0.0172,0,0,0
2006-10-16,0.0172,0.0173,0.0171,0.0172,0.0172,0,0,0
2006-10-23,0.0172,0.0173,0.017,0.0171,0.0171,0,0,0
2006-10-30,0.0171,0.0172,0.017,0.0172,0.0172,0,0,0
2006-11-06,0.0172,0.0172,0.017,0.0171,0.0171,0,0,0
2006-11-13,0.0171,0.0171,0.0169,0.017,0.017,0,0,0
2006-11-20,0.017,0.0172,0.0169,0.017,0.017,0,0,0
2006-11-27,0.017,0.017,0.0168,0.0168,0.0168,0,0,0
2006-12-04,0.0168,0.017,0.0168,0.0169,0.0169,0,0,0
2006-12-11,0.0169,0.017,0.0168,0.017,0.017,0,0,0
2006-12-18,0.017,0.0171,0.0168,0.0169,0.0169,0,0,0
2006-12-25,0.0169,0.0171,0.0169,0.0171,0.0171,0,0,0
2007-01-01,0.0171,0.0171,0.0169,0.0171,0.0171,0,0,0
2007-01-08,0.017,0.0171,0.0169,0.0169,0.0169,0,0,0
2007-01-15,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2007-01-22,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2007-01-29,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2007-02-05,0.0169,0.017,0.0169,0.017,0.017,0,0,0
2007-02-12,0.017,0.0171,0.0169,0.0169,0.0169,0,0,0
2007-02-19,0.0169,0.017,0.0168,0.0169,0.0169,0,0,0
2007-02-26,0.0169,0.0169,0.0166,0.0166,0.0166,0,0,0
2007-03-05,0.0166,0.0167,0.0165,0.0167,0.0167,0,0,0
2007-03-12,0.0167,0.0167,0.0165,0.0166,0.0166,0,0,0
2007-03-19,0.0166,0.0168,0.0165,0.0166,0.0166,0,0,0
2007-03-26,0.0166,0.0167,0.0166,0.0167,0.0167,0,0,0
2007-04-02,0.0167,0.0168,0.0166,0.0166,0.0166,0,0,0
2007-04-09,0.0166,0.0168,0.0165,0.0167,0.0167,0,0,0
2007-04-16,0.0167,0.0167,0.0166,0.0166,0.0166,0,0,0
2007-04-23,0.0166,0.0168,0.0166,0.0168,0.0168,0,0,0
2007-04-30,0.0168,0.017,0.0166,0.017,0.017,0,0,0
2007-05-07,0.017,0.0174,0.0168,0.0173,0.0173,0,0,0
2007-05-14,0.0173,0.0174,0.0172,0.0173,0.0173,0,0,0
2007-05-21,0.0173,0.0176,0.0172,0.0174,0.0174,0,0,0
2007-05-28,0.0174,0.0175,0.0173,0.0173,0.0173,0,0,0
