Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-01-29,170.0,180.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-02-05,145.0,145.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-02-19,120.0,120.0,105.0,115.0,53.95,10000.0,0.0,0.0
2001-02-26,110.0,115.0,90.0,90.0,42.22,0.0,0.0,0.0
2001-03-26,115.0,115.0,100.0,100.0,46.91,0.0,0.0,0.0
2001-04-02,115.0,115.0,65.0,65.0,30.49,20000.0,0.0,0.0
2001-04-09,115.0,120.0,65.0,65.0,30.49,0.0,0.0,0.0
2001-04-16,115.0,115.0,65.0,65.0,30.49,0.0,0.0,0.0
2001-04-23,115.0,115.0,65.0,65.0,30.49,0.0,0.0,0.0
2001-04-30,115.0,120.0,85.0,120.0,56.3,10000.0,0.0,0.0
2001-05-07,125.0,135.0,95.0,110.0,51.6,2500.0,0.0,0.0
2001-05-14,135.0,140.0,95.0,105.0,49.26,0.0,0.0,0.0
2001-05-21,120.0,160.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-05-28,160.0,160.0,110.0,110.0,51.6,112500.0,0.0,0.0
2001-06-04,135.0,135.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-06-11,125.0,135.0,100.0,115.0,53.95,32500.0,0.0,0.0
2001-06-18,135.0,135.0,115.0,115.0,53.95,0.0,0.0,0.0
2001-06-25,130.0,175.0,130.0,170.0,79.75,627500.0,0.0,0.0
2001-07-02,180.0,200.0,100.0,100.0,46.91,0.0,0.0,0.0
2001-07-09,170.0,170.0,130.0,130.0,60.99,0.0,0.0,0.0
2001-07-16,155.0,175.0,155.0,175.0,82.1,50000.0,0.0,0.0
2001-07-23,175.0,175.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-08-20,200.0,200.0,105.0,115.0,53.95,0.0,0.0,0.0
2001-09-24,175.0,175.0,85.0,85.0,39.88,0.0,0.0,0.0
2001-10-15,200.0,200.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-11-05,175.0,175.0,100.0,100.0,46.91,0.0,0.0,0.0
2001-11-12,130.0,130.0,105.0,120.0,56.3,37500.0,0.0,0.0
2001-11-19,120.0,120.0,75.0,85.0,39.88,5000.0,0.0,0.0
2001-11-26,75.0,124.0,75.0,80.0,37.53,2500.0,0.0,0.0
2001-12-03,89.0,120.0,71.0,71.0,33.31,2500.0,0.0,0.0
2001-12-17,120.0,120.0,61.0,61.0,28.62,0.0,0.0,0.0
2002-01-21,99.0,119.0,71.0,71.0,33.31,2500.0,0.0,0.0
2002-01-28,99.0,99.0,99.0,99.0,46.44,2500.0,0.0,0.0
2002-02-25,99.0,99.0,81.0,99.0,46.44,25000.0,0.0,0.0
2002-03-04,99.0,99.0,70.0,71.0,33.31,0.0,0.0,0.0
2002-03-18,99.0,99.0,65.0,71.0,33.31,0.0,0.0,0.0
2002-03-25,99.0,99.0,71.0,71.0,33.31,0.0,0.0,0.0
2002-04-01,99.0,99.0,71.0,71.0,33.31,0.0,0.0,0.0
2002-05-06,110.0,150.0,110.0,150.0,70.37,22500.0,0.0,0.0
2002-05-13,150.0,150.0,115.0,115.0,53.95,35000.0,0.0,0.0
2002-05-20,100.0,130.0,22.0,22.0,10.32,2500.0,0.0,0.0
2002-05-27,27.0,30.0,27.0,28.0,13.14,280000.0,0.0,0.0
2002-06-03,28.0,30.0,25.0,26.0,12.2,25000.0,0.0,0.0
2002-06-10,30.0,30.0,25.0,26.0,12.2,125000.0,0.0,0.0
2002-06-17,27.0,30.0,25.0,25.0,11.73,125000.0,0.0,0.0
2002-06-24,29.0,30.0,25.0,26.0,12.2,0.0,0.0,0.0
2002-07-01,26.0,28.0,25.0,26.0,12.2,327500.0,0.0,0.0
2002-07-08,25.0,28.0,22.0,22.0,10.32,420000.0,0.0,0.0
2002-07-15,28.0,30.0,22.0,27.0,12.67,2500.0,0.0,0.0
2002-07-22,28.0,28.0,24.0,24.0,11.26,885000.0,0.0,0.0
2002-07-29,26.0,26.0,24.0,24.0,11.26,0.0,0.0,0.0
2002-08-05,24.0,30.0,24.0,24.0,11.26,100000.0,0.0,0.0
2002-08-12,26.0,26.0,23.0,26.0,12.2,237500.0,0.0,0.0
2002-08-19,25.0,28.0,25.0,26.0,12.2,255000.0,0.0,0.0
2002-08-26,28.0,28.0,24.0,24.0,11.26,3475000.0,0.0,0.0
2002-09-02,25.0,25.0,22.0,22.0,10.32,2397500.0,0.0,0.0
2002-09-09,22.0,25.0,20.0,21.0,9.85,2977500.0,0.0,0.0
2002-09-16,20.0,20.0,16.0,16.0,7.51,2087500.0,0.0,0.0
2002-09-23,19.0,21.0,16.0,16.0,7.51,175000.0,0.0,0.0
2002-09-30,18.0,19.0,16.0,17.0,7.98,125000.0,0.0,0.0
2002-10-07,18.0,20.0,16.0,19.0,8.91,187500.0,0.0,0.0
2002-10-14,20.0,21.0,16.0,17.0,7.98,225000.0,0.0,0.0
2002-10-21,22.0,23.0,10.0,19.0,8.91,250000.0,0.0,0.0
2002-10-28,20.0,22.0,18.0,22.0,10.32,415000.0,0.0,0.0
2002-11-04,21.0,22.0,18.0,18.0,8.44,110000.0,0.0,0.0
2002-11-11,20.0,23.0,18.0,18.0,8.44,547500.0,0.0,0.0
2002-11-18,20.0,20.0,18.0,18.0,8.44,127500.0,0.0,0.0
2002-11-25,20.0,21.0,12.0,18.0,8.44,0.0,0.0,0.0
2002-12-02,20.0,21.0,18.0,18.0,8.44,62500.0,0.0,0.0
2002-12-09,20.0,22.0,19.0,19.0,8.91,67500.0,0.0,0.0
2002-12-16,19.0,20.0,16.0,20.0,9.38,195000.0,0.0,0.0
2002-12-23,20.0,20.0,10.0,10.0,4.69,0.0,0.0,0.0
2002-12-30,19.0,19.0,19.0,19.0,8.91,317500.0,0.0,0.0
2003-01-06,19.0,20.0,17.0,17.0,7.98,385000.0,0.0,0.0
2003-01-13,20.0,20.0,18.0,19.0,8.91,0.0,0.0,0.0
2003-01-20,18.0,20.0,18.0,19.0,8.91,530000.0,0.0,0.0
2003-01-27,19.0,20.0,18.0,18.0,8.44,55000.0,0.0,0.0
2003-02-03,19.0,20.0,18.0,19.0,8.91,100000.0,0.0,0.0
2003-02-10,19.0,21.0,18.0,18.0,8.44,137500.0,0.0,0.0
2003-02-17,18.0,20.0,18.0,19.0,8.91,5000.0,0.0,0.0
2003-02-24,20.0,20.0,18.0,20.0,9.38,637500.0,0.0,0.0
2003-03-03,19.0,22.0,19.0,20.0,9.38,225000.0,0.0,0.0
2003-03-10,19.0,24.0,19.0,20.0,9.38,50000.0,0.0,0.0
2003-03-17,20.0,22.0,19.0,19.0,8.91,715000.0,0.0,0.0
2003-03-24,22.0,22.0,19.0,19.0,8.91,0.0,0.0,0.0
2003-03-31,20.0,22.0,19.0,19.0,8.91,137500.0,0.0,0.0
2003-04-07,20.0,22.0,19.0,20.0,9.38,275000.0,0.0,0.0
2003-04-14,22.0,22.0,19.0,20.0,9.38,130000.0,0.0,0.0
2003-04-21,22.0,22.0,19.0,20.0,9.38,630000.0,0.0,0.0
2003-04-28,19.0,23.0,18.0,20.0,9.38,17840000.0,0.0,0.0
2003-05-05,23.0,28.0,21.0,28.0,13.14,8647500.0,0.0,0.0
2003-05-12,30.0,30.0,27.0,27.0,12.67,3297500.0,0.0,0.0
2003-05-19,26.0,29.0,25.0,27.0,12.67,1877500.0,0.0,0.0
2003-05-26,28.0,60.0,28.0,60.0,28.15,17745000.0,0.0,0.0
2003-06-02,60.0,61.0,52.0,53.0,24.86,5767500.0,0.0,0.0
2003-06-09,52.0,57.0,48.0,54.0,25.33,3120000.0,0.0,0.0
2003-06-16,52.0,52.0,44.0,44.0,20.64,230000.0,0.0,0.0
2003-06-23,46.0,46.0,36.0,40.0,18.77,695000.0,0.0,0.0
2003-06-30,42.0,48.0,40.0,48.0,22.52,970000.0,0.0,0.0
2003-07-07,46.0,58.0,46.0,57.0,26.74,1392500.0,0.0,0.0
2003-07-14,53.0,59.0,53.0,53.0,24.86,1617500.0,0.0,0.0
2003-07-21,53.0,57.0,48.0,52.0,24.39,1122500.0,0.0,0.0
2003-07-28,53.0,56.0,50.0,50.0,23.46,647500.0,0.0,0.0
2003-08-04,55.0,60.0,52.0,60.0,28.15,2767500.0,0.0,0.0
2003-08-11,59.0,64.0,58.0,59.0,27.68,5140000.0,0.0,0.0
2003-08-18,57.0,59.0,53.0,59.0,27.68,615000.0,0.0,0.0
2003-08-25,59.0,59.0,50.0,58.0,27.21,940000.0,0.0,0.0
2003-09-01,54.0,60.0,53.0,60.0,28.15,2610000.0,0.0,0.0
2003-09-08,58.0,60.0,57.0,59.0,27.68,7915000.0,0.0,0.0
2003-09-15,56.0,60.0,56.0,56.0,26.27,152500.0,0.0,0.0
2003-09-22,58.0,59.0,52.0,56.0,26.27,250000.0,0.0,0.0
2003-09-29,58.0,60.0,56.0,57.0,26.74,397500.0,0.0,0.0
2003-10-06,59.0,60.0,56.0,56.0,26.27,1357500.0,0.0,0.0
2003-10-13,60.0,73.0,59.0,68.0,31.9,13415000.0,0.0,0.0
2003-10-20,68.0,68.0,64.0,64.0,30.02,2472500.0,0.0,0.0
2003-10-27,66.0,68.0,60.0,60.0,28.15,25000.0,0.0,0.0
2003-11-03,66.0,68.0,60.0,60.0,28.15,500000.0,0.0,0.0
2003-11-10,68.0,68.0,60.0,60.0,28.15,0.0,0.0,0.0
2003-11-17,67.0,67.0,50.0,50.0,23.46,55000.0,0.0,0.0
2003-12-01,53.0,63.0,52.0,62.0,29.09,32142500.0,0.0,0.0
2003-12-08,62.0,65.0,59.0,62.0,29.09,43017500.0,0.0,0.0
2003-12-15,61.0,62.0,55.0,55.0,25.8,21665000.0,0.0,0.0
2003-12-22,55.0,55.0,54.0,54.0,25.33,3862500.0,0.0,0.0
2003-12-29,55.0,57.0,54.0,54.0,25.33,9407500.0,0.0,0.0
2004-01-05,56.0,56.0,54.0,55.0,25.8,5597500.0,0.0,0.0
2004-01-12,54.0,59.0,54.0,54.0,25.33,10620000.0,0.0,0.0
2004-01-19,54.0,54.0,53.0,54.0,25.33,1507500.0,0.0,0.0
