Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-01-31,170.0,170.0,115.0,115.0,53.95,0.0,0.0,0.0
2001-05-11,120.0,120.0,110.0,110.0,51.6,0.0,0.0,0.0
2001-05-21,120.0,120.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-05-31,125.0,125.0,120.0,125.0,58.64,112500.0,0.0,0.0
2001-06-05,135.0,135.0,105.0,105.0,49.26,0.0,0.0,0.0
2001-06-20,135.0,135.0,115.0,115.0,53.95,0.0,0.0,0.0
2001-06-25,130.0,130.0,130.0,130.0,60.99,100000.0,0.0,0.0
2001-07-05,200.0,200.0,155.0,155.0,72.72,0.0,0.0,0.0
2001-08-24,175.0,175.0,115.0,115.0,53.95,0.0,0.0,0.0
2001-11-22,100.0,100.0,100.0,100.0,46.91,2500.0,0.0,0.0
2001-11-27,120.0,120.0,85.0,85.0,39.88,0.0,0.0,0.0
2001-12-07,120.0,120.0,71.0,71.0,33.31,0.0,0.0,0.0
2002-01-21,99.0,99.0,99.0,99.0,46.44,2500.0,0.0,0.0
2002-03-07,99.0,99.0,70.0,70.0,32.84,0.0,0.0,0.0
2002-03-22,99.0,99.0,71.0,71.0,33.31,0.0,0.0,0.0
2002-05-16,120.0,120.0,115.0,115.0,53.95,5000.0,0.0,0.0
2002-05-21,130.0,130.0,105.0,105.0,49.26,0.0,0.0,0.0
2002-05-31,28.0,28.0,28.0,28.0,13.14,55000.0,0.0,0.0
2002-06-05,30.0,30.0,25.0,25.0,11.73,0.0,0.0,0.0
2002-06-10,30.0,30.0,25.0,25.0,11.73,0.0,0.0,0.0
2002-06-20,29.0,29.0,25.0,25.0,11.73,0.0,0.0,0.0
2002-06-25,28.0,28.0,26.0,26.0,12.2,0.0,0.0,0.0
2002-07-05,26.0,26.0,26.0,26.0,12.2,25000.0,0.0,0.0
2002-07-10,24.0,24.0,24.0,24.0,11.26,150000.0,0.0,0.0
2002-07-15,28.0,28.0,22.0,22.0,10.32,0.0,0.0,0.0
2002-08-09,24.0,24.0,24.0,24.0,11.26,37500.0,0.0,0.0
2002-08-14,25.0,25.0,24.0,24.0,11.26,0.0,0.0,0.0
2002-08-19,25.0,25.0,25.0,25.0,11.73,125000.0,0.0,0.0
2002-08-29,25.0,25.0,25.0,25.0,11.73,1000000.0,0.0,0.0
2002-09-03,24.0,24.0,24.0,24.0,11.26,1112500.0,0.0,0.0
2002-09-13,21.0,21.0,21.0,21.0,9.85,1000000.0,0.0,0.0
2002-09-18,17.0,17.0,16.0,16.0,7.51,625000.0,0.0,0.0
2002-09-23,19.0,19.0,19.0,19.0,8.91,50000.0,0.0,0.0
2002-10-03,19.0,19.0,17.0,17.0,7.98,0.0,0.0,0.0
2002-10-08,19.0,19.0,18.0,18.0,8.44,0.0,0.0,0.0
2002-10-18,21.0,21.0,17.0,17.0,7.98,0.0,0.0,0.0
2002-10-23,20.0,23.0,20.0,20.0,9.38,185000.0,0.0,0.0
2002-10-28,20.0,20.0,20.0,20.0,9.38,27500.0,0.0,0.0
2002-11-07,20.0,20.0,20.0,20.0,9.38,2500.0,0.0,0.0
2002-11-12,22.0,22.0,18.0,18.0,8.44,0.0,0.0,0.0
2002-11-22,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2002-11-27,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2002-12-02,20.0,20.0,20.0,20.0,9.38,62500.0,0.0,0.0
2002-12-12,19.0,20.0,19.0,20.0,9.38,5000.0,0.0,0.0
2002-12-17,20.0,20.0,19.0,19.0,8.91,0.0,0.0,0.0
2002-12-27,20.0,20.0,10.0,10.0,4.69,0.0,0.0,0.0
2003-01-06,19.0,19.0,19.0,19.0,8.91,37500.0,0.0,0.0
2003-01-16,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2003-01-21,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2003-01-31,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2003-02-05,20.0,20.0,18.0,18.0,8.44,0.0,0.0,0.0
2003-02-10,19.0,20.0,19.0,19.0,8.91,137500.0,0.0,0.0
2003-02-20,19.0,19.0,19.0,19.0,8.91,5000.0,0.0,0.0
2003-02-25,19.0,19.0,18.0,19.0,8.91,75000.0,0.0,0.0
2003-03-07,20.0,20.0,20.0,20.0,9.38,125000.0,0.0,0.0
2003-03-12,22.0,22.0,19.0,19.0,8.91,0.0,0.0,0.0
2003-03-17,20.0,20.0,20.0,20.0,9.38,450000.0,0.0,0.0
2003-03-27,20.0,20.0,19.0,19.0,8.91,0.0,0.0,0.0
2003-04-01,21.0,21.0,19.0,19.0,8.91,0.0,0.0,0.0
2003-04-11,20.0,20.0,20.0,20.0,9.38,62500.0,0.0,0.0
2003-04-16,20.0,20.0,20.0,20.0,9.38,130000.0,0.0,0.0
2003-04-21,22.0,22.0,20.0,20.0,9.38,0.0,0.0,0.0
2003-05-01,21.0,22.0,21.0,22.0,10.32,175000.0,0.0,0.0
2003-05-06,21.0,21.0,21.0,21.0,9.85,117500.0,0.0,0.0
2003-05-21,26.0,26.0,25.0,25.0,11.73,0.0,0.0,0.0
2003-05-26,28.0,29.0,28.0,28.0,13.14,2000000.0,0.0,0.0
2003-06-05,54.0,57.0,53.0,57.0,26.74,805000.0,0.0,0.0
2003-06-10,51.0,53.0,48.0,53.0,24.86,1430000.0,0.0,0.0
2003-06-20,45.0,45.0,44.0,44.0,20.64,0.0,0.0,0.0
2003-06-25,44.0,44.0,44.0,44.0,20.64,120000.0,0.0,0.0
2003-06-30,42.0,45.0,42.0,45.0,21.11,307500.0,0.0,0.0
2003-07-10,50.0,50.0,48.0,48.0,22.52,0.0,0.0,0.0
2003-07-15,56.0,57.0,56.0,57.0,26.74,230000.0,0.0,0.0
2003-07-25,52.0,52.0,52.0,52.0,24.39,125000.0,0.0,0.0
2003-07-30,52.0,55.0,52.0,55.0,25.8,80000.0,0.0,0.0
2003-08-04,55.0,60.0,55.0,60.0,28.15,467500.0,0.0,0.0
2003-08-14,60.0,60.0,58.0,58.0,27.21,980000.0,0.0,0.0
2003-08-19,57.0,57.0,53.0,56.0,26.27,375000.0,0.0,0.0
2003-08-29,54.0,58.0,54.0,58.0,27.21,30000.0,0.0,0.0
2003-09-03,57.0,57.0,57.0,57.0,26.74,245000.0,0.0,0.0
2003-09-08,58.0,58.0,58.0,58.0,27.21,25000.0,0.0,0.0
2003-09-18,58.0,58.0,56.0,56.0,26.27,0.0,0.0,0.0
2003-09-23,58.0,58.0,52.0,52.0,24.39,0.0,0.0,0.0
2003-10-03,57.0,57.0,57.0,57.0,26.74,125000.0,0.0,0.0
2003-10-08,56.0,59.0,56.0,59.0,27.68,5000.0,0.0,0.0
2003-10-13,60.0,60.0,60.0,60.0,28.15,2500.0,0.0,0.0
2003-10-23,66.0,66.0,65.0,66.0,30.96,597500.0,0.0,0.0
2003-10-28,63.0,63.0,63.0,63.0,29.56,25000.0,0.0,0.0
2003-11-07,68.0,68.0,60.0,60.0,28.15,0.0,0.0,0.0
2003-11-12,62.0,62.0,60.0,60.0,28.15,0.0,0.0,0.0
2003-11-17,67.0,67.0,60.0,60.0,28.15,0.0,0.0,0.0
2003-12-02,59.0,59.0,52.0,52.0,24.39,0.0,0.0,0.0
2003-12-12,62.0,62.0,60.0,62.0,29.09,5687500.0,0.0,0.0
2003-12-17,59.0,59.0,57.0,57.0,26.74,3975000.0,0.0,0.0
2003-12-22,55.0,55.0,54.0,55.0,25.8,2592500.0,0.0,0.0
2004-01-06,55.0,55.0,54.0,54.0,25.33,1075000.0,0.0,0.0
2004-01-16,54.0,55.0,54.0,54.0,25.33,437500.0,0.0,0.0
2004-01-21,54.0,54.0,54.0,54.0,25.33,50000.0,0.0,0.0
2004-01-26,54.0,54.0,51.0,51.0,23.93,1547500.0,0.0,0.0
2004-02-05,48.0,48.0,48.0,48.0,22.52,2500.0,0.0,0.0
2004-02-10,48.0,48.0,43.0,47.0,22.05,415000.0,0.0,0.0
2004-02-20,46.0,47.0,46.0,46.0,21.58,427500.0,0.0,0.0
2004-02-25,45.0,46.0,44.0,46.0,21.58,330000.0,0.0,0.0
2004-03-01,45.0,45.0,45.0,45.0,21.11,0.0,0.0,0.0
2004-03-11,46.0,46.0,36.0,36.0,16.89,0.0,0.0,0.0
2004-03-16,32.0,32.0,32.0,32.0,15.01,2500.0,0.0,0.0
2004-03-26,44.0,44.0,40.0,40.0,18.77,0.0,0.0,0.0
2004-03-31,44.0,44.0,40.0,40.0,18.77,0.0,0.0,0.0
2004-04-15,43.0,43.0,35.0,35.0,16.42,0.0,0.0,0.0
2004-04-20,44.0,44.0,37.0,37.0,17.36,0.0,0.0,0.0
2004-04-30,44.0,44.0,35.0,35.0,16.42,0.0,0.0,0.0
2004-05-05,42.0,42.0,33.0,33.0,15.48,0.0,0.0,0.0
2004-05-10,42.0,42.0,36.0,36.0,16.89,0.0,0.0,0.0
2004-05-25,41.0,41.0,30.0,30.0,14.07,0.0,0.0,0.0
2004-06-04,44.0,44.0,44.0,44.0,20.64,0.0,0.0,0.0
2004-06-09,43.0,43.0,30.0,30.0,14.07,0.0,0.0,0.0
