Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,0.0053,0.0053,0.0053,0.0053,0.0053,0,0,0
2003-12-11,0.0053,0.0053,0.0053,0.0053,0.0053,0,0,0
2003-12-16,0.0053,0.0053,0.0053,0.0053,0.0053,0,0,0
2003-12-26,0.0052,0.0053,0.0052,0.0052,0.0052,0,0,0
2003-12-31,0.0053,0.0053,0.0052,0.0052,0.0052,0,0,0
2004-01-05,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2004-01-15,0.0051,0.0052,0.0051,0.0052,0.0052,0,0,0
2004-01-20,0.0052,0.0052,0.0051,0.0051,0.0051,0,0,0
2004-01-30,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2004-02-04,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2004-02-09,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-02-19,0.005,0.005,0.0049,0.0049,0.0049,0,0,0
2004-02-24,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2004-03-05,0.0049,0.0049,0.0048,0.0048,0.0048,0,0,0
2004-03-10,0.0049,0.005,0.0048,0.005,0.005,0,0,0
2004-03-15,0.005,0.0051,0.005,0.005,0.005,0,0,0
2004-03-25,0.0051,0.0052,0.0051,0.0052,0.0052,0,0,0
2004-03-30,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2004-04-09,0.0051,0.0052,0.0051,0.0051,0.0051,0,0,0
2004-04-14,0.0052,0.0052,0.0051,0.0051,0.0051,0,0,0
2004-04-19,0.0052,0.0052,0.0051,0.0051,0.0051,0,0,0
2004-04-29,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-05-04,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-05-14,0.005,0.005,0.0049,0.005,0.005,0,0,0
2004-05-19,0.005,0.005,0.0049,0.005,0.005,0,0,0
2004-05-24,0.005,0.005,0.0049,0.0049,0.0049,0,0,0
2004-06-03,0.005,0.005,0.0049,0.0049,0.0049,0,0,0
2004-06-08,0.0049,0.005,0.0049,0.005,0.005,0,0,0
2004-06-18,0.005,0.005,0.005,0.005,0.005,0,0,0
2004-06-23,0.005,0.0051,0.005,0.0051,0.0051,0,0,0
2004-06-28,0.0051,0.0051,0.005,0.0051,0.0051,0,0,0
2004-07-08,0.005,0.005,0.0049,0.005,0.005,0,0,0
2004-07-13,0.005,0.005,0.0049,0.005,0.005,0,0,0
2004-07-23,0.0049,0.005,0.0049,0.0049,0.0049,0,0,0
2004-07-28,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2004-08-02,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2004-08-12,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2004-08-17,0.0049,0.005,0.0049,0.005,0.005,0,0,0
2004-08-27,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-09-01,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-09-06,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-09-16,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-09-21,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-10-01,0.005,0.0051,0.005,0.005,0.005,0,0,0
2004-10-06,0.005,0.0051,0.005,0.005,0.005,0,0,0
2004-10-11,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-10-21,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-10-26,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-11-05,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-11-10,0.0051,0.0051,0.005,0.0051,0.0051,0,0,0
2004-11-15,0.0051,0.0052,0.0051,0.0051,0.0051,0,0,0
2004-11-25,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2004-11-30,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2004-12-10,0.005,0.005,0.0049,0.005,0.005,0,0,0
2004-12-15,0.0049,0.005,0.0049,0.0049,0.0049,0,0,0
2004-12-20,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2004-12-30,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-01-04,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-01-14,0.0052,0.0053,0.0052,0.0052,0.0052,0,0,0
2005-01-19,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2005-01-24,0.0052,0.0052,0.0052,0.0052,0.0052,0,0,0
2005-02-03,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-02-08,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-02-18,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-02-23,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-02-28,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-03-10,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-03-15,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-03-25,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-03-30,0.005,0.005,0.0049,0.0049,0.0049,0,0,0
2005-04-04,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2005-04-14,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2005-04-19,0.0049,0.0049,0.0049,0.0049,0.0049,0,0,0
2005-04-29,0.0049,0.005,0.0049,0.005,0.005,0,0,0
2005-05-04,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-05-09,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-05-19,0.0051,0.0051,0.005,0.0051,0.0051,0,0,0
2005-05-24,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-06-03,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-06-08,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-06-13,0.0051,0.0051,0.005,0.005,0.005,0,0,0
2005-06-23,0.005,0.0051,0.005,0.0051,0.0051,0,0,0
2005-06-28,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-07-08,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-07-13,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-07-18,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-07-28,0.0051,0.0051,0.0051,0.0051,0.0051,0,0,0
2005-08-02,0.005,0.0051,0.005,0.0051,0.0051,0,0,0
2005-08-12,0.005,0.005,0.005,0.005,0.005,0,0,0
2005-08-17,0.005,0.0051,0.005,0.005,0.005,0,0,0
2005-08-22,0.005,0.0051,0.005,0.0051,0.0051,0,0,0
2005-09-01,0.005,0.005,0.005,0.005,0.005,0,0,0
