Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2002-05-20,1.16,1.24,1.15,1.21,1.21,115894800.0,0,0.0
2002-05-27,1.21,1.23,1.07,1.08,1.08,31985800.0,0,0.0
2002-06-03,1.08,1.23,1.08,1.12,1.12,11463200.0,0,0.0
2002-06-10,1.13,1.19,0.98,0.99,0.99,10638600.0,0,0.0
2002-06-17,1.01,1.06,0.84,0.98,0.98,29603000.0,0,0.0
2002-06-24,0.98,1.02,0.92,1.0,1.0,22485400.0,0,0.0
2002-07-01,1.0,1.3,0.99,1.28,1.28,20566000.0,0,0.0
2002-07-08,1.25,1.28,1.11,1.21,1.21,11810400.0,0,0.0
2002-07-15,1.24,1.25,1.08,1.16,1.16,12133800.0,0,0.0
2002-07-22,1.14,1.21,0.85,0.87,0.87,18729200.0,0,0.0
2002-07-29,0.9,0.96,0.71,0.78,0.78,21555800.0,0,0.0
2002-08-05,0.78,0.82,0.74,0.79,0.79,13567400.0,0,0.0
2002-08-12,0.8,0.92,0.75,0.91,0.91,12947200.0,0,0.0
2002-08-19,0.93,1.0,0.92,0.99,0.99,12763800.0,0,0.0
2002-08-26,1.0,1.0,0.82,0.94,0.94,14420000.0,0,0.0
2002-09-02,0.94,0.96,0.91,0.91,0.91,3015600.0,0,0.0
2002-09-09,0.92,0.98,0.86,0.88,0.88,12223400.0,0,0.0
2002-09-16,0.89,0.89,0.7,0.71,0.71,16360400.0,0,0.0
2002-09-23,0.71,0.78,0.69,0.72,0.72,19313000.0,0,0.0
2002-09-30,0.71,0.72,0.45,0.47,0.47,36199800.0,0,0.0
2002-10-07,0.45,0.53,0.35,0.47,0.47,53097800.0,0,0.0
2002-10-14,0.46,0.74,0.44,0.68,0.68,47584600.0,0,0.0
2002-10-21,0.64,0.69,0.55,0.64,0.64,26367600.0,0,0.0
2002-10-28,0.66,0.71,0.61,0.64,0.64,12861800.0,0,0.0
2002-11-04,0.64,0.7,0.55,0.61,0.61,19175800.0,0,0.0
2002-11-11,0.61,0.65,0.56,0.65,0.65,8769600.0,0,0.0
2002-11-18,0.65,0.8,0.62,0.79,0.79,63351400.0,0,0.0
2002-11-25,0.79,0.8,0.74,0.77,0.77,8544200.0,0,0.0
2002-12-02,0.74,0.86,0.7,0.78,0.78,22157800.0,0,0.0
2002-12-09,0.8,0.93,0.76,0.89,0.89,16130800.0,0,0.0
2002-12-16,0.9,0.93,0.73,0.76,0.76,25323200.0,0,0.0
2002-12-23,0.74,0.76,0.68,0.69,0.69,14921200.0,0,0.0
2002-12-30,0.7,0.9,0.69,0.77,0.77,28212800.0,0,0.0
2003-01-06,0.79,0.91,0.76,0.89,0.89,21054600.0,0,0.0
2003-01-13,0.86,0.96,0.79,0.82,0.82,40406800.0,0,0.0
2003-01-20,0.83,0.91,0.79,0.88,0.88,23828000.0,0,0.0
2003-01-27,0.86,0.95,0.84,0.94,0.94,19062400.0,0,0.0
2003-02-03,0.94,0.94,0.82,0.87,0.87,17112200.0,0,0.0
2003-02-10,0.87,1.02,0.87,1.02,1.02,32239200.0,0,0.0
2003-02-17,1.02,1.12,1.0,1.06,1.06,23980600.0,0,0.0
2003-02-24,1.02,1.23,0.96,1.22,1.22,55846000.0,0,0.0
2003-03-03,1.21,1.22,1.11,1.15,1.15,33170200.0,0,0.0
2003-03-10,1.14,1.21,1.06,1.18,1.18,28396200.0,0,0.0
2003-03-17,1.18,1.41,1.12,1.33,1.33,76524000.0,0,0.0
2003-03-24,1.3,1.6,1.27,1.5,1.5,96955600.0,0,0.0
2003-03-31,1.44,1.51,1.33,1.4,1.4,61982200.0,0,0.0
2003-04-07,1.44,1.55,1.36,1.48,1.48,32655000.0,0,0.0
2003-04-14,1.45,1.57,1.41,1.57,1.57,29661800.0,0,0.0
2003-04-21,1.69,1.76,1.43,1.51,1.51,166619600.0,0,0.0
2003-04-28,1.5,1.66,1.5,1.62,1.62,81246200.0,0,0.0
2003-05-05,1.6,1.74,1.59,1.62,1.62,58860200.0,0,0.0
2003-05-12,1.63,1.85,1.62,1.7,1.7,72763600.0,0,0.0
2003-05-19,1.66,1.67,1.47,1.58,1.58,82583200.0,0,0.0
2003-05-26,1.58,1.67,1.55,1.61,1.61,41764800.0,0,0.0
2003-06-02,1.61,1.88,1.61,1.69,1.69,70795200.0,0,0.0
2003-06-09,1.69,1.69,1.29,1.37,1.37,177619400.0,0,0.0
2003-06-16,1.39,1.61,1.39,1.55,1.55,89212200.0,0,0.0
2003-06-23,1.54,1.85,1.52,1.78,1.78,111728400.0,0,0.0
2003-06-30,1.79,1.99,1.73,1.98,1.98,85642200.0,0,0.0
2003-07-07,1.96,2.04,1.86,1.89,1.89,56540400.0,0,0.0
2003-07-14,1.9,2.04,1.61,1.73,1.73,96362000.0,0,0.0
2003-07-21,1.73,1.95,1.64,1.93,1.93,60723600.0,0,0.0
2003-07-28,1.9,1.96,1.77,1.78,1.78,33013400.0,0,0.0
2003-08-04,1.78,1.82,1.61,1.68,1.68,26105800.0,0,0.0
2003-08-11,1.67,1.82,1.67,1.78,1.78,30238600.0,0,0.0
2003-08-18,1.79,2.12,1.74,2.06,2.06,72326800.0,0,0.0
2003-08-25,2.04,2.41,1.95,2.38,2.38,78243200.0,0,0.0
2003-09-01,2.37,2.53,2.31,2.47,2.47,80021200.0,0,0.0
2003-09-08,2.44,2.61,2.29,2.47,2.47,72144800.0,0,0.0
2003-09-15,2.48,2.69,2.46,2.64,2.64,72585800.0,0,0.0
2003-09-22,2.6,2.87,2.38,2.39,2.39,73470600.0,0,0.0
2003-09-29,2.32,2.97,2.17,2.87,2.87,184256800.0,0,0.0
2003-10-06,2.86,3.23,2.81,3.19,3.19,91324800.0,0,0.0
2003-10-13,3.17,3.83,3.16,3.72,3.72,225972600.0,0,0.0
2003-10-20,3.63,4.02,3.58,3.71,3.71,163311400.0,0,0.0
2003-10-27,3.69,4.36,3.68,4.09,4.09,107667000.0,0,0.0
2003-11-03,4.1,4.32,3.3,3.35,3.35,260274000.0,0,0.0
2003-11-10,3.35,3.63,3.28,3.34,3.34,151914000.0,0,0.0
2003-11-17,3.31,3.42,3.16,3.26,3.26,145583200.0,0,0.0
2003-11-24,3.24,3.53,3.24,3.5,3.5,50062600.0,0,0.0
2003-12-01,3.53,3.73,3.33,3.39,3.39,93739800.0,0,0.0
2003-12-08,3.38,3.46,3.17,3.34,3.34,90287400.0,0,0.0
2003-12-15,3.46,3.7,3.08,3.65,3.65,160470800.0,0,0.0
2003-12-22,3.63,4.21,3.61,4.16,4.16,87381000.0,0,0.0
2003-12-29,4.18,4.23,3.84,3.92,3.92,98875000.0,0,0.0
2004-01-05,3.89,4.58,3.88,4.43,4.43,216480600.0,0,0.0
2004-01-12,4.45,4.72,4.37,4.68,4.68,122980200.0,0,0.0
2004-01-19,4.7,5.66,4.66,5.54,5.54,302667400.0,0,0.0
2004-01-26,5.46,5.68,4.91,5.24,5.24,239968400.0,0,0.0
2004-02-02,5.3,5.49,4.95,5.47,5.47,157943800.0,0,0.0
2004-02-09,5.52,5.64,5.0,5.08,5.08,221113900.0,0,0.0
2004-02-12,,,,,,,0,2.0
2004-02-16,5.16,5.17,4.65,5.05,5.05,93131500.0,0,0.0
2004-02-23,4.84,5.12,4.32,4.91,4.91,255229100.0,0,0.0
2004-03-01,4.91,5.07,4.62,4.75,4.75,97479200.0,0,0.0
