Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2002-05-01,1.16,1.3,0.84,0.95,0.95,295681400.0,0,0.0
2002-08-01,0.95,1.0,0.35,0.64,0.64,289780400.0,0,0.0
2002-11-01,0.63,0.96,0.55,0.94,0.94,313065200.0,0,0.0
2003-02-01,0.94,1.76,0.82,1.63,1.63,709070600.0,0,0.0
2003-05-01,1.62,2.04,1.29,1.87,1.87,1058587600.0,0,0.0
2003-08-01,1.85,4.36,1.61,4.09,4.09,1284008600.0,0,0.0
2003-11-01,4.1,5.68,3.08,5.24,5.24,2020684400.0,0,0.0
2004-02-01,5.3,5.64,3.6,3.62,3.62,1627847900.0,0,0.0
2004-02-12,,,,,,,0,2.0
2004-05-01,3.61,5.22,2.64,2.93,2.93,1122760100.0,0,0.0
2004-08-01,2.83,2.91,1.32,1.35,1.35,1592423000.0,0,0.0
2004-11-01,1.35,1.97,1.34,1.64,1.64,1052780400.0,0,0.0
2005-02-01,1.63,1.86,1.27,1.65,1.65,506132200.0,0,0.0
2005-05-01,1.65,2.97,1.62,2.65,2.65,806425900.0,0,0.0
2005-08-01,2.67,4.21,2.61,3.77,3.77,684166700.0,0,0.0
2005-11-01,3.72,4.32,3.22,3.94,3.94,719641300.0,0,0.0
2006-02-01,3.91,4.73,3.43,4.23,4.23,524022800.0,0,0.0
2006-05-01,4.27,4.6,2.66,2.96,2.96,637032200.0,0,0.0
2006-08-01,2.96,4.06,2.59,3.95,3.95,633563000.0,0,0.0
2006-11-01,3.96,4.29,3.04,3.26,3.26,647245200.0,0,0.0
2007-02-01,3.27,3.57,2.9,3.17,3.17,697459000.0,0,0.0
2007-05-01,3.16,3.71,2.23,2.46,2.46,823795000.0,0,0.0
2007-08-01,2.46,3.8,2.36,3.78,3.78,572383700.0,0,0.0
2007-11-01,3.78,4.16,2.91,3.59,3.59,718276300.0,0,0.0
2008-02-01,3.54,5.84,3.51,4.57,4.57,829670800.0,0,0.0
2008-05-01,4.52,4.91,3.72,4.41,4.41,666913800.0,0,0.0
2008-08-01,4.36,4.85,2.56,3.54,3.54,625697100.0,0,0.0
2008-11-01,3.5,5.41,2.6,5.16,5.16,573478500.0,0,0.0
2009-02-01,5.08,7.18,4.86,6.47,6.47,938175700.0,0,0.0
2009-05-01,6.46,6.81,5.18,6.28,6.28,799977500.0,0,0.0
2009-08-01,6.34,8.21,5.61,7.64,7.64,561541400.0,0,0.0
2009-11-01,7.6,9.22,6.93,8.89,8.89,667741200.0,0,0.0
2010-02-01,8.83,15.67,8.47,14.13,14.13,887688200.0,0,0.0
2010-05-01,14.28,18.28,12.86,14.65,14.65,1584429700.0,0,0.0
2010-08-01,14.86,26.39,14.1,24.8,24.8,2589626200.0,0,0.0
2010-11-01,24.85,31.14,23.37,30.58,30.58,2502378900.0,0,0.0
2011-02-01,30.66,36.43,26.98,33.24,33.24,2509313800.0,0,0.0
2011-05-01,34.03,43.54,32.19,38.0,38.0,2008390300.0,0,0.0
2011-08-01,38.36,38.5,10.61,11.73,11.73,4011256200.0,0,0.0
2011-11-01,11.44,18.5,8.91,17.17,17.17,3724819700.0,0,0.0
2012-02-01,17.34,19.06,11.39,11.45,11.45,2659588400.0,0,0.0
2012-05-01,11.47,12.38,8.02,8.12,8.12,2276317400.0,0,0.0
2012-08-01,8.2,12.14,7.54,11.32,11.32,2354454900.0,0,0.0
2012-11-01,11.12,25.32,10.64,23.61,23.61,2088172800.0,0,0.0
