Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,4911.2998,4942.7002,4909.3999,4931.8999,4931.8999,0,0,0
2003-12-11,4961.1001,4965.2998,4914.3999,4920.7998,4920.7998,0,0,0
2003-12-16,4951.2002,4979.1001,4950.3999,4969.3999,4969.3999,0,0,0
2003-12-26,4978.1001,4987.6001,4971.7002,4984.7002,4984.7002,0,0,0
2003-12-31,4965.1001,4982.8999,4939.0,4947.3999,4947.3999,0,0,0
2004-01-05,4958.6001,4958.6001,4924.1001,4929.2998,4929.2998,0,0,0
2004-01-15,4918.2002,4949.5,4918.2002,4927.0,4927.0,0,0,0
2004-01-20,4910.0,4926.0,4887.2998,4915.6001,4915.6001,0,0,0
2004-01-30,4948.6001,4993.6001,4934.8999,4990.1001,4990.1001,0,0,0
2004-02-04,4993.8999,5007.1001,4971.7002,4986.5,4986.5,0,0,0
2004-02-09,5026.7002,5031.2998,4996.6001,5006.2998,5006.2998,0,0,0
2004-02-19,5031.7998,5042.1001,4980.7998,4985.2002,4985.2002,0,0,0
2004-02-24,4978.8999,5013.0,4967.2998,5007.2002,5007.2002,0,0,0
2004-03-05,4985.0,5046.6001,4940.5,5031.7998,5031.7998,0,0,0
2004-03-10,5014.6001,5065.0,4994.2002,5005.7998,5005.7998,0,0,0
2004-03-15,5045.1001,5061.7998,5031.5,5047.2998,5047.2998,0,0,0
2004-03-25,5142.8999,5163.5,5073.2998,5156.1001,5156.1001,0,0,0
2004-03-30,5145.0,5157.2998,5097.2998,5153.6001,5153.6001,0,0,0
2004-04-09,5121.6001,5122.7002,5121.6001,5121.6001,5121.6001,0,0,0
2004-04-14,5146.1001,5151.5,5101.7998,5130.8999,5130.8999,0,0,0
2004-04-19,5129.3999,5136.7998,5108.1001,5115.1001,5115.1001,0,0,0
2004-04-29,5109.7002,5119.6001,5076.8999,5105.1001,5105.1001,0,0,0
2004-05-04,5104.3999,5143.6001,5074.6001,5136.2002,5136.2002,0,0,0
2004-05-14,5212.6001,5245.3999,5196.5,5231.0,5231.0,0,0,0
2004-05-19,5241.7998,5281.6001,5230.7998,5271.2002,5271.2002,0,0,0
2004-05-24,5287.7002,5317.8999,5278.7998,5312.2002,5312.2002,0,0,0
2004-06-03,5533.1001,5547.5,5495.3999,5517.5,5517.5,0,0,0
2004-06-08,5456.2002,5456.2002,5403.3999,5408.5,5408.5,0,0,0
2004-06-18,5476.5,5490.8999,5448.2998,5472.7002,5472.7002,0,0,0
2004-06-23,5450.7002,5492.0,5450.7002,5481.2002,5481.2002,0,0,0
2004-06-28,5522.2998,5539.5,5494.7002,5505.7998,5505.7998,0,0,0
2004-07-08,5268.7002,5276.7998,5252.2002,5261.8999,5261.8999,0,0,0
