Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,0.5804,0.5812,0.5799,0.5808,0.5808,0,0,0
2003-12-11,0.5835,0.5843,0.5826,0.5834,0.5834,0,0,0
2003-12-16,0.5853,0.5869,0.5853,0.5861,0.5861,0,0,0
2003-12-26,0.5867,0.5867,0.5867,0.5867,0.5867,0,0,0
2003-12-31,0.5873,0.5873,0.5873,0.5886,0.5886,0,0,0
2004-01-05,0.5886,0.5893,0.5881,0.5891,0.5891,0,0,0
2004-01-15,0.5896,0.5904,0.5893,0.5896,0.5896,0,0,0
2004-01-20,0.5835,0.5863,0.5835,0.5858,0.5858,0,0,0
2004-01-30,0.5872,0.5907,0.5872,0.5907,0.5907,0,0,0
2004-02-04,0.5906,0.5907,0.59,0.5905,0.5905,0,0,0
2004-02-09,0.5933,0.5944,0.5928,0.594,0.594,0,0,0
2004-02-19,0.5955,0.5959,0.5935,0.5942,0.5942,0,0,0
2004-02-24,0.5897,0.5924,0.5886,0.5924,0.5924,0,0,0
2004-03-05,0.5827,0.5871,0.5819,0.5845,0.5845,0,0,0
2004-03-10,0.5875,0.5878,0.5836,0.5839,0.5839,0,0,0
2004-03-15,0.5838,0.5861,0.5838,0.5857,0.5857,0,0,0
2004-03-25,0.5908,0.5921,0.5901,0.5922,0.5922,0,0,0
2004-03-30,0.5925,0.5947,0.5925,0.5942,0.5942,0,0,0
2004-04-09,0.5963,0.5963,0.5963,0.5963,0.5963,0,0,0
2004-04-14,0.5969,0.5977,0.5933,0.5962,0.5962,0,0,0
2004-04-19,0.5962,0.5972,0.5945,0.5949,0.5949,0,0,0
2004-04-29,0.5883,0.5888,0.5857,0.5878,0.5878,0,0,0
2004-05-04,0.5875,0.5907,0.5875,0.5907,0.5907,0,0,0
2004-05-14,0.5781,0.5805,0.578,0.5794,0.5794,0,0,0
2004-05-19,0.5815,0.5839,0.5814,0.5826,0.5826,0,0,0
2004-05-24,0.583,0.5838,0.5822,0.5833,0.5833,0,0,0
2004-06-03,0.587,0.587,0.5838,0.5849,0.5849,0,0,0
2004-06-08,0.587,0.5876,0.5856,0.5857,0.5857,0,0,0
2004-06-18,0.5824,0.5831,0.5812,0.583,0.583,0,0,0
2004-06-23,0.582,0.583,0.5812,0.5814,0.5814,0,0,0
2004-06-28,0.5855,0.5864,0.5848,0.5848,0.5848,0,0,0
2004-07-08,0.5864,0.5864,0.5864,0.5864,0.5864,0,0,0
2004-07-13,0.5888,0.589,0.5888,0.5889,0.5889,0,0,0
2004-07-23,0.5826,0.5826,0.5826,0.5817,0.5817,0,0,0
2004-07-28,0.5795,0.5801,0.5789,0.5789,0.5789,0,0,0
2004-08-02,0.5818,0.5819,0.5818,0.5827,0.5827,0,0,0
2004-08-12,0.5838,0.5845,0.5828,0.5833,0.5833,0,0,0
2004-08-17,0.5837,0.5842,0.5828,0.5839,0.5839,0,0,0
2004-08-27,0.5839,0.5852,0.5839,0.584,0.584,0,0,0
2004-09-01,0.585,0.5864,0.5847,0.586,0.586,0,0,0
2004-09-06,0.587,0.5871,0.5862,0.5867,0.5867,0,0,0
2004-09-16,0.592,0.5925,0.5917,0.5925,0.5925,0,0,0
2004-09-21,0.5912,0.5923,0.5905,0.5922,0.5922,0,0,0
2004-10-01,0.5931,0.5955,0.5931,0.5949,0.5949,0,0,0
2004-10-06,0.5923,0.5925,0.5911,0.5915,0.5915,0,0,0
2004-10-11,0.5939,0.5953,0.5937,0.5949,0.5949,0,0,0
2004-10-21,0.5981,0.5984,0.5974,0.5979,0.5979,0,0,0
