Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-01-25,43.97,43.97,43.75,43.94,26.18,1003200.0,0.0,0
1993-02-01,43.97,45.09,43.97,44.97,26.8,2234800.0,0.0,0
1993-02-08,44.97,45.12,44.53,44.59,26.58,1159800.0,0.0,0
1993-02-15,44.47,44.47,42.81,43.56,25.96,998700.0,0.0,0
1993-02-22,43.69,44.44,43.47,44.41,26.46,1024300.0,0.0,0
1993-03-01,44.56,45.19,44.22,44.75,26.67,658500.0,0.0,0
1993-03-08,44.84,45.84,44.81,45.09,26.87,1129000.0,0.0,0
1993-03-15,45.06,45.5,44.97,45.03,26.84,489600.0,0.0,0
1993-03-19,,,,,,,0.213,0
1993-03-22,44.59,45.25,44.56,44.91,26.89,487400.0,0.0,0
1993-03-29,44.94,45.47,44.09,44.09,26.4,443600.0,0.0,0
1993-04-05,44.44,44.53,44.06,44.28,26.51,510700.0,0.0,0
1993-04-12,44.72,45.16,44.66,44.94,26.91,810700.0,0.0,0
1993-04-19,44.94,45.06,43.69,43.75,26.2,708100.0,0.0,0
1993-04-26,43.78,44.28,43.28,44.03,26.36,478800.0,0.0,0
1993-05-03,44.09,44.75,43.91,44.34,26.55,461300.0,0.0,0
1993-05-10,44.41,44.69,43.97,44.0,26.35,380100.0,0.0,0
1993-05-17,44.12,45.25,43.84,44.75,26.79,509000.0,0.0,0
1993-05-24,44.84,45.66,44.84,45.22,27.07,457600.0,0.0,0
1993-05-31,45.38,45.81,45.09,45.28,27.11,102200.0,0.0,0
1993-06-07,45.38,45.38,44.72,45.09,27.0,934500.0,0.0,0
1993-06-14,45.16,45.19,44.5,44.5,26.64,633400.0,0.0,0
1993-06-18,,,,,,,0.318,0
1993-06-21,44.62,44.91,44.22,44.78,27.0,682900.0,0.0,0
1993-06-28,45.0,45.28,44.53,44.69,26.95,1976100.0,0.0,0
1993-07-05,44.62,44.97,44.16,44.97,27.12,1216500.0,0.0,0
1993-07-12,44.91,45.19,44.66,44.75,26.98,2040800.0,0.0,0
1993-07-19,44.75,44.84,44.47,44.72,26.97,1318000.0,0.0,0
1993-07-26,44.84,45.22,44.78,44.84,27.04,651200.0,0.0,0
1993-08-02,44.91,45.19,44.84,44.97,27.12,996000.0,0.0,0
1993-08-09,45.09,45.34,44.91,45.12,27.21,2382500.0,0.0,0
1993-08-16,45.16,45.88,45.16,45.81,27.62,1134600.0,0.0,0
1993-08-23,45.62,46.53,45.62,46.25,27.89,677000.0,0.0,0
1993-08-30,46.28,46.59,46.25,46.38,27.96,1489400.0,0.0,0
1993-09-06,46.38,46.44,45.59,46.41,27.98,812000.0,0.0,0
1993-09-13,46.56,46.56,45.75,45.81,27.62,607600.0,0.0,0
1993-09-17,,,,,,,0.286,0
1993-09-20,45.88,45.97,44.81,45.78,27.78,957700.0,0.0,0
1993-09-27,46.12,46.31,45.81,46.16,28.01,775900.0,0.0,0
1993-10-04,46.22,46.38,45.72,46.06,27.95,1798000.0,0.0,0
1993-10-11,46.16,47.16,46.16,47.06,28.56,2243000.0,0.0,0
1993-10-18,47.03,47.03,46.38,46.38,28.14,2279800.0,0.0,0
1993-10-25,46.41,46.97,46.28,46.84,28.42,629400.0,0.0,0
1993-11-01,46.78,47.0,45.53,46.06,27.95,1271200.0,0.0,0
1993-11-08,46.09,46.75,45.97,46.59,28.27,858100.0,0.0,0
1993-11-15,46.69,46.81,46.22,46.31,28.1,1122300.0,0.0,0
1993-11-22,46.19,46.59,45.88,46.5,28.21,1352000.0,0.0,0
1993-11-29,46.62,46.72,46.25,46.72,28.35,1784700.0,0.0,0
1993-12-06,46.78,46.94,46.5,46.59,28.27,1164400.0,0.0,0
1993-12-13,46.59,46.91,46.38,46.56,28.25,580600.0,0.0,0
1993-12-17,,,,,,,0.317,0
1993-12-20,46.53,46.84,46.41,46.75,28.56,1218600.0,0.0,0
1993-12-27,46.75,47.16,46.56,46.59,28.46,2127200.0,0.0,0
1994-01-03,46.59,47.06,46.41,47.03,28.73,2812600.0,0.0,0
1994-01-10,47.09,47.59,46.97,47.41,28.96,1428800.0,0.0,0
1994-01-17,47.41,47.53,47.25,47.38,28.94,751600.0,0.0,0
1994-01-24,47.34,48.03,47.09,47.88,29.25,1530300.0,0.0,0
1994-01-31,48.06,48.31,46.97,46.97,28.69,2794300.0,0.0,0
1994-02-07,46.84,47.44,46.81,47.16,28.81,2252500.0,0.0,0
1994-02-14,47.06,47.69,46.75,46.88,28.64,4060100.0,0.0,0
1994-02-21,47.0,47.44,46.56,46.81,28.6,1848300.0,0.0,0
1994-02-28,46.94,47.06,45.91,46.69,28.52,2157100.0,0.0,0
1994-03-07,46.84,47.0,46.41,46.84,28.62,4704200.0,0.0,0
1994-03-14,47.03,47.31,46.72,46.97,28.69,2048500.0,0.0,0
1994-03-18,,,,,,,0.271,0
1994-03-21,46.81,47.06,45.94,45.94,28.23,2760400.0,0.0,0
1994-03-28,46.0,46.06,43.53,44.59,27.4,3368300.0,0.0,0
1994-04-04,43.34,45.12,43.34,44.69,27.46,5231300.0,0.0,0
1994-04-11,44.81,45.06,44.25,44.59,27.4,2783800.0,0.0,0
1994-04-18,44.64,45.05,43.98,44.86,27.56,1851400.0,0.0,0
1994-04-25,44.84,45.36,44.81,45.09,27.71,1562500.0,0.0,0
1994-05-02,45.09,45.72,44.59,44.75,27.5,1736400.0,0.0,0
1994-05-09,44.62,44.84,44.17,44.52,27.35,1919800.0,0.0,0
1994-05-16,44.61,45.86,44.5,45.56,28.0,2646800.0,0.0,0
1994-05-23,45.52,45.94,45.34,45.88,28.19,2082100.0,0.0,0
1994-05-30,45.73,46.39,45.56,46.23,28.41,966000.0,0.0,0
1994-06-06,46.33,46.47,45.78,46.11,28.33,515400.0,0.0,0
1994-06-13,46.05,46.56,45.81,45.88,28.19,861300.0,0.0,0
1994-06-17,,,,,,,0.305,0
1994-06-20,45.55,45.62,44.0,44.06,27.25,1832800.0,0.0,0
1994-06-27,44.23,45.02,44.02,44.56,27.56,6744100.0,0.0,0
1994-07-04,44.66,44.98,44.47,44.91,27.77,501900.0,0.0,0
1994-07-11,44.94,45.48,44.52,45.39,28.07,1457300.0,0.0,0
1994-07-18,45.39,45.58,45.06,45.34,28.04,1105000.0,0.0,0
1994-07-25,45.36,46.05,45.17,45.91,28.39,1981000.0,0.0,0
1994-08-01,45.94,46.38,45.66,45.78,28.32,1506000.0,0.0,0
1994-08-08,45.83,46.34,45.72,46.33,28.65,2335100.0,0.0,0
1994-08-15,46.38,46.73,46.16,46.42,28.71,2272300.0,0.0,0
1994-08-22,46.44,47.78,46.28,47.69,29.49,1089900.0,0.0,0
1994-08-29,47.81,47.98,47.22,47.3,29.25,1136700.0,0.0,0
1994-09-05,47.27,47.56,46.81,47.0,29.07,1030900.0,0.0,0
1994-09-12,47.0,47.64,46.78,47.02,29.08,2293200.0,0.0,0
1994-09-16,,,,,,,0.288,0
1994-09-19,47.12,47.33,45.73,45.91,28.57,1363400.0,0.0,0
1994-09-19,,,,,,,0.0,0
1994-09-26,46.08,46.53,45.98,46.17,28.73,1227600.0,0.0,0
1994-10-03,46.2,46.3,45.0,45.45,28.28,1152600.0,0.0,0
1994-10-10,45.66,47.33,45.64,47.05,29.28,2474700.0,0.0,0
1994-10-17,47.0,47.23,46.36,46.56,28.97,929200.0,0.0,0
