Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-01-01,43.97,45.84,42.81,45.19,26.93,9440000.0,0.0,0
1993-03-19,,,,,,,0.213,0
1993-04-01,45.25,45.81,43.28,45.06,26.98,7943200.0,0.0,0
1993-06-18,,,,,,,0.318,0
1993-07-01,45.12,46.59,44.16,45.94,27.7,15927600.0,0.0,0
1993-09-17,,,,,,,0.286,0
1993-10-01,45.88,47.16,45.53,46.59,28.27,18452000.0,0.0,0
1993-12-17,,,,,,,0.317,0
1994-01-01,46.59,48.31,43.53,44.59,27.24,32517000.0,0.0,0
1994-03-18,,,,,,,0.271,0
1994-04-01,43.34,46.56,43.34,44.47,27.32,30326800.0,0.0,0
1994-06-17,,,,,,,0.305,0
1994-07-01,44.69,47.98,44.38,46.17,28.56,19707200.0,0.0,0
1994-09-16,,,,,,,0.288,0
1994-09-19,,,,,,,0.0,0
1994-10-01,46.2,47.7,44.61,45.56,28.35,18813400.0,0.0,0
1994-12-16,,,,,,,0.363,0
1995-01-01,45.7,50.89,45.69,50.11,31.43,13260800.0,0.0,0
1995-03-17,,,,,,,0.268,0
1995-04-01,50.09,55.16,50.06,54.41,34.31,17172300.0,0.0,0
1995-06-16,,,,,,,0.316,0
1995-07-01,54.47,58.91,54.2,58.48,37.1,21039900.0,0.0,0
1995-09-15,,,,,,,0.312,0
1995-10-01,58.48,62.8,57.27,61.48,39.21,27603300.0,0.0,0
1995-12-15,,,,,,,0.382,0
1996-01-01,61.41,66.69,59.64,64.69,41.51,44534900.0,0.0,0
1996-03-15,,,,,,,0.285,0
1996-04-01,65.0,68.5,62.12,67.11,43.25,49324300.0,0.0,0
1996-06-21,,,,,,,0.351,0
1996-07-01,67.28,69.25,60.38,68.62,44.46,61620700.0,0.0,0
1996-09-20,,,,,,,0.352,0
1996-10-01,68.7,76.69,68.44,73.84,48.09,73834300.0,0.0,0
1996-12-20,,,,,,,0.367,0
1997-01-01,74.38,82.0,72.75,75.38,49.33,111166800.0,0.0,0
1997-03-21,,,,,,,0.299,0
1997-04-01,75.25,90.5,73.31,88.31,58.02,142485200.0,0.0,0
1997-06-20,,,,,,,0.35,0
1997-07-01,88.5,96.62,88.39,94.38,62.24,243048700.0,0.0,0
1997-09-19,,,,,,,0.348,0
1997-10-01,95.25,99.0,84.38,97.06,64.25,309760200.0,0.0,0
1997-12-19,,,,,,,0.38,0
1998-01-01,97.31,111.53,90.91,109.94,73.06,261632900.0,0.0,0
1998-03-20,,,,,,,0.313,0
1998-04-01,110.31,114.69,107.5,113.31,75.52,376887800.0,0.0,0
1998-06-19,,,,,,,0.352,0
1998-07-01,114.06,119.23,93.62,101.75,68.03,693193500.0,0.0,0
1998-09-18,,,,,,,0.359,0
1998-10-01,100.03,124.75,92.22,123.31,82.74,541548400.0,0.0,0
1998-12-18,,,,,,,0.392,0
1999-01-01,123.38,132.62,120.38,128.38,86.42,454235000.0,0.0,0
1999-03-19,,,,,,,0.32,0
1999-04-01,129.69,138.0,128.0,137.0,92.45,500014800.0,0.0,0
1999-06-18,,,,,,,0.405,0
1999-07-01,137.0,142.25,125.56,128.75,87.14,426567700.0,0.0,0
1999-09-17,,,,,,,0.372,0
1999-10-01,127.94,147.56,123.44,146.88,99.69,443400900.0,0.0,0
1999-12-17,,,,,,,0.348,0
2000-01-01,148.25,155.75,132.72,150.38,102.32,591304000.0,0.0,0
2000-03-17,,,,,,,0.371,0
2000-04-01,150.12,153.11,133.5,145.28,99.1,517416200.0,0.0,0
2000-06-16,,,,,,,0.348,0
2000-07-01,145.44,153.59,141.52,143.62,98.2,322348600.0,0.0,0
2000-09-14,,,,,,,0.0,0
2000-09-15,,,,,,,0.375,0
2000-10-01,144.28,145.75,125.53,131.19,89.93,500509000.0,0.0,0
2000-12-15,,,,,,,0.411,0
2000-12-27,,,,,,,0.0,0
2001-01-01,132.0,138.7,108.04,116.69,80.23,678090600.0,0.0,0
2001-03-16,,,,,,,0.316,0
2001-04-01,116.3,132.09,109.3,122.6,84.52,663457900.0,0.0,0
2001-06-15,,,,,,,0.346,0
2001-07-01,122.8,124.32,93.8,104.44,72.21,885648600.0,0.0,0
2001-09-21,,,,,,,0.369,0
2001-10-01,103.9,118.0,102.83,114.3,79.32,1193530900.0,0.0,0
2001-12-21,,,,,,,0.393,0
2002-01-01,115.11,117.99,107.82,114.52,79.75,1159450700.0,0.0,0
2002-03-15,,,,,,,0.331,0
2002-04-01,114.23,115.1,95.19,98.96,69.11,1391971000.0,0.0,0
2002-06-21,,,,,,,0.353,0
2002-07-01,99.18,99.8,77.68,81.79,57.32,3074268600.0,0.0,0
2002-09-20,,,,,,,0.378,0
2002-10-01,82.43,96.05,77.07,88.23,62.11,2890777400.0,0.0,0
2002-12-20,,,,,,,0.436,0
2003-01-01,88.85,93.86,79.38,84.74,59.95,2930438400.0,0.0,0
2003-03-21,,,,,,,0.354,0
2003-04-01,85.25,102.18,84.91,97.63,69.34,2745594300.0,0.0,0
2003-06-20,,,,,,,0.36,0
2003-07-01,97.25,104.7,96.34,99.95,71.25,2486475900.0,0.0,0
2003-09-19,,,,,,,0.4,0
2003-10-01,100.24,111.52,100.2,111.28,79.63,2140705500.0,0.0,0
2003-12-19,,,,,,,0.516,0
2004-01-01,111.74,116.97,108.85,113.1,81.31,2539654800.0,0.0,0
2004-03-19,,,,,,,0.395,0
2004-04-01,113.07,115.41,108.06,114.53,82.63,2671585200.0,0.0,0
2004-06-18,,,,,,,0.414,0
2004-07-01,114.25,114.4,106.59,111.76,80.93,2668403100.0,0.0,0
2004-09-17,,,,,,,0.469,0
2004-10-01,112.26,121.66,109.35,120.87,87.89,2914843200.0,0.0,0
2004-11-15,,,,,,,0.351,0
2004-12-17,,,,,,,0.568,0
2005-01-01,121.56,123.25,116.25,117.96,86.43,3540368700.0,0.0,0
2005-03-18,,,,,,,0.467,0
2005-04-01,118.63,121.94,113.55,119.18,87.67,4057288700.0,0.0,0
2005-06-17,,,,,,,0.488,0
2005-07-01,119.45,124.74,118.26,123.04,90.87,3769876200.0,0.0,0
2005-09-16,,,,,,,0.522,0
2005-10-01,122.96,128.09,116.88,124.51,92.35,4041446000.0,0.0,0
2005-12-16,,,,,,,0.672,0
2006-01-01,125.19,131.47,124.39,129.83,96.81,3729932300.0,0.0,0
2006-03-17,,,,,,,0.519,0
2006-04-01,130.07,132.8,122.34,127.28,95.28,5216904300.0,0.0,0
2006-06-16,,,,,,,0.555,0
2006-07-01,127.43,133.99,122.39,133.58,100.44,4475334700.0,0.0,0
2006-09-15,,,,,,,0.579,0
2006-10-01,133.54,143.24,132.65,141.62,106.95,4158160800.0,0.0,0
2006-12-15,,,,,,,0.793,0
2007-01-01,142.25,146.42,136.75,142.0,107.84,5743183200.0,0.0,0
2007-03-16,,,,,,,0.551,0
2007-04-01,142.16,154.4,141.48,150.43,114.69,7802353300.0,0.0,0
2007-06-15,,,,,,,0.656,0
2007-07-01,150.87,155.53,137.0,152.58,116.83,13151604000.0,0.0,0
2007-09-21,,,,,,,0.719,0
2007-10-01,152.6,157.52,140.66,146.21,112.49,12616567000.0,0.0,0
2007-12-21,,,,,,,0.775,0
2008-01-01,146.53,146.99,126.0,131.97,102.07,15719984700.0,0.0,0
2008-03-20,,,,,,,0.642,0
2008-04-01,133.61,144.3,127.04,127.98,99.48,13070579600.0,0.0,0
2008-06-20,,,,,,,0.669,0
2008-07-01,126.52,131.51,110.53,115.99,90.61,19605751200.0,0.0,0
2008-09-19,,,,,,,0.691,0
2008-10-01,115.27,116.69,74.34,90.24,70.9,27564516900.0,0.0,0
2008-12-19,,,,,,,0.719,0
2009-01-01,90.44,94.45,67.1,79.52,62.98,22961091600.0,0.0,0
2009-03-20,,,,,,,0.561,0
2009-04-01,78.53,96.11,78.33,91.95,73.35,16273597200.0,0.0,0
2009-06-19,,,,,,,0.518,0
2009-07-01,92.34,108.06,87.0,105.59,84.71,12031376100.0,0.0,0
2009-09-18,,,,,,,0.508,0
2009-10-01,103.0,113.03,101.99,111.44,89.83,10796452800.0,0.0,0
2009-12-18,,,,,,,0.59,0
2010-01-01,112.37,118.17,104.58,117.0,94.82,12058443200.0,0.0,0
2010-03-19,,,,,,,0.48,0
2010-04-01,117.8,122.12,102.88,103.22,83.99,17007028100.0,0.0,0
2010-06-18,,,,,,,0.531,0
2010-07-01,103.15,115.79,101.13,114.13,93.31,13303016100.0,0.0,0
2010-09-17,,,,,,,0.602,0
2010-10-01,114.99,126.2,113.18,125.75,103.36,10473949600.0,0.0,0
2010-12-17,,,,,,,0.653,0
2011-01-01,126.71,134.69,125.28,132.59,109.56,10467847600.0,0.0,0
2011-03-18,,,,,,,0.553,0
2011-04-01,133.41,137.18,126.19,131.97,109.52,10860759200.0,0.0,0
2011-06-17,,,,,,,0.628,0
2011-07-01,132.09,135.7,110.27,113.15,94.37,19079503000.0,0.0,0
2011-09-16,,,,,,,0.625,0
2011-10-01,112.49,129.42,107.43,125.5,105.21,14583324100.0,0.0,0
2011-12-16,,,,,,,0.77,0
2012-01-01,127.76,141.83,126.43,140.81,118.79,8835919600.0,0.0,0
2012-03-16,,,,,,,0.614,0
2012-04-01,140.64,142.21,127.14,136.1,115.32,10684686400.0,0.0,0
2012-06-15,,,,,,,0.688,0
2012-07-01,136.48,148.11,132.6,143.97,122.62,7669567700.0,0.0,0
2012-09-21,,,,,,,0.779,0
2012-10-01,144.52,147.16,134.7,142.41,121.94,8642560500.0,0.0,0
2012-12-21,,,,,,,1.022,0
2013-01-01,145.11,156.85,144.73,156.67,135.1,7499571800.0,0.0,0
