Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1993-01-29,43.97,43.97,43.75,43.94,26.18,1003200.0,0.0,0
1993-02-03,44.41,44.84,44.38,44.81,26.71,529400.0,0.0,0
1993-02-08,44.97,45.12,44.91,44.97,26.8,596100.0,0.0,0
1993-02-18,43.94,43.94,42.81,43.41,25.87,378100.0,0.0,0
1993-02-23,43.84,43.88,43.47,43.69,26.04,373700.0,0.0,0
1993-03-05,44.94,45.12,44.72,44.75,26.67,40000.0,0.0,0
1993-03-10,45.59,45.69,45.41,45.69,27.23,194400.0,0.0,0
1993-03-15,45.06,45.31,45.06,45.31,27.0,310800.0,0.0,0
1993-03-19,,,,,,,0.213,0
1993-03-25,44.91,45.25,44.84,45.16,27.04,110100.0,0.0,0
1993-03-30,45.16,45.22,45.09,45.22,27.07,56000.0,0.0,0
1993-04-14,45.03,45.06,44.91,44.94,26.91,119600.0,0.0,0
1993-04-19,44.94,45.06,44.72,44.75,26.79,157000.0,0.0,0
1993-04-29,43.88,43.97,43.62,43.97,26.33,85000.0,0.0,0
1993-05-04,44.41,44.62,44.34,44.47,26.63,149100.0,0.0,0
1993-05-14,44.03,44.16,43.97,44.0,26.35,63500.0,0.0,0
1993-05-19,44.12,45.03,43.84,45.03,26.96,50200.0,0.0,0
1993-05-24,44.84,45.09,44.84,44.94,26.91,30500.0,0.0,0
1993-06-03,45.5,45.5,45.34,45.44,27.21,21600.0,0.0,0
1993-06-08,45.0,45.0,44.72,44.72,26.78,104500.0,0.0,0
1993-06-18,44.84,44.84,44.5,44.5,26.83,58500.0,0.318,0
1993-06-23,44.62,44.62,44.22,44.22,26.66,227600.0,0.0,0
1993-06-28,45.0,45.28,44.94,45.28,27.3,439900.0,0.0,0
1993-07-08,44.38,44.94,44.31,44.84,27.04,248200.0,0.0,0
1993-07-13,44.97,45.09,44.66,44.91,27.08,389600.0,0.0,0
1993-07-23,44.59,44.72,44.56,44.72,26.97,286200.0,0.0,0
1993-07-28,44.84,44.94,44.78,44.84,27.04,30800.0,0.0,0
1993-08-02,44.91,45.12,44.91,44.97,27.12,41300.0,0.0,0
1993-08-12,45.31,45.31,44.91,45.06,27.17,303700.0,0.0,0
1993-08-17,45.34,45.53,45.34,45.53,27.46,369300.0,0.0,0
1993-08-27,46.16,46.25,46.16,46.25,27.89,25700.0,0.0,0
1993-09-01,46.41,46.59,46.41,46.5,28.04,136500.0,0.0,0
1993-09-16,46.31,46.34,46.16,46.19,27.85,54300.0,0.0,0
1993-09-17,,,,,,,0.286,0
1993-09-21,45.5,45.56,44.81,45.28,27.47,318200.0,0.0,0
1993-10-01,45.88,46.22,45.81,46.16,28.01,22700.0,0.0,0
1993-10-06,46.19,46.38,46.12,46.12,27.99,209200.0,0.0,0
1993-10-11,46.16,46.25,46.16,46.16,28.01,467100.0,0.0,0
1993-10-21,46.69,46.69,46.53,46.59,28.27,56200.0,0.0,0
1993-10-26,46.47,46.5,46.31,46.47,28.2,186200.0,0.0,0
1993-11-05,45.72,46.06,45.53,46.06,27.95,363200.0,0.0,0
1993-11-10,46.16,46.5,46.03,46.5,28.21,46500.0,0.0,0
1993-11-15,46.69,46.69,46.44,46.56,28.25,243300.0,0.0,0
1993-11-30,46.28,46.56,46.25,46.34,28.12,230000.0,0.0,0
1993-12-10,46.72,46.72,46.5,46.59,28.27,412900.0,0.0,0
1993-12-15,46.59,46.62,46.47,46.47,28.2,82600.0,0.0,0
1993-12-17,,,,,,,0.317,0
1993-12-20,46.53,46.66,46.5,46.62,28.48,68800.0,0.0,0
1993-12-30,47.0,47.0,46.75,46.84,28.62,219900.0,0.0,0
1994-01-04,46.53,46.66,46.47,46.66,28.5,164300.0,0.0,0
1994-01-14,47.38,47.5,47.38,47.41,28.96,137200.0,0.0,0
1994-01-19,47.41,47.47,47.25,47.34,28.92,200800.0,0.0,0
1994-01-24,47.34,47.56,47.19,47.19,28.83,373800.0,0.0,0
1994-02-03,48.19,48.19,47.91,48.06,29.36,466100.0,0.0,0
1994-02-08,47.28,47.28,47.03,47.22,28.85,188200.0,0.0,0
1994-02-18,47.19,47.22,46.75,46.88,28.64,313300.0,0.0,0
1994-02-23,47.41,47.44,47.06,47.22,28.85,391700.0,0.0,0
1994-02-28,46.94,47.06,46.81,46.81,28.6,333000.0,0.0,0
1994-03-10,46.94,46.94,46.44,46.59,28.46,207400.0,0.0,0
1994-03-15,47.0,47.09,46.84,46.88,28.64,748600.0,0.0,0
1994-03-18,,,,,,,0.271,0
1994-03-25,46.41,46.53,45.94,45.94,28.23,100900.0,0.0,0
1994-03-30,45.12,45.25,44.47,44.47,27.32,1123900.0,0.0,0
1994-04-04,43.34,44.03,43.34,43.91,26.98,2627300.0,0.0,0
1994-04-14,44.5,44.83,44.41,44.59,27.4,419900.0,0.0,0
1994-04-19,44.25,44.53,43.98,44.36,27.26,472200.0,0.0,0
1994-04-29,44.88,45.16,44.81,45.09,27.71,481900.0,0.0,0
1994-05-04,45.42,45.42,45.08,45.25,27.8,401900.0,0.0,0
1994-05-09,44.62,44.75,44.28,44.36,27.26,499300.0,0.0,0
1994-05-19,45.42,45.86,45.42,45.73,28.1,531000.0,0.0,0
1994-05-24,45.61,45.84,45.61,45.67,28.06,549600.0,0.0,0
1994-06-03,46.0,46.39,45.86,46.23,28.41,550400.0,0.0,0
1994-06-08,46.27,46.27,45.78,45.78,28.13,131900.0,0.0,0
1994-06-13,46.05,46.19,46.03,46.17,28.37,109700.0,0.0,0
1994-06-17,,,,,,,0.305,0
1994-06-23,45.34,45.41,44.94,45.0,27.83,922500.0,0.0,0
1994-06-28,44.84,44.84,44.25,44.61,27.59,5382300.0,0.0,0
1994-07-08,44.64,44.98,44.62,44.91,27.77,148400.0,0.0,0
1994-07-13,44.83,45.03,44.83,44.89,27.76,532700.0,0.0,0
1994-07-18,45.39,45.58,45.39,45.47,28.12,72300.0,0.0,0
1994-07-28,45.36,45.58,45.36,45.45,28.11,828200.0,0.0,0
1994-08-02,46.28,46.38,46.03,46.19,28.57,505500.0,0.0,0
1994-08-12,46.05,46.34,46.05,46.33,28.65,184100.0,0.0,0
1994-08-17,46.7,46.73,46.58,46.61,28.83,133700.0,0.0,0
1994-08-22,46.44,46.44,46.28,46.38,28.68,79700.0,0.0,0
1994-09-01,47.5,47.53,47.33,47.5,29.38,294600.0,0.0,0
1994-09-06,47.27,47.36,47.12,47.31,29.26,229800.0,0.0,0
1994-09-16,47.0,47.14,46.84,47.02,29.26,571300.0,0.288,0
1994-09-19,,,,,,,0.0,0
1994-09-21,46.31,46.31,45.73,46.17,28.73,397500.0,0.0,0
1994-09-26,46.08,46.17,45.98,46.14,28.71,223000.0,0.0,0
1994-10-06,45.42,45.45,45.17,45.25,28.16,345200.0,0.0,0
1994-10-11,46.14,46.75,46.14,46.62,29.01,461400.0,0.0,0
1994-10-21,46.62,46.69,46.36,46.56,28.97,87800.0,0.0,0
1994-10-26,46.39,46.44,46.17,46.39,28.87,201000.0,0.0,0
1994-10-31,47.55,47.59,47.47,47.48,29.55,36300.0,0.0,0
1994-11-10,46.94,47.03,46.55,46.58,28.98,172100.0,0.0,0
1994-11-15,46.8,47.09,46.33,46.69,29.05,316900.0,0.0,0
1994-11-25,45.28,45.53,45.28,45.47,28.29,77300.0,0.0,0
1994-11-30,45.89,45.95,45.59,45.59,28.37,218800.0,0.0,0
1994-12-05,45.66,45.81,45.5,45.61,28.38,139200.0,0.0,0
1994-12-15,45.81,46.03,45.81,45.89,28.56,130100.0,0.0,0
1994-12-16,,,,,,,0.363,0
1994-12-20,45.86,45.89,45.67,45.67,28.65,675600.0,0.0,0
1994-12-30,46.2,46.25,45.56,45.56,28.58,2209500.0,0.0,0
1995-01-04,45.98,46.0,45.75,46.0,28.85,351800.0,0.0,0
1995-01-09,46.03,46.09,46.0,46.09,28.91,36800.0,0.0,0
1995-01-19,46.83,46.88,46.69,46.72,29.3,139100.0,0.0,0
1995-01-24,46.67,46.75,46.64,46.75,29.32,32400.0,0.0,0
1995-02-03,47.66,48.11,47.58,48.03,30.13,405100.0,0.0,0
1995-02-08,48.23,48.47,48.2,48.3,30.29,521500.0,0.0,0
