Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-06-28,3.8,6.08,3.51,3.84,3.84,246560000.0,0,0.0
2010-07-05,4.0,4.0,3.0,3.48,3.48,127753000.0,0,0.0
2010-07-12,3.59,4.3,3.38,4.13,4.13,77194500.0,0,0.0
2010-07-19,4.27,4.45,3.9,4.26,4.26,35878500.0,0,0.0
2010-07-26,4.3,4.3,3.91,3.99,3.99,15260000.0,0,0.0
2010-08-02,4.1,4.44,3.9,3.92,3.92,21998500.0,0,0.0
2010-08-09,3.98,4.0,3.48,3.66,3.66,21083000.0,0,0.0
2010-08-16,3.69,3.92,3.65,3.82,3.82,12050500.0,0,0.0
2010-08-23,3.82,4.08,3.71,3.94,3.94,15389500.0,0,0.0
2010-08-30,3.94,4.26,3.87,4.21,4.21,11752500.0,0,0.0
2010-09-06,4.12,4.21,3.95,4.03,4.03,6473000.0,0,0.0
2010-09-13,4.18,4.63,3.96,4.05,4.05,27915500.0,0,0.0
2010-09-20,4.13,4.31,3.9,4.02,4.02,19767000.0,0,0.0
2010-09-27,4.08,4.43,4.01,4.12,4.12,31979500.0,0,0.0
2010-10-04,4.09,4.26,4.06,4.09,4.09,8489000.0,0,0.0
2010-10-11,4.09,4.21,4.01,4.11,4.11,6564500.0,0,0.0
2010-10-18,4.1,4.19,4.0,4.14,4.14,6493500.0,0,0.0
2010-10-25,4.19,4.37,4.1,4.37,4.37,8203500.0,0,0.0
2010-11-01,4.39,5.07,4.21,4.89,4.89,20179500.0,0,0.0
2010-11-08,4.9,6.1,4.81,5.97,5.97,46004000.0,0,0.0
2010-11-15,6.04,6.59,5.68,6.2,6.2,34135500.0,0,0.0
2010-11-22,6.31,7.2,6.3,7.06,7.06,24415500.0,0,0.0
2010-11-29,7.08,7.28,6.17,6.3,6.3,39172500.0,0,0.0
2010-12-06,6.27,6.58,5.91,6.3,6.3,20405500.0,0,0.0
2010-12-13,6.33,6.35,5.55,6.27,6.27,22610500.0,0,0.0
2010-12-20,6.33,6.57,5.98,6.02,6.02,18435000.0,0,0.0
2010-12-27,5.6,5.72,5.0,5.33,5.33,100682000.0,0,0.0
2011-01-03,5.37,5.72,5.18,5.65,5.65,41131000.0,0,0.0
2011-01-10,5.63,5.74,5.12,5.15,5.15,29664500.0,0,0.0
2011-01-17,5.1,5.13,4.47,4.61,4.61,37450500.0,0,0.0
2011-01-24,4.71,5.02,4.65,4.8,4.8,29703000.0,0,0.0
2011-01-31,4.81,4.95,4.63,4.69,4.69,15818000.0,0,0.0
2011-02-07,4.65,5.05,4.56,4.65,4.65,42531000.0,0,0.0
2011-02-14,4.73,5.1,4.51,4.64,4.64,56705000.0,0,0.0
2011-02-21,4.58,4.77,4.22,4.72,4.72,30359000.0,0,0.0
2011-02-28,4.75,5.0,4.7,4.99,4.99,25206000.0,0,0.0
2011-03-07,4.99,5.08,4.71,4.81,4.81,31530500.0,0,0.0
2011-03-14,4.76,4.8,4.36,4.59,4.59,26325000.0,0,0.0
2011-03-21,4.61,4.61,4.35,4.55,4.55,12238000.0,0,0.0
2011-03-28,4.54,5.74,4.51,5.33,5.33,87097000.0,0,0.0
2011-04-04,5.37,5.59,5.05,5.3,5.3,59176000.0,0,0.0
2011-04-11,5.29,5.31,4.84,5.12,5.12,29326000.0,0,0.0
2011-04-18,5.03,5.4,4.87,5.35,5.35,19029500.0,0,0.0
2011-04-25,5.34,5.57,5.19,5.52,5.52,27619000.0,0,0.0
2011-05-02,5.52,5.56,5.15,5.42,5.42,24716000.0,0,0.0
2011-05-09,5.4,5.79,5.33,5.51,5.51,23518500.0,0,0.0
2011-05-16,5.6,5.69,5.1,5.59,5.59,31085000.0,0,0.0
2011-05-23,5.52,5.95,5.23,5.91,5.91,55972000.0,0,0.0
2011-05-30,5.94,6.3,5.68,6.03,6.03,60079500.0,0,0.0
2011-06-06,6.02,6.03,5.4,5.57,5.57,42094500.0,0,0.0
2011-06-13,5.61,5.94,5.15,5.3,5.3,40940000.0,0,0.0
2011-06-20,5.26,5.65,5.1,5.51,5.51,46439500.0,0,0.0
2011-06-27,5.55,5.92,5.46,5.8,5.8,29810000.0,0,0.0
2011-07-04,5.8,6.0,5.71,5.76,5.76,22457000.0,0,0.0
2011-07-11,5.68,5.82,5.45,5.52,5.52,24776000.0,0,0.0
2011-07-18,5.47,6.09,5.33,5.86,5.86,32606500.0,0,0.0
2011-07-25,5.8,5.85,5.5,5.63,5.63,21396500.0,0,0.0
2011-08-01,5.73,5.84,4.57,4.85,4.85,47688500.0,0,0.0
2011-08-08,4.62,5.43,4.62,5.26,5.26,36758500.0,0,0.0
2011-08-15,5.32,5.35,4.4,4.46,4.46,21759500.0,0,0.0
