Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-06-29,19.0,25.0,17.54,23.89,23.89,18766300,0,0
2010-07-09,17.58,17.9,16.55,17.4,17.4,4050600,0,0
2010-07-14,17.94,20.15,17.76,19.84,19.84,4195200,0,0
2010-07-19,21.37,22.25,20.92,21.91,21.91,2486500,0,0
2010-07-29,20.77,20.88,20.0,20.35,20.35,616000,0,0
2010-08-03,21.0,21.95,20.82,21.95,21.95,1230500,0,0
2010-08-13,18.18,18.45,17.66,18.32,18.32,634000,0,0
2010-08-18,19.59,19.59,18.6,18.77,18.77,601300,0,0
2010-08-23,19.09,20.39,19.0,20.13,20.13,1088100,0,0
2010-09-02,20.37,21.24,20.31,21.06,21.06,487100,0,0
2010-09-07,20.61,21.0,20.5,20.54,20.54,243400,0,0
2010-09-17,21.02,21.32,19.8,20.23,20.23,1198500,0,0
2010-09-22,20.87,20.95,19.8,19.87,19.87,962900,0,0
2010-09-27,20.4,20.81,20.05,20.53,20.53,418600,0,0
2010-10-07,20.57,20.64,20.34,20.43,20.43,141000,0,0
2010-10-12,20.2,20.28,20.03,20.24,20.24,244000,0,0
2010-10-22,20.68,20.93,20.55,20.72,20.72,161100,0,0
2010-10-27,21.25,21.38,20.65,21.0,21.0,356500,0,0
2010-11-01,21.94,22.75,21.31,21.41,21.41,455800,0,0
2010-11-11,28.6,29.1,27.33,28.04,28.04,1945300,0,0
2010-11-16,31.0,31.4,28.42,29.67,29.67,1347600,0,0
2010-11-26,35.6,36.0,34.75,35.32,35.32,350600,0,0
2010-12-01,35.87,36.42,33.45,34.35,34.35,1299200,0,0
2010-12-06,31.35,31.45,29.56,30.31,30.31,1274400,0,0
2010-12-16,30.0,30.91,29.65,30.81,30.81,790100,0,0
2010-12-21,31.8,32.69,31.71,32.26,32.26,777700,0,0
2010-12-31,26.57,27.25,26.5,26.63,26.63,1417900,0,0
2011-01-05,26.48,26.9,26.19,26.83,26.83,1446700,0,0
2011-01-10,28.17,28.68,28.05,28.45,28.45,1342700,0,0
2011-01-20,24.03,24.45,22.37,22.62,22.62,2279900,0,0
2011-01-25,24.65,24.89,24.02,24.68,24.68,1271500,0,0
2011-02-04,23.44,23.67,23.22,23.46,23.46,544000,0,0
2011-02-09,24.13,24.18,22.79,23.21,23.21,2635600,0,0
