Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-05-31,8.277,8.277,8.277,8.277,8.277,0,0,0
2001-06-01,8.2777,8.2877,8.267,8.2777,8.2777,0,0,0
2001-06-04,8.2777,8.2777,8.2777,8.2777,8.2777,0,0,0
2001-06-05,8.2769,8.287,8.2669,8.2769,8.2769,0,0,0
2001-06-06,8.2772,8.2872,8.2669,8.2772,8.2772,0,0,0
2001-06-07,8.2767,8.2872,8.2667,8.2767,8.2767,0,0,0
2001-06-08,8.2767,8.2867,8.2667,8.2767,8.2767,0,0,0
2001-06-11,8.2767,8.2867,8.2667,8.2767,8.2767,0,0,0
2001-06-12,8.2771,8.2871,8.2667,8.2771,8.2771,0,0,0
2001-06-13,8.2779,8.2879,8.2671,8.2779,8.2779,0,0,0
2001-06-14,8.2773,8.2879,8.2673,8.2773,8.2773,0,0,0
2001-06-15,8.277,8.2873,8.267,8.277,8.277,0,0,0
2001-06-18,8.277,8.287,8.267,8.277,8.277,0,0,0
2001-06-19,8.2779,8.2879,8.267,8.2779,8.2779,0,0,0
2001-06-20,8.277,8.2879,8.267,8.277,8.277,0,0,0
2001-06-21,8.2769,8.287,8.2669,8.2769,8.2769,0,0,0
2001-06-22,8.2767,8.2869,8.2667,8.2767,8.2767,0,0,0
2001-06-25,8.2767,8.2868,8.2667,8.2768,8.2768,0,0,0
2001-06-26,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-06-27,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-06-28,8.277,8.287,8.2668,8.277,8.277,0,0,0
2001-06-29,8.2767,8.287,8.2667,8.2767,8.2767,0,0,0
2001-07-02,8.2767,8.287,8.2667,8.277,8.277,0,0,0
2001-07-03,8.2767,8.287,8.2667,8.2767,8.2767,0,0,0
2001-07-04,8.2769,8.2869,8.2667,8.2769,8.2769,0,0,0
2001-07-05,8.2767,8.2869,8.2667,8.2767,8.2767,0,0,0
2001-07-06,8.2768,8.2868,8.2667,8.2768,8.2768,0,0,0
2001-07-09,8.2768,8.2868,8.2667,8.2767,8.2767,0,0,0
2001-07-10,8.277,8.287,8.2667,8.277,8.277,0,0,0
2001-07-11,8.2769,8.287,8.2669,8.2769,8.2769,0,0,0
2001-07-12,8.2769,8.2869,8.2669,8.2769,8.2769,0,0,0
2001-07-13,8.2769,8.2869,8.2667,8.2767,8.2767,0,0,0
2001-07-16,8.2767,8.2867,8.2667,8.2767,8.2767,0,0,0
2001-07-17,8.2769,8.2869,8.2667,8.2769,8.2769,0,0,0
2001-07-18,8.277,8.287,8.2669,8.277,8.277,0,0,0
2001-07-19,8.2768,8.287,8.2668,8.2768,8.2768,0,0,0
2001-07-20,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-07-23,8.2768,8.287,8.2668,8.277,8.277,0,0,0
2001-07-24,8.2773,8.2873,8.267,8.2773,8.2773,0,0,0
2001-07-25,8.277,8.2873,8.267,8.277,8.277,0,0,0
2001-07-26,8.2771,8.2871,8.267,8.2771,8.2771,0,0,0
2001-07-27,8.277,8.2871,8.267,8.277,8.277,0,0,0
2001-07-30,8.277,8.287,8.2667,8.2767,8.2767,0,0,0
2001-07-31,8.277,8.287,8.2667,8.277,8.277,0,0,0
2001-08-01,8.277,8.287,8.2669,8.2769,8.2769,0,0,0
2001-08-02,8.2768,8.2869,8.2668,8.2768,8.2768,0,0,0
2001-08-03,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-08-06,8.2768,8.287,8.2668,8.277,8.277,0,0,0
2001-08-07,8.2772,8.2872,8.267,8.2772,8.2772,0,0,0
2001-08-08,8.2772,8.2872,8.2672,8.2772,8.2772,0,0,0
2001-08-09,8.2773,8.2873,8.2672,8.2773,8.2773,0,0,0
2001-08-10,8.277,8.287,8.2668,8.2768,8.2768,0,0,0
2001-08-13,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-08-14,8.2771,8.2871,8.2668,8.2771,8.2771,0,0,0
2001-08-15,8.2773,8.2873,8.2671,8.2771,8.2771,0,0,0
2001-08-16,8.2771,8.2871,8.2671,8.2771,8.2771,0,0,0
2001-08-17,8.277,8.2871,8.267,8.277,8.277,0,0,0
2001-08-20,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-08-21,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
