Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-05-28,8.277,8.2877,8.267,8.2777,8.2777,0,0,0
2001-06-04,8.2777,8.2872,8.2667,8.2767,8.2767,0,0,0
2001-06-11,8.2767,8.2879,8.2667,8.277,8.277,0,0,0
2001-06-18,8.277,8.2879,8.2667,8.2767,8.2767,0,0,0
2001-06-25,8.2767,8.287,8.2667,8.2767,8.2767,0,0,0
2001-07-02,8.2767,8.287,8.2667,8.2768,8.2768,0,0,0
2001-07-09,8.2768,8.287,8.2667,8.2767,8.2767,0,0,0
2001-07-16,8.2767,8.287,8.2667,8.2768,8.2768,0,0,0
2001-07-23,8.2768,8.2873,8.2668,8.277,8.277,0,0,0
2001-07-30,8.277,8.287,8.2667,8.2768,8.2768,0,0,0
2001-08-06,8.2768,8.2873,8.2668,8.2768,8.2768,0,0,0
2001-08-13,8.2768,8.2873,8.2668,8.277,8.277,0,0,0
2001-08-20,8.2768,8.2873,8.2668,8.2773,8.2773,0,0,0
2001-08-27,8.2773,8.2873,8.2667,8.2769,8.2769,0,0,0
2001-09-03,8.2769,8.287,8.2667,8.2767,8.2767,0,0,0
2001-09-10,8.2767,8.3169,8.2369,8.2766,8.2766,0,0,0
2001-09-17,8.2766,8.3167,8.2367,8.2767,8.2767,0,0,0
2001-09-24,8.277,8.2872,8.2667,8.2768,8.2768,0,0,0
2001-10-01,8.2768,8.2868,8.2668,8.2768,8.2768,0,0,0
2001-10-08,8.2768,8.2869,8.2665,8.2765,8.2765,0,0,0
2001-10-15,8.2765,8.2968,8.2568,8.2768,8.2768,0,0,0
2001-10-22,8.2768,8.3169,8.2369,8.277,8.277,0,0,0
2001-10-29,8.277,8.2968,8.2568,8.2769,8.2769,0,0,0
2001-11-05,8.2768,8.2869,8.2666,8.2766,8.2766,0,0,0
2001-11-12,8.2766,8.2965,8.2565,8.2771,8.2771,0,0,0
2001-11-19,8.2771,8.2871,8.2669,8.2769,8.2769,0,0,0
2001-11-26,8.2769,8.2874,8.2669,8.2774,8.2774,0,0,0
2001-12-03,8.2772,8.2874,8.267,8.2772,8.2772,0,0,0
2001-12-10,8.2772,8.2872,8.2667,8.2768,8.2768,0,0,0
2001-12-17,8.2768,8.2869,8.2666,8.2767,8.2767,0,0,0
2001-12-24,8.2767,8.2867,8.2666,8.2767,8.2767,0,0,0
2001-12-31,8.2767,8.2866,8.2666,8.2766,8.2766,0,0,0
2002-01-07,8.2768,8.2868,8.2666,8.2766,8.2766,0,0,0
2002-01-14,8.2768,8.2868,8.2666,8.2767,8.2767,0,0,0
2002-01-21,8.2767,8.2868,8.2665,8.2765,8.2765,0,0,0
2002-01-28,8.2766,8.2867,8.2665,8.2766,8.2766,0,0,0
2002-02-04,8.2766,8.2867,8.2665,8.2767,8.2767,0,0,0
2002-02-11,8.2768,8.2868,8.2667,8.2768,8.2768,0,0,0
2002-02-18,8.2768,8.287,8.2665,8.2765,8.2765,0,0,0
2002-02-25,8.2765,8.2867,8.2665,8.2766,8.2766,0,0,0
2002-03-04,8.2767,8.2871,8.2665,8.2771,8.2771,0,0,0
2002-03-11,8.2771,8.2875,8.2667,8.2775,8.2775,0,0,0
2002-03-18,8.2774,8.2875,8.267,8.277,8.277,0,0,0
2002-03-25,8.2769,8.2874,8.2669,8.2774,8.2774,0,0,0
2002-04-01,8.2774,8.2874,8.267,8.277,8.277,0,0,0
2002-04-08,8.2771,8.2873,8.2669,8.2772,8.2772,0,0,0
2002-04-15,8.2772,8.2875,8.2671,8.2775,8.2775,0,0,0
2002-04-22,8.2775,8.2875,8.2672,8.2773,8.2773,0,0,0
2002-04-29,8.277,8.2873,8.267,8.2773,8.2773,0,0,0
2002-05-06,8.2775,8.2876,8.2671,8.2771,8.2771,0,0,0
2002-05-13,8.2769,8.2872,8.2668,8.2769,8.2769,0,0,0
2002-05-20,8.2768,8.2872,8.2669,8.2771,8.2771,0,0,0
2002-05-27,8.277,8.2871,8.2665,8.2765,8.2765,0,0,0
2002-06-03,8.2765,8.297,8.257,8.277,8.277,0,0,0
2002-06-10,8.277,8.2969,8.255,8.2769,8.2769,0,0,0
2002-06-17,8.275,8.2875,8.265,8.2771,8.2771,0,0,0
2002-06-24,8.2771,8.2872,8.267,8.2771,8.2771,0,0,0
2002-07-01,8.2771,8.2871,8.2666,8.2766,8.2766,0,0,0
2002-07-08,8.2768,8.2869,8.2666,8.2767,8.2767,0,0,0
2002-07-15,8.2769,8.2871,8.2667,8.2769,8.2769,0,0,0
2002-07-22,8.277,8.2871,8.2668,8.2768,8.2768,0,0,0
2002-07-29,8.2767,8.2868,8.2666,8.2768,8.2768,0,0,0
2002-08-05,8.2768,8.2869,8.2666,8.2766,8.2766,0,0,0
2002-08-12,8.2766,8.2868,8.2666,8.2768,8.2768,0,0,0
2002-08-19,8.2768,8.2868,8.2666,8.2767,8.2767,0,0,0
2002-08-26,8.2767,8.2868,8.2666,8.2768,8.2768,0,0,0
2002-09-02,8.2768,8.29,8.2668,8.277,8.277,0,0,0
2002-09-09,8.277,8.287,8.2668,8.2768,8.2768,0,0,0
2002-09-16,8.2768,8.287,8.2569,8.2669,8.2669,0,0,0
2002-09-23,8.2772,8.2873,8.2669,8.2669,8.2669,0,0,0
2002-09-30,8.2774,8.2874,8.2669,8.2669,8.2669,0,0,0
2002-10-07,8.2774,8.2874,8.2669,8.2769,8.2769,0,0,0
2002-10-14,8.2768,8.287,8.2668,8.2767,8.2767,0,0,0
2002-10-21,8.2769,8.2873,8.2669,8.2772,8.2772,0,0,0
2002-10-28,8.2774,8.2874,8.2671,8.2771,8.2771,0,0,0
2002-11-04,8.2774,8.2874,8.2671,8.2772,8.2772,0,0,0
2002-11-11,8.2771,8.2871,8.2671,8.2773,8.2773,0,0,0
2002-11-18,8.2771,8.2871,8.2671,8.2773,8.2773,0,0,0
2002-11-25,8.2771,8.2871,8.2671,8.2772,8.2772,0,0,0
2002-12-02,8.2771,8.2871,8.2671,8.2772,8.2772,0,0,0
2002-12-09,8.2771,8.2871,8.2671,8.277,8.277,0,0,0
2002-12-16,8.2771,8.2971,8.2571,8.2775,8.2775,0,0,0
2002-12-23,8.2771,8.2871,8.2671,8.2772,8.2772,0,0,0
2002-12-30,8.2771,8.2871,8.2671,8.2768,8.2768,0,0,0
2003-01-06,8.2771,8.2871,8.2667,8.2766,8.2766,0,0,0
2003-01-13,8.2768,8.29,8.2668,8.277,8.277,0,0,0
2003-01-20,8.2772,8.2874,8.2668,8.2768,8.2768,0,0,0
2003-01-27,8.2768,8.29,8.2666,8.2769,8.2769,0,0,0
2003-02-03,8.28,8.3,8.26,8.2769,8.2769,0,0,0
2003-02-10,8.2773,8.29,8.2673,8.2772,8.2772,0,0,0
2003-02-17,8.2773,8.2776,8.2772,8.2775,8.2775,0,0,0
2003-02-24,8.2776,8.2778,8.2774,8.2775,8.2775,0,0,0
2003-03-03,8.2773,8.2874,8.2674,8.2773,8.2773,0,0,0
2003-03-10,8.2772,8.2874,8.267,8.2771,8.2771,0,0,0
2003-03-17,8.2772,8.2876,8.2671,8.2774,8.2774,0,0,0
2003-03-24,8.2774,8.2875,8.2671,8.2771,8.2771,0,0,0
2003-03-31,8.2775,8.2875,8.267,8.277,8.277,0,0,0
2003-04-07,8.2773,8.2876,8.2672,8.2772,8.2772,0,0,0
2003-04-14,8.2774,8.2874,8.2671,8.2771,8.2771,0,0,0
2003-04-21,8.2769,8.2872,8.2669,8.277,8.277,0,0,0
2003-04-28,8.277,8.2871,8.267,8.2771,8.2771,0,0,0
2003-05-05,8.2771,8.2871,8.2668,8.2768,8.2768,0,0,0
2003-05-12,8.277,8.287,8.2668,8.277,8.277,0,0,0
2003-05-19,8.2768,8.2871,8.2668,8.2768,8.2768,0,0,0
2003-05-26,8.2772,8.2872,8.2668,8.2768,8.2768,0,0,0
2003-06-02,8.2768,8.297,8.257,8.277,8.277,0,0,0
2003-06-09,8.2772,8.2872,8.2668,8.2768,8.2768,0,0,0
2003-06-16,8.2769,8.2872,8.2668,8.2772,8.2772,0,0,0
2003-06-23,8.2773,8.2877,8.2672,8.2774,8.2774,0,0,0
2003-06-30,8.2775,8.2877,8.2674,8.2776,8.2776,0,0,0
2003-07-07,8.2773,8.2877,8.2672,8.2772,8.2772,0,0,0
