Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-05-01,8.277,8.2879,8.2667,8.277,8.277,0,0,0
2001-08-01,8.277,8.3169,8.2367,8.2768,8.2768,0,0,0
2001-11-01,8.2769,8.2965,8.2565,8.2765,8.2765,0,0,0
2002-02-01,8.2766,8.2875,8.2665,8.2773,8.2773,0,0,0
2002-05-01,8.2773,8.297,8.255,8.2767,8.2767,0,0,0
2002-08-01,8.2767,8.29,8.2569,8.277,8.277,0,0,0
2002-11-01,8.2772,8.2971,8.2571,8.2769,8.2769,0,0,0
2003-02-01,8.28,8.3,8.26,8.2771,8.2771,0,0,0
2003-05-01,8.2771,8.297,8.257,8.2773,8.2773,0,0,0
2003-08-01,8.2772,8.3071,8.2471,8.2766,8.2766,0,0,0
2003-11-01,8.2766,8.3069,8.2469,8.2668,8.2668,0,0,0
2004-02-01,8.2668,8.2869,8.2469,8.2671,8.2671,0,0,0
2004-05-01,8.2671,8.2867,8.2367,8.2669,8.2669,0,0,0
2004-08-01,8.2669,8.2865,8.2368,8.2665,8.2665,0,0,0
2004-11-01,8.2665,8.2865,8.2365,8.2665,8.2665,0,0,0
2005-02-01,8.2665,8.2865,8.2565,8.2665,8.2665,0,0,0
2005-05-01,8.2665,8.2865,8.0956,8.0956,8.0956,0,0,0
2005-08-01,8.0956,8.1008,8.0664,8.0732,8.0732,0,0,0
2005-11-01,8.0821,8.0853,8.0255,8.062,8.062,0,0,0
2006-02-01,8.062,8.062,7.992,8.0039,8.0039,0,0,0
2006-05-01,8.0039,8.022,7.9561,7.96,7.96,0,0,0
2006-08-01,7.96,7.9915,7.8674,7.869,7.869,0,0,0
2006-11-01,7.869,7.869,7.7582,7.7648,7.7648,0,0,0
2007-02-01,7.7648,7.7648,7.695,7.6955,7.6955,0,0,0
2007-05-01,7.6955,7.6955,7.5445,7.5625,7.5625,0,0,0
2007-08-01,7.5625,7.5955,7.454,7.4615,7.4615,0,0,0
2007-11-01,7.4615,7.4615,7.173,7.173,7.173,0,0,0
2008-02-01,7.173,7.1905,6.9732,6.9785,6.9785,0,0,0
2008-05-01,6.9915,6.999,6.8005,6.8215,6.8215,0,0,0
2008-08-01,6.836,6.885,6.7737,6.8295,6.8295,0,0,0
2008-11-01,6.8295,6.8778,6.803,6.8297,6.8297,0,0,0
2009-02-01,6.8297,6.8455,6.8095,6.8095,6.8095,0,0,0
2009-05-01,6.8095,6.84,6.8044,6.8221,6.8221,0,0,0
2009-08-01,6.821,6.8264,6.8148,6.8175,6.8175,0,0,0
2009-11-01,6.8189,6.833,6.8163,6.8169,6.8169,0,0,0
2010-02-01,6.817,6.824,6.8134,6.816,6.816,0,0,0
2010-05-01,6.816,6.8233,6.7595,6.7652,6.7652,0,0,0
2010-08-01,6.7652,6.8055,6.631,6.6765,6.6765,0,0,0
2010-11-01,6.6692,6.6829,6.5719,6.5725,6.5725,0,0,0
2011-02-01,6.5813,6.5853,6.4814,6.501,6.501,0,0,0
2011-05-01,6.48,6.504,5.8574,6.443,6.443,0,0,0
2011-08-01,6.4256,6.4725,6.3353,6.3488,6.3488,0,0,0
2011-11-01,6.3452,6.3764,6.2826,6.3136,6.3136,0,0,0
2012-02-01,6.3136,6.3423,6.2766,6.3042,6.3042,0,0,0
2012-05-01,6.2864,6.3934,6.2757,6.3796,6.3796,0,0,0
2012-08-01,6.3618,6.3767,6.2273,6.2419,6.2419,0,0,0
2012-11-01,6.2375,6.2727,6.2036,6.2195,6.2195,0,0,0
2013-02-01,6.2178,6.2981,6.1466,6.1652,6.1652,0,0,0
2013-05-01,6.1652,6.2314,6.1112,6.1217,6.1217,0,0,0
2013-08-01,6.1189,6.168,6.0703,6.0838,6.0838,0,0,0
2013-11-01,6.085,6.145,6.0312,6.051,6.051,0,0,0
2014-02-01,6.051,6.257,6.0479,6.2481,6.2481,0,0,0
2014-05-01,6.2494,6.2585,2.2015,6.1615,6.1615,0,0,0
2014-08-01,6.164,6.2039,6.0985,6.1045,6.1045,0,0,0
2014-11-01,6.147,6.2458,6.1011,6.241,6.241,0,0,0
2015-02-01,6.2508,6.268,6.1714,6.1902,6.1902,0,0,0
2015-05-01,6.191,6.2146,6.183,6.1997,6.1997,0,0,0
2015-08-01,6.1998,6.4374,6.1991,6.3187,6.3187,0,0,0
2015-11-01,6.3081,6.6007,6.3081,6.6072,6.6072,0,0,0
2016-02-01,6.5661,6.5738,6.439,6.4641,6.4641,0,0,0
2016-05-01,6.4754,6.7275,6.4614,6.6423,6.6423,0,0,0
2016-08-01,6.6424,6.7973,6.5786,6.7834,6.7834,0,0,0
2016-11-01,6.775,7.481,6.7465,6.8807,6.8807,0,0,0
2017-02-01,6.8787,6.9313,6.7614,6.8969,6.8969,0,0,0
2017-05-01,6.9113,6.9262,6.7143,6.7389,6.7389,0,0,0
2017-08-01,6.7252,6.7699,6.436,6.6424,6.6424,0,0,0
2017-11-01,6.6346,6.6621,6.28,6.3211,6.3211,0,0,0
2018-02-01,6.2892,6.3624,6.2342,6.337,6.337,0,0,0
2018-05-01,6.3318,6.8401,6.3215,6.8149,6.8149,0,0,0
2018-08-01,6.8118,6.9761,6.7843,6.9663,6.9663,0,0,0
2018-11-01,6.9747,6.9748,6.6868,6.7155,6.7155,0,0,0
2019-02-01,6.6998,6.7926,6.6648,6.7324,6.7324,0,0,0
2019-05-01,6.7339,6.9347,6.7336,6.8836,6.8836,0,0,0
2019-08-01,6.8835,7.1839,6.8834,7.0544,7.0544,0,0,0
2019-11-01,7.0382,7.0727,6.8398,6.9357,6.9357,0,0,0
2020-02-01,6.9357,7.1246,6.9133,7.0754,7.0754,0,0,0
2020-05-01,7.0613,7.1769,6.9622,7.0073,7.0073,0,0,0
2020-08-01,6.9742,6.9858,6.81,6.8318,6.8318,0,0,0
2020-09-11,6.8335,6.839,6.8328,6.837,6.837,0,0,0
