Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,0.831,0.8372,0.8306,0.8358,0.8358,0,0,0
2003-12-11,0.8203,0.8249,0.8173,0.8181,0.8181,0,0,0
2003-12-16,0.8121,0.8127,0.8091,0.8116,0.8116,0,0,0
2003-12-26,0.8032,0.8047,0.8019,0.8044,0.8044,0,0,0
2003-12-31,0.7968,0.7981,0.7906,0.7943,0.7943,0,0,0
2004-01-05,0.7912,0.7913,0.7878,0.7882,0.7882,0,0,0
2004-01-15,0.7901,0.7956,0.7892,0.7936,0.7936,0,0,0
2004-01-20,0.8097,0.8097,0.7935,0.7943,0.7943,0,0,0
2004-01-30,0.8058,0.8094,0.801,0.802,0.802,0,0,0
2004-02-04,0.7971,0.7997,0.7961,0.7975,0.7975,0,0,0
2004-02-09,0.7902,0.7902,0.7839,0.7878,0.7878,0,0,0
2004-02-19,0.7856,0.7899,0.7833,0.7839,0.7839,0,0,0
2004-02-24,0.7954,0.7982,0.7867,0.7888,0.7888,0,0,0
2004-03-05,0.8193,0.821,0.8047,0.8085,0.8085,0,0,0
2004-03-10,0.8048,0.8192,0.8023,0.8175,0.8175,0,0,0
2004-03-15,0.8187,0.8188,0.8121,0.8149,0.8149,0,0,0
2004-03-25,0.8237,0.8259,0.8199,0.8239,0.8239,0,0,0
2004-03-30,0.822,0.8226,0.8179,0.8207,0.8207,0,0,0
2004-04-09,0.8279,0.8287,0.8256,0.8274,0.8274,0,0,0
2004-04-14,0.8379,0.842,0.8352,0.837,0.837,0,0,0
2004-04-19,0.832,0.8331,0.828,0.8328,0.8328,0,0,0
2004-04-29,0.8444,0.8469,0.8344,0.8361,0.8361,0,0,0
2004-05-04,0.8378,0.8379,0.8253,0.8261,0.8261,0,0,0
2004-05-14,0.8472,0.8482,0.8408,0.8416,0.8416,0,0,0
2004-05-19,0.8372,0.8372,0.8306,0.8331,0.8331,0,0,0
2004-05-24,0.8333,0.8376,0.8316,0.8334,0.8334,0,0,0
2004-06-03,0.8184,0.8213,0.8162,0.8183,0.8183,0,0,0
2004-06-08,0.8114,0.8163,0.8097,0.8156,0.8156,0,0,0
2004-06-18,0.831,0.8349,0.8231,0.8234,0.8234,0,0,0
2004-06-23,0.825,0.8283,0.8203,0.8274,0.8274,0,0,0
2004-06-28,0.8214,0.8245,0.8179,0.8206,0.8206,0,0,0
2004-07-08,0.8084,0.8102,0.8063,0.8068,0.8068,0,0,0
2004-07-13,0.8062,0.8127,0.8057,0.8108,0.8108,0,0,0
2004-07-23,0.8158,0.827,0.8152,0.8267,0.8267,0,0,0
2004-07-28,0.829,0.8326,0.8279,0.8303,0.8303,0,0,0
2004-08-02,0.8304,0.832,0.8269,0.8318,0.8318,0,0,0
2004-08-12,0.8182,0.8184,0.8136,0.8171,0.8171,0,0,0
2004-08-17,0.8092,0.8119,0.8078,0.81,0.81,0,0,0
2004-08-27,0.8265,0.8327,0.8239,0.832,0.832,0,0,0
2004-09-01,0.8212,0.8229,0.8183,0.8203,0.8203,0,0,0
2004-09-06,0.829,0.8297,0.8276,0.8288,0.8288,0,0,0
2004-09-16,0.8226,0.8247,0.8198,0.8203,0.8203,0,0,0
2004-09-21,0.8216,0.8216,0.81,0.8111,0.8111,0,0,0
2004-10-01,0.8042,0.8072,0.804,0.8055,0.8055,0,0,0
2004-10-06,0.812,0.8157,0.8114,0.8143,0.8143,0,0,0
2004-10-11,0.8057,0.8081,0.8054,0.8075,0.8075,0,0,0
2004-10-21,0.7949,0.7952,0.7905,0.7924,0.7924,0,0,0
2004-10-26,0.7806,0.7853,0.7786,0.7834,0.7834,0,0,0
2004-11-05,0.7768,0.7822,0.7704,0.7712,0.7712,0,0,0
2004-11-10,0.7752,0.7775,0.7702,0.776,0.776,0,0,0
2004-11-15,0.7698,0.7739,0.7693,0.7728,0.7728,0,0,0
2004-11-25,0.7587,0.7595,0.7528,0.7543,0.7543,0,0,0
2004-11-30,0.754,0.7553,0.7502,0.752,0.752,0,0,0
2004-12-10,0.7518,0.7605,0.7516,0.7567,0.7567,0,0,0
2004-12-15,0.7514,0.7539,0.7442,0.7461,0.7461,0,0,0
2004-12-20,0.7513,0.7518,0.7458,0.7467,0.7467,0,0,0
2004-12-30,0.735,0.7363,0.7321,0.7338,0.7338,0,0,0
2005-01-04,0.7424,0.7541,0.741,0.7529,0.7529,0,0,0
2005-01-14,0.7569,0.7652,0.7569,0.7634,0.7634,0,0,0
2005-01-19,0.7682,0.771,0.7625,0.7691,0.7691,0,0,0
2005-01-24,0.7667,0.7672,0.7636,0.7669,0.7669,0,0,0
2005-02-03,0.7672,0.7723,0.767,0.7709,0.7709,0,0,0
2005-02-08,0.7835,0.7851,0.7815,0.7831,0.7831,0,0,0
2005-02-18,0.7648,0.7677,0.7643,0.7652,0.7652,0,0,0
2005-02-23,0.7543,0.758,0.7534,0.7574,0.7574,0,0,0
2005-02-28,0.7545,0.7569,0.753,0.7566,0.7566,0,0,0
2005-03-10,0.7475,0.7478,0.7434,0.7442,0.7442,0,0,0
2005-03-15,0.7481,0.7517,0.7461,0.7513,0.7513,0,0,0
2005-03-25,0.7732,0.7732,0.771,0.7718,0.7718,0,0,0
2005-03-30,0.7729,0.7743,0.7704,0.7743,0.7743,0,0,0
2005-04-04,0.7754,0.78,0.7748,0.7782,0.7782,0,0,0
2005-04-14,0.7744,0.7825,0.7743,0.7816,0.7816,0,0,0
2005-04-19,0.7682,0.77,0.7646,0.7654,0.7654,0,0,0
2005-04-29,0.7749,0.7777,0.7705,0.7766,0.7766,0,0,0
2005-05-04,0.776,0.7765,0.7709,0.7722,0.7722,0,0,0
2005-05-09,0.7801,0.7816,0.7769,0.7779,0.7779,0,0,0
2005-05-19,0.7887,0.7925,0.788,0.7915,0.7915,0,0,0
2005-05-24,0.7955,0.7962,0.7918,0.7957,0.7957,0,0,0
2005-06-03,0.815,0.8191,0.8119,0.8177,0.8177,0,0,0
2005-06-08,0.8143,0.8186,0.81,0.8171,0.8171,0,0,0
2005-06-13,0.8253,0.831,0.8249,0.8252,0.8252,0,0,0
2005-06-23,0.8251,0.8316,0.8237,0.8313,0.8313,0,0,0
2005-06-28,0.8223,0.8297,0.8216,0.8283,0.8283,0,0,0
2005-07-08,0.8372,0.8413,0.8346,0.8346,0.8346,0,0,0
2005-07-13,0.8175,0.8283,0.8173,0.8278,0.8278,0,0,0
2005-07-18,0.8307,0.8309,0.8273,0.8295,0.8295,0,0,0
2005-07-28,0.8286,0.8304,0.8231,0.8243,0.8243,0,0,0
2005-08-02,0.8207,0.8207,0.8167,0.8201,0.8201,0,0,0
2005-08-12,0.8019,0.8071,0.801,0.8035,0.8035,0,0,0
2005-08-17,0.8097,0.8154,0.8085,0.8145,0.8145,0,0,0
2005-08-22,0.8218,0.8224,0.8169,0.8174,0.8174,0,0,0
2005-09-01,0.8105,0.8111,0.7994,0.8006,0.8006,0,0,0
2005-09-06,0.7983,0.8033,0.7983,0.8027,0.8027,0,0,0
2005-09-16,0.8173,0.8193,0.8126,0.8171,0.8171,0,0,0
2005-09-26,0.8315,0.8322,0.8278,0.8283,0.8283,0,0,0
2005-10-06,0.8326,0.8331,0.8193,0.8216,0.8216,0,0,0
2005-10-11,0.8297,0.8346,0.8294,0.8344,0.8344,0,0,0
2005-10-21,0.832,0.8378,0.8282,0.8365,0.8365,0,0,0
2005-10-26,0.8257,0.8293,0.824,0.829,0.829,0,0,0
2005-10-31,0.8288,0.8351,0.8272,0.8341,0.8341,0,0,0
2005-11-10,0.8493,0.8566,0.8482,0.8565,0.8565,0,0,0
2005-11-15,0.8553,0.8585,0.852,0.8524,0.8524,0,0,0
2005-11-25,0.8489,0.8537,0.8489,0.8529,0.8529,0,0,0
2005-11-30,0.8498,0.8504,0.8473,0.8471,0.8471,0,0,0
2005-12-05,0.8532,0.8554,0.8461,0.8484,0.8484,0,0,0
2005-12-15,0.8347,0.8375,0.8307,0.8356,0.8356,0,0,0
2005-12-20,0.8328,0.8443,0.8324,0.8421,0.8421,0,0,0
2005-12-30,0.8439,0.8487,0.841,0.8445,0.8445,0,0,0
2006-01-04,0.8312,0.8313,0.8236,0.8256,0.8256,0,0,0
2006-01-09,0.8237,0.8293,0.8227,0.8282,0.8282,0,0,0
2006-01-19,0.826,0.8291,0.825,0.8271,0.8271,0,0,0
2006-01-24,0.8127,0.8154,0.8125,0.8153,0.8153,0,0,0
2006-02-03,0.8275,0.8351,0.8258,0.8315,0.8315,0,0,0
2006-02-08,0.8339,0.8384,0.8338,0.8358,0.8358,0,0,0
2006-02-13,0.8403,0.8415,0.8391,0.8395,0.8395,0,0,0
2006-02-23,0.8394,0.8407,0.8356,0.8388,0.8388,0,0,0
2006-02-28,0.8439,0.8447,0.8375,0.8382,0.8382,0,0,0
2006-03-10,0.8403,0.8427,0.8383,0.8396,0.8396,0,0,0
2006-03-15,0.8321,0.8325,0.8281,0.8284,0.8284,0,0,0
2006-03-20,0.8209,0.8228,0.82,0.8222,0.8222,0,0,0
2006-03-30,0.8313,0.8315,0.8214,0.8218,0.8218,0,0,0
2006-04-04,0.8239,0.8247,0.8146,0.8157,0.8157,0,0,0
2006-04-14,0.8253,0.8264,0.8252,0.8256,0.8256,0,0,0
2006-04-19,0.8086,0.8135,0.8068,0.8079,0.8079,0,0,0
2006-04-24,0.8081,0.8102,0.8055,0.8072,0.8072,0,0,0
2006-05-04,0.7923,0.795,0.7862,0.7873,0.7873,0,0,0
2006-05-09,0.7872,0.7894,0.7828,0.7833,0.7833,0,0,0
2006-05-19,0.7783,0.7873,0.7776,0.7833,0.7833,0,0,0
2006-05-24,0.7822,0.7852,0.7759,0.7828,0.7828,0,0,0
2006-05-29,0.7849,0.7851,0.7832,0.7843,0.7843,0,0,0
2006-06-08,0.7811,0.7916,0.7807,0.7906,0.7906,0,0,0
2006-06-13,0.7945,0.7978,0.7929,0.7971,0.7971,0,0,0
2006-06-23,0.7947,0.8009,0.7944,0.7985,0.7985,0,0,0
2006-06-28,0.7955,0.7986,0.7945,0.7971,0.7971,0,0,0
2006-07-03,0.7819,0.7834,0.78,0.7812,0.7812,0,0,0
2006-07-13,0.7865,0.7892,0.7855,0.7876,0.7876,0,0,0
2006-07-18,0.7988,0.8009,0.7964,0.7999,0.7999,0,0,0
2006-07-28,0.7877,0.7897,0.7831,0.7843,0.7843,0,0,0
2006-08-02,0.7801,0.7824,0.7791,0.7817,0.7817,0,0,0
2006-08-07,0.7762,0.7806,0.7756,0.7801,0.7801,0,0,0
2006-08-17,0.7787,0.7803,0.776,0.7793,0.7793,0,0,0
2006-08-22,0.7769,0.782,0.7762,0.7805,0.7805,0,0,0
2006-09-01,0.7807,0.7837,0.7785,0.7791,0.7791,0,0,0
2006-09-06,0.7799,0.7828,0.7793,0.7801,0.7801,0,0,0
2006-09-11,0.7891,0.7903,0.7852,0.7868,0.7868,0,0,0
2006-09-21,0.7882,0.7883,0.7812,0.7824,0.7824,0,0,0
2006-09-26,0.7844,0.7894,0.7836,0.7882,0.7882,0,0,0
2006-10-06,0.7876,0.7951,0.7876,0.7934,0.7934,0,0,0
2006-10-11,0.798,0.7996,0.7964,0.7985,0.7985,0,0,0
2006-10-16,0.7997,0.8005,0.7973,0.7974,0.7974,0,0,0
2006-10-26,0.7928,0.7928,0.7874,0.7878,0.7878,0,0,0
2006-10-31,0.7862,0.7884,0.7823,0.7833,0.7833,0,0,0
2006-11-10,0.779,0.7792,0.7756,0.778,0.778,0,0,0
2006-11-15,0.7804,0.7824,0.7792,0.7797,0.7797,0,0,0
2006-11-20,0.78,0.7808,0.7782,0.7801,0.7801,0,0,0
2006-11-30,0.7606,0.7606,0.7535,0.7547,0.7547,0,0,0
2006-12-05,0.7498,0.7522,0.7487,0.7508,0.7508,0,0,0
2006-12-15,0.7603,0.7655,0.7587,0.7634,0.7634,0,0,0
2006-12-20,0.7571,0.7596,0.755,0.7583,0.7583,0,0,0
2006-12-25,0.7612,0.763,0.7595,0.7613,0.7613,0,0,0
2007-01-04,0.7592,0.7645,0.7587,0.7638,0.7638,0,0,0
2007-01-09,0.7671,0.7697,0.7663,0.7694,0.7694,0,0,0
2007-01-19,0.7715,0.774,0.7691,0.7711,0.7711,0,0,0
2007-01-24,0.7678,0.7721,0.767,0.7714,0.7714,0,0,0
2007-01-29,0.7738,0.7752,0.7714,0.7714,0.7714,0,0,0
2007-02-08,0.7679,0.7705,0.7666,0.7669,0.7669,0,0,0
