Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-06-25,11372.0,11565.0,11265.0,11390.0,11390.0,0,0,0
2001-07-02,11315.0,11490.0,11188.0,11330.0,11330.0,0,0,0
2001-07-09,11330.0,11475.0,11223.0,11330.0,11330.0,0,0,0
2001-07-16,11340.0,11465.0,11020.0,11140.0,11140.0,0,0,0
2001-07-23,11140.0,11240.0,9780.0,10050.0,10050.0,0,0,0
2001-07-30,10050.0,10150.0,9265.0,9495.0,9495.0,0,0,0
2001-08-06,9390.0,9530.0,9010.0,9110.0,9110.0,0,0,0
2001-08-13,9110.0,9210.0,8325.0,8750.0,8750.0,0,0,0
2001-08-20,8565.0,8850.0,8343.0,8695.0,8695.0,0,0,0
2001-08-27,8700.0,9330.0,8595.0,8863.0,8863.0,0,0,0
2001-09-03,9055.0,9260.0,8763.0,9150.0,9150.0,0,0,0
2001-09-10,9060.0,9490.0,8685.0,9110.0,9110.0,0,0,0
2001-09-17,9275.0,9750.0,9010.0,9415.0,9415.0,0,0,0
2001-09-24,9480.0,9820.0,9315.0,9708.0,9708.0,0,0,0
2001-10-01,9708.0,10200.0,9608.0,9865.0,9865.0,0,0,0
2001-10-08,9865.0,10275.0,9765.0,9970.0,9970.0,0,0,0
2001-10-15,10000.0,10290.0,9850.0,10090.0,10090.0,0,0,0
2001-10-22,10110.0,10465.0,9965.0,10260.0,10260.0,0,0,0
2001-10-29,10265.0,10805.0,10160.0,10675.0,10675.0,0,0,0
2001-11-05,10925.0,11025.0,10200.0,10410.0,10410.0,0,0,0
2001-11-12,10685.0,10918.0,10310.0,10608.0,10608.0,0,0,0
2001-11-19,10565.0,10735.0,10325.0,10495.0,10495.0,0,0,0
2001-11-26,10375.0,10595.0,10270.0,10450.0,10450.0,0,0,0
2001-12-03,10475.0,10583.0,10230.0,10365.0,10365.0,0,0,0
2001-12-10,10235.0,10465.0,9880.0,10195.0,10195.0,0,0,0
2001-12-17,10195.0,10300.0,9985.0,10190.0,10190.0,0,0,0
2001-12-24,10190.0,10590.0,10090.0,10455.0,10455.0,0,0,0
2001-12-31,10455.0,10600.0,10195.0,10428.0,10428.0,0,0,0
2002-01-07,10390.0,10538.0,10290.0,10427.0,10427.0,0,0,0
2002-01-14,10408.0,10580.0,10275.0,10396.0,10396.0,0,0,0
2002-01-21,10383.0,10580.0,10283.0,10435.0,10435.0,0,0,0
2002-01-28,10405.0,10535.0,10195.0,10325.0,10325.0,0,0,0
2002-02-04,10320.0,10435.0,10150.0,10250.0,10250.0,0,0,0
2002-02-11,10193.0,10365.0,10065.0,10247.0,10247.0,0,0,0
2002-02-18,10245.0,10360.0,10078.0,10215.0,10215.0,0,0,0
2002-02-25,10195.0,10315.0,9990.0,10100.0,10100.0,0,0,0
2002-03-04,10078.0,10200.0,9800.0,10015.0,10015.0,0,0,0
2002-03-11,9975.0,10095.0,9845.0,9995.0,9995.0,0,0,0
2002-03-18,9973.0,10095.0,9713.0,9825.0,9825.0,0,0,0
2002-03-25,9715.0,9970.0,9400.0,9825.0,9825.0,0,0,0
2002-04-01,9825.0,9950.0,9415.0,9585.0,9585.0,0,0,0
2002-04-08,9525.0,9765.0,9410.0,9545.0,9545.0,0,0,0
2002-04-15,9375.0,9563.0,9220.0,9320.0,9320.0,0,0,0
2002-04-22,9288.0,9535.0,9145.0,9305.0,9305.0,0,0,0
2002-04-29,9330.0,9440.0,9190.0,9310.0,9310.0,0,0,0
2002-05-06,9293.0,9410.0,9170.0,9285.0,9285.0,0,0,0
2002-05-13,9275.0,9433.0,8975.0,9090.0,9090.0,0,0,0
2002-05-20,9020.0,9165.0,8818.0,8957.5,8957.5,0,0,0
2002-05-27,8925.5,9058.0,8575.0,8697.5,8697.5,0,0,0
2002-06-03,8563.0,9170.0,8333.0,8875.0,8875.0,0,0,0
2002-06-10,8780.0,8940.0,8590.0,8660.0,8660.0,0,0,0
2002-06-17,8700.0,8808.0,8498.0,8630.0,8630.0,0,0,0
2002-06-24,8650.0,8830.0,8540.0,8713.0,8713.0,0,0,0
2002-07-01,8720.0,9090.0,8593.0,8860.0,8860.0,0,0,0
2002-07-08,8889.0,9235.0,8760.0,9075.0,9075.0,0,0,0
2002-07-15,9055.0,9175.0,8625.0,8775.0,8775.0,0,0,0
2002-07-22,8803.0,9250.0,8675.0,9150.0,9150.0,0,0,0
2002-07-29,9215.0,9355.0,8940.0,9075.0,9075.0,0,0,0
2002-08-05,9031.5,9222.0,8820.0,8990.0,8990.0,0,0,0
2002-08-12,8977.5,9090.0,8675.0,8815.0,8815.0,0,0,0
2002-08-19,8823.0,8975.0,8715.0,8887.5,8887.5,0,0,0
2002-08-26,8880.0,9025.0,8760.0,8855.0,8855.0,0,0,0
2002-09-02,8897.5,8970.0,8740.0,8870.0,8870.0,0,0,0
2002-09-09,8865.0,9075.0,8725.0,8975.0,8975.0,0,0,0
2002-09-16,9055.0,9168.0,8890.0,9032.5,9032.5,0,0,0
2002-09-23,9032.5,9032.5,9015.0,9017.5,9017.5,0,0,0
2002-09-30,9003.0,9118.0,8894.0,9014.5,9014.5,0,0,0
2002-10-07,9015.0,9121.0,8897.0,9007.0,9007.0,0,0,0
2002-10-14,9255.0,9450.0,8907.0,9214.0,9214.0,0,0,0
