Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2001-07-05,11357.0,11485.0,11240.0,11357.0,11357.0,0,0,0
2001-07-10,11370.0,11470.0,11252.0,11352.0,11352.0,0,0,0
2001-07-20,11120.0,11240.0,11020.0,11140.0,11140.0,0,0,0
2001-07-25,10050.0,10150.0,9950.0,10050.0,10050.0,0,0,0
2001-07-30,10050.0,10150.0,9605.0,9705.0,9705.0,0,0,0
2001-08-09,9155.0,9345.0,9015.0,9205.0,9205.0,0,0,0
2001-08-14,8460.0,8620.0,8350.0,8455.0,8455.0,0,0,0
2001-08-24,8728.0,8828.0,8593.0,8695.0,8695.0,0,0,0
2001-08-29,9230.0,9330.0,9015.0,9150.0,9150.0,0,0,0
2001-09-03,9055.0,9155.0,8763.0,8988.0,8988.0,0,0,0
2001-09-13,9130.0,9230.0,8975.0,9103.0,9103.0,0,0,0
2001-09-18,9506.0,9675.0,9375.0,9575.0,9575.0,0,0,0
2001-09-28,9693.0,9820.0,9585.0,9708.0,9708.0,0,0,0
2001-10-03,10050.0,10050.0,10050.0,10050.0,10050.0,0,0,0
2001-10-08,9865.0,10263.0,9765.0,10163.0,10163.0,0,0,0
2001-10-18,10085.0,10185.0,9930.0,10035.0,10035.0,0,0,0
2001-10-23,10143.0,10285.0,10043.0,10170.0,10170.0,0,0,0
2001-11-02,10600.0,10805.0,10500.0,10675.0,10675.0,0,0,0
2001-11-07,10638.0,10738.0,10538.0,10638.0,10638.0,0,0,0
2001-11-12,10685.0,10918.0,10310.0,10611.0,10611.0,0,0,0
2001-11-22,10560.0,10660.0,10415.0,10550.0,10550.0,0,0,0
2001-11-27,10393.0,10493.0,10293.0,10393.0,10393.0,0,0,0
2001-12-07,10380.0,10490.0,10230.0,10365.0,10365.0,0,0,0
2001-12-12,10035.0,10280.0,9880.0,10025.0,10025.0,0,0,0
2001-12-17,10195.0,10295.0,10095.0,10195.0,10195.0,0,0,0
2001-12-27,10425.0,10525.0,10090.0,10375.0,10375.0,0,0,0
2002-01-01,10455.0,10455.0,10455.0,10455.0,10455.0,0,0,0
2002-01-11,10427.0,10527.0,10327.0,10427.0,10427.0,0,0,0
2002-01-16,10375.0,10486.0,10275.0,10386.0,10386.0,0,0,0
2002-01-21,10383.0,10505.0,10283.0,10385.0,10385.0,0,0,0
2002-01-31,10320.0,10420.0,10215.0,10315.0,10315.0,0,0,0
2002-02-05,10308.0,10410.0,10205.0,10306.0,10306.0,0,0,0
2002-02-15,10240.0,10355.0,10140.0,10247.0,10247.0,0,0,0
2002-02-20,10178.0,10292.0,10078.0,10187.0,10187.0,0,0,0
2002-02-25,10195.0,10315.0,10078.0,10178.0,10178.0,0,0,0
2002-03-07,9930.0,10100.0,9830.0,9943.0,9943.0,0,0,0
2002-03-12,9976.0,10076.0,9870.0,9970.0,9970.0,0,0,0
2002-03-22,9833.0,9961.0,9713.0,9825.0,9825.0,0,0,0
2002-03-27,9605.0,9785.0,9435.0,9660.0,9660.0,0,0,0
2002-04-01,9825.0,9825.0,9825.0,9825.0,9825.0,0,0,0
2002-04-11,9548.0,9685.0,9448.0,9550.0,9550.0,0,0,0
2002-04-16,9398.0,9533.0,9295.0,9433.0,9433.0,0,0,0
2002-04-26,9295.0,9455.0,9195.0,9305.0,9305.0,0,0,0
2002-05-01,9330.0,9330.0,9330.0,9330.0,9330.0,0,0,0
2002-05-06,9293.0,9410.0,9170.0,9289.0,9289.0,0,0,0
2002-05-16,9153.0,9340.0,9040.0,9150.0,9150.0,0,0,0
2002-05-21,9038.0,9160.0,8920.0,9035.0,9035.0,0,0,0
2002-05-31,8814.5,8890.0,8575.0,8697.5,8697.5,0,0,0
2002-06-05,8787.5,9025.0,8550.0,8925.0,8925.0,0,0,0
2002-06-10,8780.0,8940.0,8630.0,8730.0,8730.0,0,0,0
2002-06-20,8605.0,8715.0,8498.0,8597.5,8597.5,0,0,0
2002-06-25,8690.0,8815.0,8558.0,8657.5,8657.5,0,0,0
2002-07-05,8848.0,8960.0,8733.0,8860.0,8860.0,0,0,0
2002-07-10,8913.0,9018.0,8794.0,8907.5,8907.5,0,0,0
2002-07-15,9055.0,9175.0,8928.0,9047.5,9047.5,0,0,0
2002-07-25,8995.0,9113.0,8885.0,9005.0,9005.0,0,0,0
2002-07-30,9150.0,9350.0,8995.0,9115.0,9115.0,0,0,0
2002-08-09,8935.0,9090.0,8820.0,8990.0,8990.0,0,0,0
2002-08-14,8835.0,8950.0,8675.0,8775.0,8775.0,0,0,0
2002-08-19,8823.0,8923.0,8715.0,8847.5,8847.5,0,0,0
2002-08-29,8885.0,8985.0,8768.0,8865.0,8865.0,0,0,0
2002-09-03,8840.0,8945.0,8740.0,8842.5,8842.5,0,0,0
2002-09-13,8940.0,9075.0,8827.0,8975.0,8975.0,0,0,0
2002-09-18,8990.0,9120.0,8890.0,9000.0,9000.0,0,0,0
2002-09-23,9032.5,9032.5,9032.5,9032.5,9032.5,0,0,0
2002-10-03,9010.0,9019.0,9005.0,9014.5,9014.5,0,0,0
2002-10-08,9011.0,9117.0,8905.0,9005.0,9005.0,0,0,0
2002-10-18,9257.5,9314.0,9114.0,9214.0,9214.0,0,0,0
2002-10-23,9204.0,9315.0,9098.0,9215.0,9215.0,0,0,0
2002-10-28,9180.0,9335.0,9124.0,9224.0,9224.0,0,0,0
2002-11-07,9210.0,9312.0,9105.0,9205.0,9205.0,0,0,0
2002-11-12,9097.5,9280.0,8975.0,9075.0,9075.0,0,0,0
2002-11-22,9002.5,9130.0,8930.0,8985.0,8985.0,0,0,0
2002-11-27,8985.0,9094.0,8850.0,8935.0,8935.0,0,0,0
2002-12-02,8950.0,9050.0,8850.0,8977.5,8977.5,0,0,0
2002-12-12,8895.0,8995.0,8795.0,8867.5,8867.5,0,0,0
2002-12-17,8858.0,8958.0,8716.0,8880.0,8880.0,0,0,0
