Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,1.723,1.7245,1.7125,1.714,1.714,0,0,0
2003-12-08,1.7094,1.7165,1.7085,1.7103,1.7103,0,0,0
2003-12-15,1.7082,1.711,1.704,1.707,1.707,0,0,0
2003-12-22,1.7089,1.7095,1.6945,1.7045,1.7045,0,0,0
2003-12-29,1.7033,1.704,1.6986,1.7015,1.7015,0,0,0
2004-01-05,1.6989,1.7005,1.6912,1.692,1.692,0,0,0
2004-01-12,1.6965,1.702,1.6895,1.7005,1.7005,0,0,0
2004-01-19,1.7025,1.7138,1.6908,1.6942,1.6942,0,0,0
2004-01-26,1.6951,1.7035,1.6903,1.6952,1.6952,0,0,0
2004-02-02,1.6938,1.697,1.6848,1.6871,1.6871,0,0,0
2004-02-09,1.6854,1.687,1.6671,1.6745,1.6745,0,0,0
2004-02-16,1.6748,1.6911,1.6716,1.6845,1.6845,0,0,0
2004-02-23,1.6928,1.7035,1.6876,1.6975,1.6975,0,0,0
2004-03-01,1.6973,1.7185,1.6971,1.713,1.713,0,0,0
2004-03-08,1.7132,1.7165,1.7014,1.7135,1.7135,0,0,0
2004-03-15,1.7128,1.7128,1.6868,1.6926,1.6926,0,0,0
2004-03-22,1.693,1.6945,1.6862,1.69,1.69,0,0,0
2004-03-29,1.6891,1.6905,1.67,1.6751,1.6751,0,0,0
2004-04-05,1.6769,1.6848,1.6721,1.678,1.678,0,0,0
2004-04-12,1.6623,1.6855,1.6609,1.6749,1.6749,0,0,0
2004-04-19,1.6773,1.6989,1.6744,1.6962,1.6962,0,0,0
2004-04-26,1.6983,1.7075,1.6908,1.7036,1.7036,0,0,0
2004-05-03,1.703,1.7035,1.6842,1.7019,1.7019,0,0,0
2004-05-10,1.716,1.73,1.7118,1.727,1.727,0,0,0
2004-05-17,1.7198,1.7282,1.7112,1.72,1.72,0,0,0
2004-05-24,1.7152,1.7193,1.6966,1.6985,1.6985,0,0,0
2004-05-31,1.6982,1.713,1.6977,1.7102,1.7102,0,0,0
2004-06-07,1.7045,1.718,1.7017,1.7164,1.7164,0,0,0
2004-06-14,1.7228,1.723,1.7087,1.7152,1.7152,0,0,0
2004-06-21,1.7152,1.7218,1.7041,1.7054,1.7054,0,0,0
2004-06-28,1.708,1.7218,1.7054,1.7102,1.7102,0,0,0
2004-07-05,1.7108,1.7178,1.6998,1.6998,1.6998,0,0,0
2004-07-12,1.6988,1.7079,1.6958,1.7004,1.7004,0,0,0
2004-07-19,1.699,1.7249,1.699,1.7236,1.7236,0,0,0
2004-07-26,1.7214,1.7275,1.7202,1.7199,1.7199,0,0,0
2004-08-02,1.7188,1.7236,1.7152,1.7168,1.7168,0,0,0
2004-08-09,1.7161,1.7222,1.711,1.7145,1.7145,0,0,0
2004-08-16,1.7158,1.7179,1.7058,1.712,1.712,0,0,0
2004-08-23,1.7048,1.7152,1.7048,1.7123,1.7123,0,0,0
2004-08-30,1.7141,1.7155,1.7001,1.7041,1.7041,0,0,0
2004-09-06,1.7036,1.7058,1.6954,1.6965,1.6965,0,0,0
2004-09-13,1.6971,1.6988,1.6867,1.6894,1.6894,0,0,0
2004-09-20,1.69,1.6962,1.6872,1.6904,1.6904,0,0,0
2004-09-27,1.6904,1.697,1.6794,1.683,1.683,0,0,0
2004-10-04,1.6843,1.6918,1.6798,1.6801,1.6801,0,0,0
2004-10-11,1.6837,1.6875,1.6771,1.6782,1.6782,0,0,0
2004-10-18,1.6777,1.6797,1.6658,1.6658,1.6658,0,0,0
2004-10-25,1.6627,1.6664,1.6603,1.6645,1.6645,0,0,0
2004-11-01,1.6629,1.6693,1.6529,1.6535,1.6535,0,0,0
2004-11-08,1.6538,1.6595,1.6494,1.6502,1.6502,0,0,0
2004-11-15,1.65,1.655,1.6436,1.6451,1.6451,0,0,0
2004-11-22,1.6444,1.6483,1.6354,1.6371,1.6371,0,0,0
2004-11-29,1.6377,1.6448,1.6295,1.632,1.632,0,0,0
2004-12-06,1.6334,1.6603,1.6327,1.6548,1.6548,0,0,0
2004-12-13,1.655,1.655,1.6371,1.644,1.644,0,0,0
2004-12-20,1.6445,1.6473,1.6366,1.6408,1.6408,0,0,0
2004-12-27,1.6413,1.6417,1.6313,1.632,1.632,0,0,0
2005-01-03,1.6321,1.6533,1.6321,1.6474,1.6474,0,0,0
2005-01-10,1.6482,1.6501,1.6238,1.6372,1.6372,0,0,0
2005-01-17,1.6335,1.6409,1.6279,1.6341,1.6341,0,0,0
2005-01-24,1.634,1.6407,1.6301,1.6354,1.6354,0,0,0
2005-01-31,1.6374,1.6421,1.6293,1.6293,1.6293,0,0,0
2005-02-07,1.6363,1.6567,1.6363,1.6477,1.6477,0,0,0
2005-02-14,1.6431,1.6439,1.6362,1.6385,1.6385,0,0,0
2005-02-21,1.639,1.639,1.6254,1.6319,1.6319,0,0,0
2005-02-28,1.6287,1.6331,1.6215,1.6278,1.6278,0,0,0
2005-03-07,1.6261,1.6279,1.6175,1.6188,1.6188,0,0,0
2005-03-14,1.6181,1.6277,1.6181,1.6258,1.6258,0,0,0
2005-03-21,1.6251,1.6479,1.6251,1.6431,1.6431,0,0,0
2005-03-28,1.6503,1.6586,1.6465,1.6586,1.6586,0,0,0
2005-04-04,1.662,1.6676,1.653,1.653,1.653,0,0,0
2005-04-11,1.657,1.6605,1.6414,1.6555,1.6555,0,0,0
2005-04-18,1.6575,1.6575,1.6454,1.6471,1.6471,0,0,0
2005-04-25,1.645,1.6495,1.6335,1.637,1.637,0,0,0
2005-05-02,1.6386,1.6418,1.6338,1.6409,1.6409,0,0,0
2005-05-09,1.6426,1.6584,1.6404,1.6571,1.6571,0,0,0
2005-05-16,1.6616,1.6633,1.6496,1.6629,1.6629,0,0,0
2005-05-23,1.6614,1.6616,1.6531,1.6592,1.6592,0,0,0
2005-05-30,1.6599,1.6769,1.6576,1.668,1.668,0,0,0
2005-06-06,1.6685,1.6719,1.658,1.6718,1.6718,0,0,0
2005-06-13,1.672,1.6809,1.6683,1.6683,1.6683,0,0,0
2005-06-20,1.6703,1.6769,1.6668,1.6741,1.6741,0,0,0
2005-06-27,1.6744,1.6937,1.6738,1.6937,1.6937,0,0,0
2005-07-04,1.6942,1.703,1.692,1.7015,1.7015,0,0,0
2005-07-11,1.696,1.6975,1.6849,1.6885,1.6885,0,0,0
2005-07-18,1.6869,1.692,1.6494,1.6624,1.6624,0,0,0
2005-07-25,1.6588,1.6714,0.8308,1.6607,1.6607,0,0,0
2005-08-01,1.661,1.6618,0.8268,1.6533,1.6533,0,0,0
2005-08-08,1.6546,1.6571,1.6442,1.651,1.651,0,0,0
2005-08-15,1.6549,1.6716,1.653,1.671,1.671,0,0,0
2005-08-22,1.6676,1.6754,1.665,1.6726,1.6726,0,0,0
2005-08-29,1.6754,1.6897,1.6713,1.6744,1.6744,0,0,0
2005-09-05,1.6711,1.6781,1.6698,1.6733,1.6733,0,0,0
2005-09-12,1.6736,1.683,1.6736,1.6817,1.6817,0,0,0
2005-09-19,1.6812,1.6848,1.6771,1.6844,1.6844,0,0,0
2005-09-26,1.6868,1.6938,1.6868,1.6915,1.6915,0,0,0
2005-10-03,1.6945,1.6946,1.6808,1.6831,1.6831,0,0,0
2005-10-10,1.6831,1.6949,1.6825,1.6876,1.6876,0,0,0
2005-10-17,1.6868,1.6973,1.6868,1.6959,1.6959,0,0,0
2005-10-24,1.6954,1.6958,1.6858,1.6918,1.6918,0,0,0
2005-10-31,1.691,1.7008,1.6907,1.7008,1.7008,0,0,0
2005-11-07,1.6997,1.7038,1.6987,1.7024,1.7024,0,0,0
2005-11-14,1.7006,1.7061,1.6987,1.6987,1.6987,0,0,0
2005-11-21,1.7,1.7014,1.6893,1.6941,1.6941,0,0,0
2005-11-28,1.6952,1.6972,1.6867,1.6887,1.6887,0,0,0
2005-12-05,1.6873,1.6889,1.6815,1.683,1.683,0,0,0
2005-12-12,1.6826,1.6831,1.6654,1.6649,1.6649,0,0,0
2005-12-19,1.665,1.6725,1.6612,1.666,1.666,0,0,0
2005-12-26,1.6638,1.6675,1.6612,1.6624,1.6624,0,0,0
2006-01-02,1.6605,1.6615,1.6379,1.6379,1.6379,0,0,0
2006-01-09,1.6317,1.6364,1.6216,1.6234,1.6234,0,0,0
2006-01-16,1.626,1.6355,1.626,1.6256,1.6256,0,0,0
2006-01-23,1.6227,1.6299,1.6173,1.6271,1.6271,0,0,0
2006-01-30,1.6284,1.6363,1.6217,1.6344,1.6344,0,0,0
2006-02-06,1.6269,1.6334,1.622,1.6262,1.6262,0,0,0
2006-02-13,1.6296,1.6375,1.625,1.6324,1.6324,0,0,0
2006-02-20,1.6274,1.6333,1.6221,1.6264,1.6264,0,0,0
2006-02-27,1.6265,1.6265,1.6126,1.6178,1.6178,0,0,0
2006-03-06,1.6179,1.6349,1.6177,1.6284,1.6284,0,0,0
2006-03-13,1.6284,1.6285,1.6147,1.6168,1.6168,0,0,0
2006-03-20,1.6168,1.6228,1.612,1.6203,1.6203,0,0,0
2006-03-27,1.6202,1.6236,1.6143,1.6157,1.6157,0,0,0
2006-04-03,1.6162,1.6184,1.6018,1.6049,1.6049,0,0,0
2006-04-10,1.6062,1.6161,1.6032,1.6072,1.6072,0,0,0
2006-04-17,1.6063,1.6078,1.5895,1.5902,1.5902,0,0,0
2006-04-24,1.5905,1.5922,1.58,1.5805,1.5805,0,0,0
2006-05-01,1.5804,1.5815,1.5679,1.5683,1.5683,0,0,0
2006-05-08,1.5679,1.5733,1.5593,1.5634,1.5634,0,0,0
