Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-01,1.723,1.7245,1.6671,1.6975,1.6975,0,0,0
2004-03-01,1.6973,1.73,1.6609,1.695,1.695,0,0,0
2004-06-01,1.6997,1.7275,1.6958,1.7104,1.7104,0,0,0
2004-09-01,1.7093,1.7103,1.6353,1.637,1.637,0,0,0
2004-12-01,1.6349,1.6603,1.6236,1.6239,1.6239,0,0,0
2005-03-01,1.6237,1.6676,1.6175,1.666,1.666,0,0,0
2005-06-01,1.6668,1.703,0.8268,1.6814,1.6814,0,0,0
2005-09-01,1.6823,1.7061,1.6698,1.6902,1.6902,0,0,0
2005-12-01,1.6913,1.6923,1.6173,1.6201,1.6201,0,0,0
2006-03-01,1.6201,1.6349,1.5593,1.5792,1.5792,0,0,0
2006-06-01,1.5794,1.6024,1.5678,1.573,1.573,0,0,0
2006-09-01,1.573,1.5923,1.5368,1.5391,1.5391,0,0,0
2006-12-01,1.5398,1.548,1.524,1.5293,1.5293,0,0,0
2007-03-01,1.5293,1.5368,1.5091,1.5288,1.5288,0,0,0
2007-06-01,1.5289,1.5455,1.5037,1.5239,1.5239,0,0,0
2007-09-01,1.5236,1.5288,1.4372,1.4477,1.4477,0,0,0
2007-12-01,1.4451,1.4638,1.3913,1.3951,1.3951,0,0,0
2008-03-01,1.3945,1.3976,1.3468,1.3629,1.3629,0,0,0
2008-06-01,1.362,1.4268,1.3448,1.416,1.416,0,0,0
2008-09-01,1.4162,1.5335,1.4051,1.5125,1.5125,0,0,0
2008-12-01,1.5126,1.5486,1.4167,1.5454,1.5454,0,0,0
2009-03-01,1.5548,1.6118,1.4379,1.4433,1.4433,0,0,0
2009-06-01,1.4432,1.468,1.4317,1.4413,1.4413,0,0,0
2009-09-01,1.4442,1.445,1.3778,1.382,1.382,0,0,0
2009-12-01,1.3818,1.4253,1.3776,1.4049,1.4049,0,0,0
2010-03-01,1.405,1.4203,1.3449,1.3996,1.3996,0,0,0
2010-06-01,1.3997,1.4205,1.3449,1.3551,1.3551,0,0,0
2010-09-01,1.3547,1.355,1.2812,1.3209,1.3209,0,0,0
2010-12-01,1.3201,1.3224,1.2695,1.2745,1.2745,0,0,0
2011-03-01,1.2706,1.2867,1.2213,1.233,1.233,0,0,0
2011-06-01,1.2321,1.2444,1.199,1.2058,1.2058,0,0,0
2011-09-01,1.2036,1.3198,1.2016,1.2968,1.2968,0,0,0
2011-12-01,1.282,1.312,1.2412,1.2483,1.2483,0,0,0
2012-03-01,1.2511,1.29,1.2346,1.2884,1.2884,0,0,0
2012-06-01,1.2874,1.2966,1.2397,1.2535,1.2535,0,0,0
2012-09-01,1.2469,1.2506,1.215,1.2203,1.2203,0,0,0
2012-12-01,1.2206,1.2452,1.217,1.2363,1.2363,0,0,0
2013-03-01,1.2378,1.2716,1.2266,1.2592,1.2592,0,0,0
2013-06-01,1.2647,1.2858,1.2406,1.274,1.274,0,0,0
2013-09-01,1.2731,1.2811,1.2342,1.2555,1.2555,0,0,0
2013-12-01,1.2554,1.2829,1.2481,1.2644,1.2644,0,0,0
2014-03-01,1.2681,1.2793,1.2452,1.2546,1.2546,0,0,0
2014-06-01,1.2533,1.2586,1.2366,1.2486,1.2486,0,0,0
2014-09-01,1.2492,1.3071,1.2486,1.3,1.3,0,0,0
2014-12-01,1.307,1.3638,1.3003,1.3566,1.3566,0,0,0
2015-03-01,1.3617,1.3937,1.3163,1.3483,1.3483,0,0,0
2015-06-01,1.3492,1.4165,1.3285,1.409,1.409,0,0,0
2015-09-01,1.4102,1.4362,1.3728,1.4131,1.4131,0,0,0
2015-12-01,1.4105,1.4441,1.3863,1.4088,1.4088,0,0,0
2016-03-01,1.4045,1.4064,1.335,1.3792,1.3792,0,0,0
2016-06-01,1.3775,1.3797,1.3324,1.3632,1.3632,0,0,0
2016-09-01,1.3622,1.4365,1.3434,1.4248,1.4248,0,0,0
2016-12-01,1.434,1.4542,1.3974,1.4053,1.4053,0,0,0
2017-03-01,1.4064,1.4214,1.3803,1.3856,1.3856,0,0,0
2017-06-01,1.3834,1.3914,1.3506,1.3575,1.3575,0,0,0
2017-09-01,1.3558,1.3713,1.3346,1.3467,1.3467,0,0,0
2017-12-01,1.3485,1.3538,1.3013,1.3243,1.3243,0,0,0
2018-03-01,1.3248,1.3489,1.3053,1.339,1.339,0,0,0
2018-06-01,1.3385,1.3817,1.3302,1.367,1.367,0,0,0
2018-09-01,1.3676,1.3872,1.3611,1.3694,1.3694,0,0,0
2018-12-01,1.3694,1.3773,1.3442,1.3479,1.3479,0,0,0
2019-03-01,1.3512,1.3835,1.3448,1.38,1.38,0,0,0
2019-06-01,1.38,1.3906,1.351,1.3877,1.3877,0,0,0
2019-09-01,1.3876,1.3941,1.3554,1.3674,1.3674,0,0,0
2019-12-01,1.3673,1.4041,1.334,1.3929,1.3929,0,0,0
2020-03-01,1.3929,1.4645,1.3758,1.4126,1.4126,0,0,0
2020-06-01,1.4117,1.4117,1.3565,1.3575,1.3575,0,0,0
2020-09-01,1.3602,1.3718,1.3558,1.3667,1.3667,0,0,0
2020-09-11,1.3692,1.37,1.3654,1.366,1.366,0,0,0
