Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2008-03-17,14.88,17.25,13.75,16.09,14.72,907471200.0,0.0,0.0
2008-03-24,16.81,16.92,14.75,15.69,14.35,344274800.0,0.0,0.0
2008-03-31,15.65,16.57,15.08,16.12,14.75,263666800.0,0.0,0.0
2008-04-07,16.27,17.18,16.0,16.53,15.12,179345200.0,0.0,0.0
2008-04-14,16.67,17.61,16.0,17.25,15.78,204027600.0,0.0,0.0
2008-04-21,17.37,19.02,17.21,18.77,17.17,283072000.0,0.0,0.0
2008-04-28,19.12,21.91,17.75,20.69,18.92,730413600.0,0.0,0.0
2008-05-05,20.71,22.46,20.2,20.72,18.95,433903600.0,0.0,0.0
2008-05-12,20.91,21.12,19.52,20.59,18.84,322877200.0,0.0,0.0
2008-05-19,20.57,21.18,18.78,19.09,17.46,255486800.0,0.0,0.0
2008-05-26,19.23,21.89,18.59,21.59,19.75,288401600.0,0.0,0.0
2008-06-02,21.55,22.02,20.89,20.91,19.13,194759600.0,0.0,0.0
2008-06-09,21.0,21.24,19.4,20.38,18.64,213579600.0,0.0,0.0
2008-06-16,20.37,21.25,20.27,20.89,19.11,180857600.0,0.0,0.0
2008-06-23,20.96,21.1,19.5,20.65,18.89,383329600.0,0.0,0.0
2008-06-30,20.5,20.71,19.31,19.52,17.85,156765600.0,0.0,0.0
2008-07-07,19.62,19.99,18.06,18.64,17.05,338520000.0,0.0,0.0
2008-07-14,19.02,19.05,16.63,18.35,16.79,333298000.0,0.0,0.0
2008-07-21,18.48,18.75,16.98,17.99,16.46,243604400.0,0.0,0.0
2008-07-28,18.1,19.73,17.56,17.93,16.4,371433200.0,0.0,0.0
2008-08-04,17.94,18.56,17.28,18.15,16.6,198166400.0,0.0,0.0
2008-08-11,18.11,19.13,17.99,18.95,17.33,170790800.0,0.0,0.0
2008-08-13,,,,,,,0.02625,0.0
2008-08-18,18.91,19.06,18.3,18.52,16.97,101574400.0,0.0,0.0
2008-08-25,18.38,19.0,18.21,18.98,17.38,101916000.0,0.0,0.0
2008-09-01,19.21,19.38,17.31,17.94,16.43,143586000.0,0.0,0.0
2008-09-08,18.38,18.57,16.66,17.91,16.41,225860800.0,0.0,0.0
2008-09-15,17.17,17.79,14.6,17.39,15.93,342998400.0,0.0,0.0
2008-09-22,17.23,17.25,15.2,15.51,14.21,189668800.0,0.0,0.0
2008-09-29,15.07,15.52,13.97,14.21,13.02,237785200.0,0.0,0.0
2008-10-06,13.35,14.11,11.75,13.0,11.91,353496000.0,0.0,0.0
2008-10-13,13.75,15.53,12.01,13.06,11.96,270436000.0,0.0,0.0
2008-10-20,13.33,13.45,10.94,11.99,10.99,193973600.0,0.0,0.0
2008-10-27,11.75,14.04,11.61,13.84,12.68,271618000.0,0.0,0.0
2008-11-03,13.98,15.11,12.69,13.38,12.25,230020000.0,0.0,0.0
2008-11-10,13.82,14.25,12.47,13.56,12.42,177799600.0,0.0,0.0
2008-11-12,,,,,,,0.02625,0.0
2008-11-17,13.28,13.96,10.89,11.6,10.64,231495200.0,0.0,0.0
2008-11-24,11.9,13.19,11.44,13.14,12.06,128093200.0,0.0,0.0
2008-12-01,12.75,13.37,11.88,13.3,12.2,165400400.0,0.0,0.0
2008-12-08,13.6,14.42,12.62,13.24,12.15,170436000.0,0.0,0.0
2008-12-15,13.2,14.06,12.94,13.74,12.61,143220800.0,0.0,0.0
2008-12-22,13.72,13.81,12.98,13.31,12.22,37760000.0,0.0,0.0
2008-12-29,13.26,13.43,12.57,13.36,12.26,60467600.0,0.0,0.0
2009-01-05,13.25,14.49,13.25,13.9,12.76,128934000.0,0.0,0.0
2009-01-12,13.82,14.04,11.3,11.85,10.88,196551600.0,0.0,0.0
2009-01-19,11.51,11.6,10.44,11.08,10.17,164814000.0,0.0,0.0
2009-01-26,11.07,12.34,10.63,12.34,11.32,138947600.0,0.0,0.0
2009-02-02,12.06,14.0,11.89,13.85,12.71,233300000.0,0.0,0.0
2009-02-09,13.88,14.49,13.27,13.99,12.84,169229600.0,0.0,0.0
2009-02-11,,,,,,,0.02625,0.0
2009-02-16,13.67,14.48,13.42,13.91,12.8,149921200.0,0.0,0.0
2009-02-23,14.01,14.48,13.4,14.18,13.04,193092400.0,0.0,0.0
2009-03-02,13.98,14.24,12.3,12.55,11.54,221877200.0,0.0,0.0
2009-03-09,12.42,13.84,12.19,13.01,11.97,201163600.0,0.0,0.0
2009-03-16,13.24,14.18,12.83,13.13,12.08,179720800.0,0.0,0.0
2009-03-23,13.47,14.08,12.82,13.56,12.47,238990800.0,0.0,0.0
2009-03-30,13.32,15.04,13.25,15.02,13.81,235278800.0,0.0,0.0
2009-04-06,14.68,15.01,14.1,14.7,13.52,141651200.0,0.0,0.0
2009-04-13,14.54,15.35,14.31,14.5,13.34,177452400.0,0.0,0.0
2009-04-20,14.25,15.19,13.56,15.1,13.88,190580000.0,0.0,0.0
2009-04-27,14.69,17.0,14.52,16.25,14.95,293395200.0,0.0,0.0
2009-05-04,16.52,17.14,16.18,17.11,15.73,250117600.0,0.0,0.0
2009-05-11,16.7,16.99,15.88,16.27,14.96,167452800.0,0.0,0.0
2009-05-13,,,,,,,0.02625,0.0
2009-05-18,16.33,16.88,16.07,16.44,15.14,216405600.0,0.0,0.0
2009-05-25,16.45,17.03,16.31,16.93,15.59,100096000.0,0.0,0.0
2009-06-01,17.12,17.81,16.38,17.32,15.95,240516400.0,0.0,0.0
2009-06-08,17.17,17.65,16.08,16.09,14.82,201118400.0,0.0,0.0
2009-06-15,15.99,16.47,15.16,15.34,14.13,145054000.0,0.0,0.0
2009-06-22,15.19,15.95,15.07,15.95,14.7,113590800.0,0.0,0.0
2009-06-29,15.97,15.98,15.02,15.02,13.84,119616800.0,0.0,0.0
2009-07-06,15.02,15.33,14.5,14.97,13.78,161095600.0,0.0,0.0
2009-07-13,15.03,16.25,14.77,16.02,14.76,148585200.0,0.0,0.0
2009-07-20,16.09,16.96,16.08,16.82,15.5,107882400.0,0.0,0.0
2009-07-27,16.81,17.42,16.34,16.36,15.07,149745200.0,0.0,0.0
2009-08-03,16.55,17.42,16.48,17.29,15.93,105168400.0,0.0,0.0
2009-08-10,17.26,17.37,16.88,16.95,15.61,66182800.0,0.0,0.0
2009-08-12,,,,,,,0.02625,0.0
2009-08-17,16.71,17.26,16.51,17.25,15.91,91899600.0,0.0,0.0
2009-08-24,17.31,17.62,16.94,17.62,16.26,91142800.0,0.0,0.0
2009-08-31,17.42,18.0,17.36,17.59,16.23,84105600.0,0.0,0.0
2009-09-07,17.67,18.12,17.54,18.07,16.67,61004000.0,0.0,0.0
2009-09-14,17.88,18.72,17.88,18.45,17.02,74498400.0,0.0,0.0
2009-09-21,18.27,18.75,17.31,17.67,16.3,107390800.0,0.0,0.0
2009-09-28,17.77,18.03,16.64,16.95,15.64,154362800.0,0.0,0.0
2009-10-05,16.97,18.32,16.85,18.24,16.82,150232400.0,0.0,0.0
2009-10-12,18.58,18.96,18.31,18.57,17.13,107235600.0,0.0,0.0
2009-10-19,18.57,19.25,18.3,18.53,17.09,94618000.0,0.0,0.0
2009-10-26,18.74,19.55,18.11,18.94,17.47,221763600.0,0.0,0.0
2009-11-02,19.02,19.98,18.95,19.92,18.38,107891600.0,0.0,0.0
2009-11-09,19.97,20.49,19.69,20.0,18.45,87308400.0,0.0,0.0
2009-11-12,,,,,,,0.03125,0.0
2009-11-16,20.02,20.39,19.56,20.0,18.48,99307200.0,0.0,0.0
2009-11-23,20.19,20.48,19.9,20.08,18.56,50406800.0,0.0,0.0
2009-11-30,20.08,20.85,19.68,20.07,18.54,93956000.0,0.0,0.0
2009-12-07,20.07,20.69,19.88,20.33,18.79,62888800.0,0.0,0.0
2009-12-14,21.24,22.42,20.87,22.24,20.55,518091200.0,0.0,0.0
2009-12-21,22.24,22.27,21.41,21.57,19.93,103401600.0,0.0,0.0
2009-12-28,21.61,22.07,21.52,21.86,20.2,57177200.0,0.0,0.0
2010-01-04,22.0,22.19,21.39,21.75,20.1,102016000.0,0.0,0.0
2010-01-11,21.88,21.99,21.46,21.53,19.9,78857600.0,0.0,0.0
2010-01-18,21.54,22.1,20.41,20.68,19.11,85928000.0,0.0,0.0
2010-01-25,20.85,21.25,20.15,20.51,18.95,81272400.0,0.0,0.0
2010-02-01,20.57,21.55,20.14,20.64,19.07,167911200.0,0.0,0.0
2010-02-08,20.73,21.3,20.64,21.19,19.58,96667200.0,0.0,0.0
2010-02-10,,,,,,,0.03125,0.0
2010-02-15,21.31,21.86,21.3,21.7,20.08,60003600.0,0.0,0.0
