Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2008-03-01,14.88,22.46,13.75,21.59,17.01,4212940400.0,0.0,0.0
2008-06-01,21.55,22.02,16.63,18.98,14.95,2988595200.0,0.0,0.0
2008-08-13,,,,,,,0.105,0.0
2008-09-01,19.21,19.38,10.89,13.14,10.41,2996830800.0,0.0,0.0
2008-11-12,,,,,,,0.105,0.0
2008-12-01,12.75,14.49,10.44,14.18,11.32,1952075200.0,0.0,0.0
2009-02-11,,,,,,,0.105,0.0
2009-03-01,13.98,17.14,12.19,16.93,13.63,2614182000.0,0.0,0.0
2009-05-13,,,,,,,0.105,0.0
2009-06-01,17.12,17.83,14.5,17.77,14.4,1763119600.0,0.0,0.0
2009-08-12,,,,,,,0.105,0.0
2009-09-01,17.69,20.49,16.64,20.25,16.51,1394308800.0,0.0,0.0
2009-11-12,,,,,,,0.125,0.0
2009-12-01,20.36,22.42,19.68,21.32,17.49,1565995200.0,0.0,0.0
2010-02-10,,,,,,,0.125,0.0
2010-03-01,21.38,24.3,17.07,18.11,14.95,2120784400.0,0.0,0.0
2010-05-12,,,,,,,0.125,0.0
2010-06-01,18.12,20.95,17.0,17.25,14.32,1762318000.0,0.0,0.0
2010-08-11,,,,,,,0.125,0.0
2010-09-01,17.46,20.22,16.23,18.46,15.43,1362603600.0,0.0,0.0
2010-11-17,,,,,,,0.15,0.0
2010-12-01,18.74,20.44,16.62,18.26,15.39,1896311600.0,0.0,0.0
2011-02-09,,,,,,,0.15,0.0
2011-03-01,18.47,20.33,17.61,20.26,17.21,1248589600.0,0.0,0.0
2011-05-18,,,,,,,0.15,0.0
2011-06-01,20.19,22.71,18.28,21.97,18.8,1882804000.0,0.0,0.0
2011-08-17,,,,,,,0.15,0.0
2011-09-01,21.93,24.26,20.43,24.24,20.89,1237784400.0,0.0,0.0
2011-11-16,,,,,,,0.22,0.0
2011-12-01,23.98,29.84,23.76,29.09,25.3,978475600.0,0.0,0.0
2012-02-15,,,,,,,0.22,0.0
2012-03-01,29.36,31.34,28.12,28.8,25.24,903505600.0,0.0,0.0
2012-05-16,,,,,,,0.22,0.0
2012-06-01,28.41,33.15,27.99,32.06,28.31,808244000.0,0.0,0.0
2012-08-15,,,,,,,0.22,0.0
2012-09-01,32.09,37.48,31.74,37.43,33.28,730545200.0,0.0,0.0
2012-11-14,,,,,,,0.33,0.0
2012-12-01,37.5,40.69,36.53,39.66,35.59,698417600.0,0.0,0.0
2013-02-13,,,,,,,0.33,0.0
2013-03-01,39.48,46.22,38.92,44.53,40.3,777999600.0,0.0,0.0
2013-05-15,,,,,,,0.33,0.0
2013-06-01,44.69,49.0,42.75,43.6,39.75,956677200.0,0.0,0.0
2013-08-14,,,,,,,0.33,0.0
2013-09-01,44.01,51.31,43.76,50.87,46.72,760899200.0,0.0,0.0
2013-11-13,,,,,,,0.4,0.0
2013-12-01,51.03,58.88,49.86,56.49,52.3,814394400.0,0.0,0.0
2014-02-12,,,,,,,0.4,0.0
2014-03-01,55.81,58.17,48.71,53.71,50.09,874076400.0,0.0,0.0
2014-05-14,,,,,,,0.4,0.0
2014-06-01,53.84,56.19,51.83,53.13,49.93,603834800.0,0.0,0.0
2014-08-13,,,,,,,0.4,0.0
2014-09-01,53.35,64.88,48.8,64.55,61.12,734599200.0,0.0,0.0
2014-11-12,,,,,,,0.48,0.0
2014-12-01,64.07,68.62,61.29,67.83,64.73,622926800.0,0.0,0.0
2015-02-11,,,,,,,0.48,0.0
2015-03-01,69.18,70.69,64.35,68.68,66.02,574238200.0,0.0,0.0
2015-03-19,,,,,,,0.0,4.0
2015-05-13,,,,,,,0.12,0.0
2015-06-01,69.13,76.92,60.0,71.3,68.66,487633800.0,0.0,0.0
2015-08-12,,,,,,,0.12,0.0
2015-09-01,69.41,81.01,67.03,79.01,76.21,562144800.0,0.0,0.0
2015-11-10,,,,,,,0.14,0.0
2015-12-01,79.53,80.49,66.12,72.39,69.95,671114700.0,0.0,0.0
2016-02-10,,,,,,,0.14,0.0
2016-02-17,,,,,,,0.14,0.0
2016-03-01,72.99,81.73,69.58,78.94,76.58,516382900.0,0.0,0.0
2016-05-11,,,,,,,0.14,0.0
2016-06-01,78.69,81.76,73.25,80.9,78.62,566233300.0,0.0,0.0
2016-08-17,,,,,,,0.14,0.0
2016-09-01,81.14,83.96,77.28,77.32,75.27,592404900.0,0.0,0.0
2016-11-16,,,,,,,0.165,0.0
2016-12-01,77.57,88.49,75.17,87.94,85.79,571874400.0,0.0,0.0
2017-02-15,,,,,,,0.165,0.0
2017-03-01,88.74,95.53,87.85,95.23,93.08,491789800.0,0.0,0.0
2017-05-17,,,,,,,0.165,0.0
2017-06-01,95.4,104.2,92.8,103.52,101.36,508606000.0,0.0,0.0
2017-08-16,,,,,,,0.165,0.0
2017-09-01,104.04,113.62,102.26,112.59,110.42,421324800.0,0.0,0.0
2017-11-16,,,,,,,0.195,0.0
2017-12-01,112.38,126.88,106.6,122.94,120.79,516419100.0,0.0,0.0
2018-02-15,,,,,,,0.21,0.0
2018-03-01,123.26,132.5,116.03,130.72,128.65,497433300.0,0.0,0.0
2018-05-17,,,,,,,0.21,0.0
2018-06-01,131.84,147.71,129.53,146.89,144.8,459282300.0,0.0,0.0
2018-08-16,,,,,,,0.21,0.0
2018-09-01,146.93,151.56,129.54,141.71,139.9,610355700.0,0.0,0.0
2018-11-15,,,,,,,0.25,0.0
2018-12-01,145.0,148.82,121.6,148.12,146.5,590654900.0,0.0,0.0
2019-02-14,,,,,,,0.25,0.0
2019-03-01,149.46,165.77,144.5,161.33,159.84,491169800.0,0.0,0.0
2019-05-16,,,,,,,0.25,0.0
2019-06-01,161.54,184.07,156.75,180.82,179.42,438462600.0,0.0,0.0
2019-08-15,,,,,,,0.25,0.0
2019-09-01,180.52,187.05,168.59,184.51,183.35,466735000.0,0.0,0.0
2019-11-14,,,,,,,0.3,0.0
