Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2008-03-19,14.88,17.25,13.75,14.12,11.13,708486000.0,0.0,0.0
2008-03-24,16.81,16.92,14.75,14.93,11.77,149566400.0,0.0,0.0
2008-04-03,15.49,16.57,15.45,16.38,12.9,100868000.0,0.0,0.0
2008-04-08,16.23,17.06,16.2,17.02,13.41,53925600.0,0.0,0.0
2008-04-18,17.0,17.61,16.8,17.25,13.59,104099600.0,0.0,0.0
2008-04-23,17.74,17.92,17.42,17.52,13.8,37319600.0,0.0,0.0
2008-04-28,19.12,19.32,18.73,18.91,14.9,132517200.0,0.0,0.0
2008-05-08,22.38,22.44,21.49,21.83,17.2,92836400.0,0.0,0.0
2008-05-13,20.46,20.88,20.2,20.59,16.23,53249600.0,0.0,0.0
2008-05-23,18.96,19.33,18.78,19.09,15.04,42196400.0,0.0,0.0
2008-05-28,20.07,20.49,19.89,20.48,16.14,52996000.0,0.0,0.0
2008-06-02,21.55,21.74,21.15,21.52,16.95,36856000.0,0.0,0.0
2008-06-12,19.74,20.19,19.64,19.89,15.67,44605600.0,0.0,0.0
2008-06-17,21.02,21.25,20.92,21.17,16.68,33277600.0,0.0,0.0
2008-06-27,19.7,20.72,19.64,20.65,16.27,176022800.0,0.0,0.0
2008-07-02,20.48,20.6,19.83,19.85,15.64,33804000.0,0.0,0.0
2008-07-07,19.62,19.99,18.5,18.91,14.9,79944400.0,0.0,0.0
2008-07-17,18.42,18.76,17.84,18.76,14.79,67268800.0,0.0,0.0
2008-07-22,17.4,18.56,16.98,18.51,14.59,65408000.0,0.0,0.0
2008-08-01,18.33,18.52,17.59,17.93,14.13,61715600.0,0.0,0.0
2008-08-06,18.2,18.2,17.77,17.87,14.08,40924000.0,0.0,0.0
2008-08-11,18.11,19.12,17.99,18.7,14.73,55289200.0,0.0,0.0
2008-08-13,,,,,,,0.105,0.0
2008-08-21,18.49,18.66,18.3,18.59,14.74,15544800.0,0.0,0.0
2008-08-26,18.42,18.58,18.22,18.33,14.53,18667200.0,0.0,0.0
2008-09-05,17.49,18.0,17.31,17.94,14.22,40616800.0,0.0,0.0
2008-09-10,16.82,17.48,16.66,17.26,13.68,43936800.0,0.0,0.0
2008-09-15,17.17,17.75,17.07,17.34,13.75,38734400.0,0.0,0.0
2008-09-25,16.44,16.62,16.14,16.15,12.8,23895200.0,0.0,0.0
2008-09-30,14.1,15.36,14.1,15.35,12.16,38720400.0,0.0,0.0
2008-10-10,11.75,13.49,11.75,13.0,10.3,72541600.0,0.0,0.0
2008-10-15,13.88,14.0,12.13,12.44,9.86,76699200.0,0.0,0.0
2008-10-20,13.33,13.45,12.78,13.0,10.3,35965600.0,0.0,0.0
2008-10-30,12.65,14.04,12.65,13.56,10.75,74913200.0,0.0,0.0
2008-11-04,13.6,15.11,13.47,14.95,11.85,73603600.0,0.0,0.0
2008-11-12,,,,,,,0.105,0.0
2008-11-14,13.28,14.25,13.11,13.56,10.83,37410400.0,0.0,0.0
2008-11-19,13.5,13.96,12.81,12.9,10.3,34948000.0,0.0,0.0
2008-11-24,11.9,12.5,11.44,12.43,9.93,44853600.0,0.0,0.0
2008-12-04,12.98,13.19,12.56,12.7,10.15,30484400.0,0.0,0.0
2008-12-09,13.88,14.11,13.27,13.38,10.69,32127200.0,0.0,0.0
2008-12-19,13.63,14.06,13.44,13.74,10.98,35585200.0,0.0,0.0
2008-12-24,13.36,13.44,13.16,13.22,10.56,6529600.0,0.0,0.0
2008-12-29,13.26,13.4,12.98,13.04,10.42,13801600.0,0.0,0.0
2009-01-08,14.0,14.07,13.32,13.94,11.13,34683600.0,0.0,0.0
2009-01-13,13.19,13.34,12.88,13.28,10.61,23133200.0,0.0,0.0
2009-01-23,10.67,11.11,10.44,11.08,8.85,22617200.0,0.0,0.0
2009-01-28,11.48,11.87,11.31,11.81,9.43,32089600.0,0.0,0.0
2009-02-02,12.06,12.5,11.89,12.49,9.98,28544000.0,0.0,0.0
2009-02-11,,,,,,,0.105,0.0
2009-02-12,13.57,14.15,13.27,14.1,11.35,34827600.0,0.0,0.0
2009-02-17,13.67,13.8,13.42,13.56,10.92,35581600.0,0.0,0.0
2009-02-27,13.75,14.48,13.75,14.18,11.41,47237200.0,0.0,0.0
2009-03-04,13.75,13.97,13.48,13.82,11.13,35775200.0,0.0,0.0
2009-03-09,12.42,12.77,12.19,12.45,10.02,33554400.0,0.0,0.0
2009-03-19,14.1,14.18,13.11,13.17,10.6,41743600.0,0.0,0.0
2009-03-24,13.57,13.7,13.32,13.4,10.79,43555600.0,0.0,0.0
2009-04-03,13.82,15.04,13.82,15.02,12.09,57694800.0,0.0,0.0
2009-04-08,14.45,14.47,14.1,14.45,11.64,23815600.0,0.0,0.0
2009-04-13,14.54,15.35,14.5,15.28,12.3,38124400.0,0.0,0.0
2009-04-23,14.56,14.74,14.27,14.56,11.72,35890800.0,0.0,0.0
2009-04-28,14.54,15.51,14.52,15.18,12.22,42287600.0,0.0,0.0
2009-05-08,16.49,17.12,16.38,17.11,13.77,37834800.0,0.0,0.0
2009-05-13,16.08,16.37,15.88,16.12,13.06,47555600.0,0.105,0.0
2009-05-18,16.33,16.64,16.07,16.6,13.45,59304400.0,0.0,0.0
2009-05-28,16.57,16.75,16.44,16.62,13.47,20184000.0,0.0,0.0
2009-06-02,16.6,16.75,16.38,16.7,13.53,31043600.0,0.0,0.0
2009-06-12,16.72,16.8,16.08,16.09,13.04,80963200.0,0.0,0.0
2009-06-17,15.61,15.77,15.2,15.34,12.43,32063600.0,0.0,0.0
2009-06-22,15.19,15.74,15.18,15.31,12.4,30168000.0,0.0,0.0
2009-07-02,15.2,15.43,15.02,15.02,12.17,21514800.0,0.0,0.0
2009-07-07,15.33,15.33,14.85,14.93,12.09,30361600.0,0.0,0.0
2009-07-17,16.06,16.25,16.0,16.02,12.98,18075600.0,0.0,0.0
2009-07-22,16.66,16.89,16.58,16.71,13.54,25328400.0,0.0,0.0
2009-07-27,16.81,17.08,16.78,17.05,13.81,14245200.0,0.0,0.0
2009-08-06,17.13,17.42,16.99,17.16,13.91,20892800.0,0.0,0.0
2009-08-11,17.14,17.31,17.13,17.15,13.9,14537600.0,0.0,0.0
2009-08-12,,,,,,,0.105,0.0
2009-08-21,17.08,17.26,16.96,17.25,14.06,27450800.0,0.0,0.0
2009-08-26,17.15,17.61,17.11,17.55,14.31,18964400.0,0.0,0.0
2009-08-31,17.42,17.83,17.4,17.77,14.49,21521200.0,0.0,0.0
2009-09-10,17.59,18.12,17.57,18.08,14.74,17001600.0,0.0,0.0
2009-09-15,18.25,18.36,18.09,18.3,14.92,15351200.0,0.0,0.0
2009-09-25,18.29,18.31,17.31,17.67,14.4,48175200.0,0.0,0.0
2009-09-30,17.44,17.5,17.15,17.28,14.08,30467200.0,0.0,0.0
2009-10-05,16.97,17.25,16.92,17.04,13.89,19902400.0,0.0,0.0
2009-10-15,18.55,18.96,18.5,18.77,15.3,22272400.0,0.0,0.0
2009-10-20,18.86,18.98,18.61,18.76,15.3,16502800.0,0.0,0.0
2009-10-30,19.24,19.38,18.79,18.94,15.44,27308800.0,0.0,0.0
2009-11-04,19.58,19.88,19.53,19.58,15.96,24364000.0,0.0,0.0
2009-11-09,19.97,20.41,19.92,20.29,16.54,26318800.0,0.0,0.0
2009-11-12,,,,,,,0.125,0.0
2009-11-19,19.99,20.39,19.56,20.05,16.44,36533600.0,0.0,0.0
2009-11-24,20.09,20.16,19.9,20.16,16.53,12153200.0,0.0,0.0
2009-12-04,20.27,20.4,19.68,20.07,16.46,21865600.0,0.0,0.0
