Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1990-04-02,641.27,641.27,641.27,641.27,641.25,0,0,0
1990-04-09,633.48,639.61,632.09,639.61,639.6,0,0,0
1990-04-16,640.01,643.91,640.01,641.69,641.67,0,0,0
1990-04-23,643.91,643.91,638.8,638.8,638.78,0,0,0
1990-04-30,639.01,643.09,636.15,643.09,643.07,0,0,0
1990-05-07,641.95,645.01,641.95,643.31,643.29,0,0,0
1990-05-14,638.92,644.44,638.92,644.44,644.42,0,0,0
1990-05-21,647.22,647.4,646.25,647.36,647.34,0,0,0
1990-05-28,640.13,641.14,635.02,635.02,635.0,0,0,0
1990-06-04,636.24,637.08,636.0,636.06,636.04,0,0,0
1990-06-11,634.76,634.76,628.28,628.28,628.26,0,0,0
1990-06-18,626.9,626.9,621.79,623.95,623.93,0,0,0
1990-06-25,626.14,627.1,623.76,624.32,624.3,0,0,0
1990-07-02,629.44,629.71,626.81,626.81,626.79,0,0,0
1990-07-09,623.3,630.02,623.3,630.02,630.0,0,0,0
1990-07-16,630.73,631.17,629.47,630.1,630.08,0,0,0
1990-07-23,625.91,627.96,624.09,624.09,624.07,0,0,0
1990-07-30,619.66,619.66,611.98,613.49,613.48,0,0,0
1990-08-06,607.63,607.63,591.97,591.97,591.95,0,0,0
1990-08-13,590.01,590.01,584.16,585.15,585.13,0,0,0
1990-08-20,583.47,583.47,551.78,551.78,551.77,0,0,0
1990-08-27,546.83,571.02,546.83,571.02,571.0,0,0,0
1990-09-03,567.41,567.41,546.6,546.6,546.58,0,0,0
1990-09-10,541.87,541.87,529.12,529.12,529.1,0,0,0
1990-09-17,523.11,523.11,500.3,500.3,500.28,0,0,0
1990-09-24,493.94,493.94,454.51,468.51,468.5,0,0,0
1990-10-01,468.5,468.5,450.06,450.06,450.04,0,0,0
1990-10-08,446.34,446.34,425.4,425.4,425.38,0,0,0
1990-10-15,419.24,419.24,396.98,396.98,396.97,0,0,0
1990-10-22,407.67,437.76,405.11,437.76,437.74,0,0,0
1990-10-29,453.23,453.23,416.34,419.73,419.72,0,0,0
1990-11-05,416.62,416.62,412.03,412.03,412.02,0,0,0
1990-11-12,408.97,408.97,398.52,398.52,398.51,0,0,0
1990-11-19,395.21,395.21,390.04,390.99,390.98,0,0,0
1990-11-26,389.66,389.66,382.2,382.2,382.19,0,0,0
1990-12-03,378.12,380.97,371.2,380.72,380.71,0,0,0
1990-12-10,378.58,390.41,378.58,390.41,390.4,0,0,0
1990-12-17,395.21,400.46,395.21,400.46,400.45,0,0,0
1990-12-24,403.84,417.79,403.84,417.79,417.78,0,0,0
1990-12-31,408.54,408.54,408.49,408.49,408.48,0,0,0
1991-01-07,404.82,404.82,394.77,394.77,394.75,0,0,0
1991-01-14,391.17,393.19,389.22,393.19,393.18,0,0,0
1991-01-21,389.12,389.12,384.21,384.21,384.2,0,0,0
1991-01-28,384.84,385.1,383.02,383.63,383.61,0,0,0
1991-02-04,383.87,383.87,381.0,381.27,381.26,0,0,0
1991-02-11,381.23,382.44,381.23,382.27,382.26,0,0,0
1991-02-18,385.4,419.53,385.4,419.53,419.52,0,0,0
1991-02-25,427.02,427.02,387.92,387.92,387.91,0,0,0
1991-03-04,382.2,390.05,378.58,390.05,390.03,0,0,0
1991-03-11,398.4,401.03,397.1,401.03,401.02,0,0,0
1991-03-18,398.87,398.87,397.71,398.24,398.22,0,0,0
1991-03-25,400.88,408.11,400.88,408.11,408.1,0,0,0
1991-04-01,407.09,407.09,404.1,406.77,406.76,0,0,0
1991-04-08,408.07,412.48,408.07,412.48,412.47,0,0,0
1991-04-22,415.55,423.19,415.55,423.15,423.14,0,0,0
1991-04-29,420.57,420.57,407.48,407.48,407.47,0,0,0
1991-05-06,407.58,407.67,406.53,407.67,407.66,0,0,0
1991-05-13,406.93,406.93,403.06,404.87,404.86,0,0,0
1991-05-20,406.02,406.7,402.74,402.74,402.72,0,0,0
1991-05-27,397.87,397.87,396.51,397.6,397.59,0,0,0
1991-06-03,396.52,396.52,394.0,395.93,395.92,0,0,0
1991-06-10,390.51,390.51,379.77,379.77,379.75,0,0,0
1991-06-17,374.44,374.96,372.71,372.71,372.7,0,0,0
1991-06-24,370.24,370.24,346.27,346.27,346.26,0,0,0
1991-07-01,342.92,342.92,339.46,341.78,341.77,0,0,0
1991-07-08,338.31,338.31,328.56,328.62,328.61,0,0,0
1991-07-15,325.53,325.53,322.95,322.95,322.94,0,0,0
1991-07-22,324.9,332.95,324.9,332.48,332.47,0,0,0
1991-07-29,337.43,339.96,336.05,336.05,336.05,0,0,0
1991-08-05,334.01,334.01,330.68,331.98,331.97,0,0,0
1991-08-12,337.65,337.65,329.94,329.94,329.93,0,0,0
1991-08-19,322.1,322.1,315.31,318.58,318.57,0,0,0
1991-08-26,314.05,314.05,300.98,300.98,300.97,0,0,0
1991-09-02,303.51,303.51,299.34,300.54,300.53,0,0,0
1991-09-09,298.33,298.33,294.54,295.3,295.29,0,0,0
1991-09-16,288.09,288.09,254.84,254.84,254.84,0,0,0
1991-09-23,253.09,258.28,253.09,258.28,258.27,0,0,0
1991-09-30,249.19,251.37,249.19,250.46,250.46,0,0,0
1991-10-07,248.23,248.23,241.56,241.95,241.94,0,0,0
1991-10-14,240.53,240.53,233.45,233.45,233.45,0,0,0
1991-10-21,231.2,231.2,229.6,229.6,229.6,0,0,0
1991-10-28,227.43,227.43,224.71,226.96,226.95,0,0,0
1991-11-04,227.79,229.33,225.32,225.32,225.31,0,0,0
1991-11-11,223.25,248.88,223.25,248.88,248.88,0,0,0
1991-11-18,243.64,243.64,239.98,239.98,239.98,0,0,0
1991-11-25,240.57,241.32,240.38,241.32,241.31,0,0,0
1991-12-02,243.04,243.13,242.74,242.96,242.95,0,0,0
1991-12-09,245.57,245.74,243.03,243.45,243.44,0,0,0
1991-12-16,245.57,248.76,245.57,247.91,247.9,0,0,0
1991-12-23,246.26,247.39,246.26,247.39,247.38,0,0,0
1991-12-30,246.95,247.39,246.95,247.39,247.38,0,0,0
1992-01-06,249.76,250.65,248.27,250.2,250.19,0,0,0
1992-01-13,252.1,252.1,249.81,251.25,251.24,0,0,0
1992-01-20,251.58,258.05,251.58,258.05,258.04,0,0,0
1992-01-27,260.49,282.24,260.49,282.24,282.23,0,0,0
1992-02-03,287.2,294.23,286.05,294.23,294.22,0,0,0
1992-02-10,295.31,295.31,290.52,293.12,293.11,0,0,0
1992-02-17,290.91,290.91,276.39,279.93,279.92,0,0,0
1992-02-24,282.93,282.93,280.14,280.99,280.99,0,0,0
1992-03-02,280.43,283.21,280.43,283.21,283.2,0,0,0
1992-03-09,284.0,284.0,282.21,282.33,282.32,0,0,0
1992-03-16,280.61,280.61,275.82,277.5,277.49,0,0,0
1992-03-23,276.97,279.33,276.97,277.93,277.92,0,0,0
1992-03-30,278.55,280.03,278.55,280.03,280.02,0,0,0
1992-04-06,279.17,279.17,277.96,277.96,277.95,0,0,0
1992-04-13,277.0,277.0,271.78,271.78,271.77,0,0,0
1992-04-20,271.38,277.08,271.38,277.08,277.07,0,0,0
1992-04-27,274.93,277.91,274.93,277.91,277.9,0,0,0
1992-05-04,280.04,293.87,280.04,293.87,293.86,0,0,0
1992-05-11,288.65,290.24,288.65,290.18,290.17,0,0,0
1992-05-18,290.98,296.31,290.98,295.47,295.46,0,0,0
1992-05-25,295.48,299.22,295.48,299.22,299.21,0,0,0
1992-06-01,298.59,315.58,298.59,315.58,315.57,0,0,0
1992-06-08,323.08,329.66,323.08,329.62,329.61,0,0,0
1992-06-15,328.64,331.06,328.64,331.06,331.05,0,0,0
1992-06-22,326.1,326.1,319.38,319.38,319.37,0,0,0
1992-06-29,318.12,319.12,313.56,319.12,319.11,0,0,0
1992-07-06,318.33,321.11,318.33,321.11,321.1,0,0,0
1992-07-13,321.54,322.2,321.01,321.01,321.0,0,0,0
1992-07-20,320.42,320.42,318.6,319.9,319.89,0,0,0
1992-07-27,318.94,318.94,316.72,317.19,317.18,0,0,0
1992-08-03,316.19,316.19,312.73,312.73,312.72,0,0,0
1992-08-10,313.83,314.2,310.26,310.26,310.25,0,0,0
1992-08-17,308.3,308.3,300.28,300.28,300.27,0,0,0
1992-08-24,301.14,302.06,300.21,302.06,302.05,0,0,0
1992-08-31,301.28,301.58,298.89,298.89,298.88,0,0,0
1992-09-07,299.66,299.66,296.1,296.1,296.09,0,0,0
1992-09-14,295.57,296.72,295.35,296.2,296.19,0,0,0
1992-09-21,295.17,297.87,295.17,297.53,297.52,0,0,0
1992-09-28,297.48,299.86,296.86,299.86,299.85,0,0,0
1992-10-05,300.78,302.86,299.43,302.86,302.85,0,0,0
1992-10-12,304.65,306.32,304.65,306.32,306.31,0,0,0
1992-10-19,306.72,309.61,306.45,309.61,309.6,0,0,0
1992-10-26,308.4,308.4,305.37,307.58,307.57,0,0,0
1992-11-02,306.2,306.2,304.36,304.36,304.35,0,0,0
1992-11-09,302.41,302.41,296.74,296.74,296.73,0,0,0
1992-11-16,291.72,292.65,288.81,288.88,288.87,0,0,0
1992-11-23,288.52,288.52,284.66,284.66,284.65,0,0,0
