Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1990-04-01,641.27,647.4,621.79,624.32,624.3,0,0,0
1990-07-01,629.44,631.17,454.51,468.51,468.5,0,0,0
1990-10-01,468.5,468.5,371.2,417.79,417.78,0,0,0
1991-01-01,408.54,427.02,378.58,408.11,408.1,0,0,0
1991-04-01,407.09,423.19,346.27,346.27,346.26,0,0,0
1991-07-01,342.92,342.92,249.19,249.19,249.18,0,0,0
1991-10-01,250.74,251.37,223.25,247.39,247.38,0,0,0
1992-01-01,246.95,295.31,246.95,278.69,278.68,0,0,0
1992-04-01,279.51,331.06,271.38,313.56,313.55,0,0,0
1992-07-01,314.2,322.2,295.17,298.39,298.38,0,0,0
1992-10-01,298.56,309.61,270.45,274.34,274.33,0,0,0
1993-01-01,273.58,312.95,273.31,310.76,310.75,0,0,0
1993-04-01,311.13,360.35,307.23,360.35,360.34,0,0,0
1993-07-01,360.53,431.49,354.06,419.96,419.95,0,0,0
1993-10-01,443.26,588.77,436.49,588.77,588.75,0,0,0
1994-01-01,589.65,612.89,485.47,492.37,492.36,0,0,0
1994-04-01,485.91,504.97,454.32,457.3,457.29,0,0,0
1994-07-01,458.74,532.84,449.72,497.97,497.96,0,0,0
1994-10-01,497.9,524.65,447.04,469.64,469.63,0,0,0
1995-01-01,470.14,481.22,422.13,428.64,428.63,0,0,0
1995-04-01,424.49,499.16,414.21,492.28,492.27,8172200,0,0
1995-07-01,492.34,519.53,481.96,493.24,493.23,27404300,0,0
1995-10-01,493.24,516.24,450.9,513.85,513.83,36236100,0,0
1996-01-01,513.85,601.97,510.66,585.71,585.69,48521200,0,0
1996-04-01,585.69,631.41,569.54,594.26,594.24,58830200,0,0
1996-07-01,594.47,597.42,527.77,573.94,573.92,80501100,0,0
1996-10-01,574.3,638.56,563.31,637.43,637.41,107423500,0,0
1997-01-01,637.43,717.47,634.14,662.24,662.22,124904000,0,0
1997-04-01,662.24,724.56,630.07,724.56,724.53,152012500,0,0
1997-07-01,725.03,742.95,475.47,546.69,546.67,229311400,0,0
1997-10-01,546.22,546.22,335.69,401.71,401.7,259763000,0,0
1998-01-01,402.1,570.05,321.08,541.42,541.41,363897700,0,0
1998-04-01,543.1,546.68,384.1,445.92,445.91,189713600,0,0
1998-07-01,445.16,492.22,255.46,276.15,276.14,163644900,0,0
1998-10-01,276.59,436.79,255.97,398.04,398.03,186092300,0,0
1999-01-01,393.96,462.12,370.64,393.62,393.61,84629300,0,0
1999-04-01,393.62,720.05,392.03,662.03,662.01,599993100,0,0
1999-07-01,667.83,690.27,503.6,547.94,547.92,340989900,0,0
1999-10-01,548.34,693.53,548.34,676.92,676.9,450935500,0,0
2000-01-01,677.47,707.47,528.2,583.28,583.26,456214600,0,0
2000-04-01,583.55,583.57,440.46,515.11,515.09,204912200,0,0
2000-07-01,514.66,517.89,405.2,421.34,421.32,297929400,0,0
2000-10-01,421.16,438.59,399.07,416.32,416.31,234113000,0,0
2001-01-01,415.37,469.81,352.67,381.05,381.04,354299700,0,0
2001-04-01,381.05,440.05,338.18,437.62,437.61,386470000,0,0
2001-07-01,437.31,478.37,388.95,392.48,392.46,2701007700,0,0
2001-10-01,392.47,394.98,361.67,392.04,392.02,232556200,0,0
2002-01-01,387.31,488.13,377.7,481.77,481.76,449577600,0,0
2002-04-01,482.52,557.59,481.01,505.01,504.99,645930900,0,0
2002-07-01,505.14,505.6,401.7,419.31,419.29,326379500,0,0
2002-10-01,418.47,428.62,323.32,424.95,424.93,276080700,0,0
2003-01-01,423.34,423.34,377.41,398.0,397.99,138030900,0,0
2003-04-01,397.04,524.89,393.84,505.5,505.48,503872400,0,0
2003-07-01,505.47,606.62,479.82,597.65,597.63,680296500,0,0
2003-10-01,597.61,700.96,597.61,691.9,691.87,600432300,0,0
2004-01-01,691.38,796.07,688.0,735.68,735.66,1035042600,0,0
2004-04-01,735.68,824.51,665.96,732.4,732.38,715399800,0,0
2004-07-01,728.22,829.57,722.75,820.13,820.11,982712100,0,0
2004-10-01,820.69,1007.49,820.52,1000.23,1000.2,953056600,0,0
2005-01-01,1000.55,1156.96,994.53,1080.17,1080.13,1153350900,0,0
2005-04-01,1081.52,1148.8,1011.38,1122.38,1122.34,652394200,0,0
2005-07-01,1124.3,1195.55,951.21,1079.28,1079.24,857655700,0,0
2005-10-01,1055.15,1185.91,1012.48,1162.64,1162.6,461999000,0,0
2006-01-01,1161.98,1339.82,1161.3,1322.97,1322.93,809514100,0,0
2006-04-01,1322.47,1553.49,1222.28,1310.26,1310.22,994806300,0,0
2006-07-01,1310.58,1534.61,1277.6,1534.61,1534.57,650787000,0,0
2006-10-01,1531.98,1814.26,1515.46,1805.52,1805.47,1035832900,0,0
2007-01-01,1813.45,1843.35,1627.76,1830.92,1830.87,1429735500,0,0
2007-04-01,1837.18,2167.45,1837.18,2139.28,2139.21,1554760800,0,0
