Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1990-04-06,641.27,641.27,641.27,641.27,641.25,0,0,0
1990-04-11,634.69,634.69,634.69,634.69,634.67,0,0,0
1990-04-16,640.01,640.01,640.01,640.01,639.99,0,0,0
1990-05-01,639.01,639.01,639.01,639.01,638.99,0,0,0
1990-05-11,643.31,643.31,643.31,643.31,643.29,0,0,0
1990-05-16,639.34,639.34,639.34,639.34,639.32,0,0,0
1990-05-21,647.22,647.22,647.22,647.22,647.2,0,0,0
1990-05-31,636.4,636.4,636.4,636.4,636.38,0,0,0
1990-06-05,637.08,637.08,637.08,637.08,637.06,0,0,0
1990-06-15,628.28,628.28,628.28,628.28,628.26,0,0,0
1990-06-20,622.43,622.43,622.43,622.43,622.41,0,0,0
1990-06-25,626.14,626.14,626.14,626.14,626.12,0,0,0
1990-07-05,627.42,627.42,627.42,627.42,627.4,0,0,0
1990-07-10,624.6,624.6,624.6,624.6,624.58,0,0,0
1990-07-20,630.1,630.1,630.1,630.1,630.08,0,0,0
1990-07-25,627.96,627.96,627.96,627.96,627.94,0,0,0
1990-07-30,619.66,619.66,619.66,619.66,619.64,0,0,0
1990-08-09,593.47,593.47,593.47,593.47,593.46,0,0,0
1990-08-14,587.33,587.33,587.33,587.33,587.32,0,0,0
1990-08-24,551.78,551.78,551.78,551.78,551.77,0,0,0
1990-09-03,567.41,567.41,567.41,567.41,567.39,0,0,0
1990-09-13,530.42,530.42,530.42,530.42,530.41,0,0,0
1990-09-18,515.14,515.14,515.14,515.14,515.13,0,0,0
1990-09-28,468.51,468.51,468.51,468.51,468.5,0,0,0
1990-10-03,456.9,456.9,456.9,456.9,456.89,0,0,0
1990-10-08,446.34,446.34,446.34,446.34,446.33,0,0,0
1990-10-18,398.56,398.56,398.56,398.56,398.55,0,0,0
1990-10-23,405.11,405.11,405.11,405.11,405.1,0,0,0
1990-11-02,419.73,419.73,419.73,419.73,419.72,0,0,0
1990-11-07,414.51,414.51,414.51,414.51,414.49,0,0,0
1990-11-12,408.97,408.97,408.97,408.97,408.96,0,0,0
1990-11-22,390.04,390.04,390.04,390.04,390.03,0,0,0
1990-11-27,388.47,388.47,388.47,388.47,388.46,0,0,0
1990-12-07,380.72,380.72,380.72,380.72,380.71,0,0,0
1990-12-12,383.66,383.66,383.66,383.66,383.65,0,0,0
1990-12-17,395.21,395.21,395.21,395.21,395.2,0,0,0
1990-12-27,410.61,410.61,410.61,410.61,410.6,0,0,0
1991-01-11,394.77,394.77,394.77,394.77,394.75,0,0,0
1991-01-16,389.22,389.22,389.22,389.22,389.21,0,0,0
1991-01-21,389.12,389.12,389.12,389.12,389.11,0,0,0
1991-01-31,383.02,383.02,383.02,383.02,383.01,0,0,0
1991-02-05,382.78,382.78,382.78,382.78,382.77,0,0,0
1991-02-15,382.27,382.27,382.27,382.27,382.26,0,0,0
1991-02-20,396.17,396.17,396.17,396.17,396.16,0,0,0
1991-02-25,427.02,427.02,427.02,427.02,427.01,0,0,0
1991-03-07,386.35,386.35,386.35,386.35,386.34,0,0,0
1991-03-12,397.1,397.1,397.1,397.1,397.09,0,0,0
1991-03-22,398.24,398.24,398.24,398.24,398.22,0,0,0
